ano;mes;mes_nome;mes_ordem;produto;volume_importacao_barris;dispendio_importacao_usd_fob;volume_producao_barris;volume_derivado_usado_barris;volume_derivado_base;custo_medio_ponderado_usd_por_barril;receita_liquida_nao_obtida_usd;lucro_nao_auferido_usd;unidade_valor
2010;JAN;Janeiro;1;GASOLINA A;0,0;0,0;11579418,60281346;11579418,60281346;producao_brasil;25,0;0,0;0,0;US$
2010;FEV;Fevereiro;2;GASOLINA A;1178427,6916233157;101161412,0;10755317,1548919;10755317,1548919;producao_brasil;31,008233009134138;64620451,55372818;165781863,55372816;US$
2010;MAR;Março;3;GASOLINA A;1189748,790152345;111634448,0;10881661,360877959;10881661,360877959;producao_brasil;31,78385766216401;73819641,800066;185454089,800066;US$
2010;ABR;Abril;4;GASOLINA A;773893,8822615634;68618678,0;10933716,39452086;10933716,39452086;producao_brasil;29,208487452061146;46014408,250736274;114633086,25073627;US$
2010;MAI;Maio;5;GASOLINA A;3,611130808625337;3724,0;10408671,86934047;10408671,86934047;producao_brasil;25,000349105103393;3633,720469125632;7357,720469125632;US$
2010;JUN;Junho;6;GASOLINA A;34968,93617946092;3279915,0;10688438,7373277;10688438,7373277;producao_brasil;25,224340216166254;2397846,656811864;5677761,656811864;US$
2010;JUL;Julho;7;GASOLINA A;33,500443557951485;22590,0;11470516,21607208;11470516,21607208;producao_brasil;25,001896377196267;21752,425381575107;44342,42538157511;US$
2010;AGO;Agosto;8;GASOLINA A;10,307828787061995;5650,0;11126552,39603004;11126552,39603004;producao_brasil;25,00048463343297;5392,299284791382;11042,299284791381;US$
2010;SET;Setembro;9;GASOLINA A;8,66332320754717;535,0;10773010,28349513;10773010,28349513;producao_brasil;25,0000295568885;318,4166637518462;853,4166637518463;US$
2010;OUT;Outubro;10;GASOLINA A;32,8816347574124;27470,0;11732496,38195271;11732496,38195271;producao_brasil;25,002271288528874;26647,884447385346;54117,884447385346;US$
2010;NOV;Novembro;11;GASOLINA A;0,0;0,0;11810662,25353013;11810662,25353013;producao_brasil;25,0;0,0;0,0;US$
2010;DEZ;Dezembro;12;GASOLINA A;12,57962;3843,0;13109498,11836919;13109498,11836919;producao_brasil;25,000269156460625;3528,5061141129345;7371,5061141129345;US$
2011;JAN;Janeiro;1;GASOLINA A;5,51841820754717;1796,0;12619104,48983873;12619104,48983873;producao_brasil;25,000131391163382;1658,0388197618693;3454,0388197618695;US$
2011;FEV;Fevereiro;2;GASOLINA A;25,15924;10623,0;11526189,26164356;11526189,26164356;producao_brasil;25,000867068634598;9993,997185210907;20616,99718521091;US$
2011;MAR;Março;3;GASOLINA A;0,0;0,0;12890605,5033775;12890605,5033775;producao_brasil;25,0;0,0;0,0;US$
2011;ABR;Abril;4;GASOLINA A;1078457,11241;134353513,0;12139478,68266834;12139478,68266834;producao_brasil;33,124724378653525;98629918,39722024;232983431,39722025;US$
2011;MAI;Maio;5;GASOLINA A;1520567,85731;195963458,0;13846005,28210295;13846005,28210295;producao_brasil;35,278756371655426;142319715,01539037;338283173,0153904;US$
2011;JUN;Junho;6;GASOLINA A;0,0;0,0;11532678,85487859;11532678,85487859;producao_brasil;25,0;0,0;0,0;US$
2011;JUL;Julho;7;GASOLINA A;0,0;0,0;12681332,8320005;12681332,8320005;producao_brasil;25,0;0,0;0,0;US$
2011;AGO;Agosto;8;GASOLINA A;599835,698872911;74259759,0;13075191,8026703;13075191,8026703;producao_brasil;29,33372923904463;56664341,02134894;130924100,02134894;US$
2011;SET;Setembro;9;GASOLINA A;2093657,60565;253543814,0;12965902,90081461;12965902,90081461;producao_brasil;38,36044128063233;173230184,35671398;426773998,356714;US$
2011;OUT;Outubro;10;GASOLINA A;3198676,58569;387667795,0;12411389,307503741;12411389,307503741;producao_brasil;44,71169644401776;244649538,47804156;632317333,4780415;US$
2011;NOV;Novembro;11;GASOLINA A;1819453,3387;214004866,0;12067879,30983282;12067879,30983282;producao_brasil;37,134694026379776;146440022,97210044;360444888,97210044;US$
2011;DEZ;Dezembro;12;GASOLINA A;3443749,3460326;384480579,0;12872927,18727682;12872927,18727682;producao_brasil;43,28723176193681;235410202,92826852;619890781,9282686;US$
2012;JAN;Janeiro;1;GASOLINA A;1978722,6953328976;229826929,0;13774454,88172809;13774454,88172809;producao_brasil;36,44904643741891;157704373,59103647;387531302,59103644;US$
2012;FEV;Fevereiro;2;GASOLINA A;2700868,4542980595;330743882,0;12958198,84590554;12958198,84590554;producao_brasil;41,80956889680946;217821736,278806;548565618,278806;US$
2012;MAR;Março;3;GASOLINA A;3035106,575708019;397665624,0;14012297,17211576;14012297,17211576;producao_brasil;43,876068424693585;264497080,2079975;662162704,2079976;US$
2012;ABR;Abril;4;GASOLINA A;1840103,2596326417;251978486,0;13911239,75089688;13911239,75089688;producao_brasil;38,07672014833861;181913389,1389222;433891875,1389222;US$
2012;MAI;Maio;5;GASOLINA A;1234680,5141131538;170256792,0;13907835,171091031;13907835,171091031;producao_brasil;34,205192984106965;128024306,74104325;298281098,74104327;US$
2012;JUN;Junho;6;GASOLINA A;1431510,513811496;188389609,0;13450337,42497525;13450337,42497525;producao_brasil;35,254226946976424;137922812,46910667;326312421,4691067;US$
2012;JUL;Julho;7;GASOLINA A;1224810,3865920622;140240444,0;13775848,48348074;13775848,48348074;producao_brasil;32,30769130107326;100669648,1276355;240910092,12763548;US$
2012;AGO;Agosto;8;GASOLINA A;1061743,2392904311;125355764,0;14281047,73979887;14281047,73979887;producao_brasil;31,440300408994062;91974237,59949039;217330001,5994904;US$
2012;SET;Setembro;9;GASOLINA A;607475,7496756874;70209791,0;13501662,362632591;13501662,362632591;producao_brasil;28,899805701817314;52653859,86580681;122863650,86580682;US$
2012;OUT;Outubro;10;GASOLINA A;3391829,080978235;417245709,0;13832474,4226876;13832474,4226876;producao_brasil;44,30121481572762;266983560,26535124;684229269,2653513;US$
2012;NOV;Novembro;11;GASOLINA A;4024367,2397918873;523416748,0;13352332,76303987;13352332,76303987;producao_brasil;49,33186778480959;324887195,40906745;848303943,4090674;US$
2012;DEZ;Dezembro;12;GASOLINA A;1245511,9483906336;156888128,0;14229145,3787141;14229145,3787141;producao_brasil;33,12621091582916;115629036,49942659;272517164,4994266;US$
