ano;produto;volume_importacao_barris;dispendio_importacao_usd_fob;volume_producao_barris;receita_liquida_nao_obtida_usd;lucro_nao_auferido_usd
2010;GASOLINA A;3177140,8441978036;284758265,0;135269959,76922163;186913621,51370305;471671886,51370305
2010;GLP;19640403,1189125;1128138642,0;48140207,67538695;448423566,2042029;1576562208,204203
2010;QUEROSENE DE AVIAÇÃO;12094030,813585307;1071222346,0;29339145,81512;541995416,7297139;1613217762,729714
2010;ÓLEO DIESEL;56652295,05368287;5131079360,0;260582194,7227692;2971876898,0574303;8102956258,05743
2011;GASOLINA A;13754428,22232372;1644286203,0;150628685,41460845;1097355575,205089;2741641778,205089
2011;GLP;21320633,938029833;1567981781,0;50061988,80613719;717812768,621963;2285794549,621963
2011;QUEROSENE DE AVIAÇÃO;11338352,060244592;1419817473,0;33934638,24637;840004096,0495353;2259821569,0495353
2011;ÓLEO DIESEL;58701468,52292945;7421941848,0;272904248,0330874;4798913415,547055;12220855263,547054
2012;GASOLINA A;23776729,657615203;3002217906,0;164986874,39706632;2040681236,19369;5042899142,19369
2012;GLP;15851923,791172916;1075075722,0;52333635,57788023;505570542,63843;1580646264,63843
2012;QUEROSENE DE AVIAÇÃO;10461480,485804344;1340964158,0;34108186,68389;723078854,1072423;2064043012,1072426
2012;ÓLEO DIESEL;50131071,78158485;6573719918,0;286211540,5993616;4377900827,870369;10951620745,870369
2013;GASOLINA A;18102336,428045217;2143884423,0;179972679,13223502;1427876203,9977977;3571760626,9977975
2013;GLP;20910032,68227875;1285308483,0;49979627,737322874;519756111,2463449;1805064594,246345
2013;QUEROSENE DE AVIAÇÃO;12338397,512920137;1620508637,0;34936064,05571;910060405,9602367;2530569042,9602365
2013;ÓLEO DIESEL;64678395,21112665;8284785484,0;311592069,372138;5433507933,858541;13718293417,858541
2014;GASOLINA A;13692872,714310648;1582338631,0;181598677,67791802;1131764814,7932098;2714103445,7932096
2014;GLP;24297041,56205625;1507805814,0;47667854,24117616;564300021,4683251;2072105835,4683251
2014;QUEROSENE DE AVIAÇÃO;9457291,529081302;1142602474,0;38236472,028340004;683756270,1170727;1826358744,1170728
2014;ÓLEO DIESEL;70918293,76746956;8724821352,0;312446671,3015291;5578751684,407318;14303573036,407318
2015;GASOLINA A;15533164,22744798;1047669430,0;161825384,82231635;579579883,0059693;1627249313,0059693
2015;GLP;20071858,162235416;596541599,0;46710701,190322906;65040086,91530104;661581685,9153011
