ano;receita_liquida_nao_obtida_usd;lucro_nao_auferido_usd
2010;4149209502,50505;11764408115,50505
2011;7454085855,423643;19508113160,42364
2012;7647231460,8097315;19639209164,80973
2013;8291200655,06292;21625687682,06292
2014;7958572790,785926;20916141061,785927
2015;2938321896,8619514;8646001164,861952
2016;1967959280,462078;6866175669,462078
2017;3794711171,973123;12079666287,973122
2018;4847240743,497334;14260779801,497334
2019;4888582960,537634;14830809301,537634
2020;2210456241,371545;8166895331,371545
2021;4685296211,125369;14288916756,12537
2022;11035094637,590206;29953085515,590202
2023;7590002122,531424;20875330542,531425
2024;6278140884,807265;17655977774,807266
2025;6578180043,249247;19317050411,249245
2026;5163522664,635148;13771893910,635149
