ano;mes;mes_nome;mes_ordem;produto;volume_barris;dispendio_usd_fob;unidade_volume;unidade_dispendio
2010;JAN;Janeiro;1;GASOLINA A;0,0;0,0;b;US$ FOB
2010;FEV;Fevereiro;2;GASOLINA A;1178427,6916233157;101161412,0;b;US$ FOB
2010;MAR;Março;3;GASOLINA A;1189748,790152345;111634448,0;b;US$ FOB
2010;ABR;Abril;4;GASOLINA A;773893,8822615634;68618678,0;b;US$ FOB
2010;MAI;Maio;5;GASOLINA A;3,611130808625337;3724,0;b;US$ FOB
2010;JUN;Junho;6;GASOLINA A;34968,93617946092;3279915,0;b;US$ FOB
2010;JUL;Julho;7;GASOLINA A;33,500443557951485;22590,0;b;US$ FOB
2010;AGO;Agosto;8;GASOLINA A;10,307828787061995;5650,0;b;US$ FOB
2010;SET;Setembro;9;GASOLINA A;8,66332320754717;535,0;b;US$ FOB
2010;OUT;Outubro;10;GASOLINA A;32,8816347574124;27470,0;b;US$ FOB
2010;NOV;Novembro;11;GASOLINA A;0,0;0,0;b;US$ FOB
2010;DEZ;Dezembro;12;GASOLINA A;12,57962;3843,0;b;US$ FOB
2011;JAN;Janeiro;1;GASOLINA A;5,51841820754717;1796,0;b;US$ FOB
2011;FEV;Fevereiro;2;GASOLINA A;25,15924;10623,0;b;US$ FOB
2011;MAR;Março;3;GASOLINA A;0,0;0,0;b;US$ FOB
2011;ABR;Abril;4;GASOLINA A;1078457,11241;134353513,0;b;US$ FOB
2011;MAI;Maio;5;GASOLINA A;1520567,85731;195963458,0;b;US$ FOB
2011;JUN;Junho;6;GASOLINA A;0,0;0,0;b;US$ FOB
2011;JUL;Julho;7;GASOLINA A;0,0;0,0;b;US$ FOB
2011;AGO;Agosto;8;GASOLINA A;599835,698872911;74259759,0;b;US$ FOB
2011;SET;Setembro;9;GASOLINA A;2093657,60565;253543814,0;b;US$ FOB
2011;OUT;Outubro;10;GASOLINA A;3198676,58569;387667795,0;b;US$ FOB
2011;NOV;Novembro;11;GASOLINA A;1819453,3387;214004866,0;b;US$ FOB
2011;DEZ;Dezembro;12;GASOLINA A;3443749,3460326;384480579,0;b;US$ FOB
2012;JAN;Janeiro;1;GASOLINA A;1978722,6953328976;229826929,0;b;US$ FOB
2012;FEV;Fevereiro;2;GASOLINA A;2700868,4542980595;330743882,0;b;US$ FOB
2012;MAR;Março;3;GASOLINA A;3035106,575708019;397665624,0;b;US$ FOB
2012;ABR;Abril;4;GASOLINA A;1840103,2596326417;251978486,0;b;US$ FOB
2012;MAI;Maio;5;GASOLINA A;1234680,5141131538;170256792,0;b;US$ FOB
2012;JUN;Junho;6;GASOLINA A;1431510,513811496;188389609,0;b;US$ FOB
2012;JUL;Julho;7;GASOLINA A;1224810,3865920622;140240444,0;b;US$ FOB
2012;AGO;Agosto;8;GASOLINA A;1061743,2392904311;125355764,0;b;US$ FOB
2012;SET;Setembro;9;GASOLINA A;607475,7496756874;70209791,0;b;US$ FOB
2012;OUT;Outubro;10;GASOLINA A;3391829,080978235;417245709,0;b;US$ FOB
2012;NOV;Novembro;11;GASOLINA A;4024367,2397918873;523416748,0;b;US$ FOB
2012;DEZ;Dezembro;12;GASOLINA A;1245511,9483906336;156888128,0;b;US$ FOB
2013;JAN;Janeiro;1;GASOLINA A;4335008,215012061;509164278,0;b;US$ FOB
2013;FEV;Fevereiro;2;GASOLINA A;3692651,9340470624;428207716,0;b;US$ FOB
2013;MAR;Março;3;GASOLINA A;2205274,6835762667;263224163,0;b;US$ FOB
2013;ABR;Abril;4;GASOLINA A;1850195,7260034503;228244981,0;b;US$ FOB
2013;MAI;Maio;5;GASOLINA A;2442543,4908396904;298736562,0;b;US$ FOB
2013;JUN;Junho;6;GASOLINA A;621318,1549935983;73340393,0;b;US$ FOB
2013;JUL;Julho;7;GASOLINA A;569912,3940237197;64438005,0;b;US$ FOB
2013;AGO;Agosto;8;GASOLINA A;0,0;0,0;b;US$ FOB
2013;SET;Setembro;9;GASOLINA A;894136,0104949055;106383314,0;b;US$ FOB
2013;OUT;Outubro;10;GASOLINA A;303217,3718682615;33121880,0;b;US$ FOB
2013;NOV;Novembro;11;GASOLINA A;890863,3341928436;106262922,0;b;US$ FOB
2013;DEZ;Dezembro;12;GASOLINA A;297215,1129933558;32760209,0;b;US$ FOB
2014;JAN;Janeiro;1;GASOLINA A;287288,72473241243;33333258,0;b;US$ FOB
2014;FEV;Fevereiro;2;GASOLINA A;2360866,1967257415;273640893,0;b;US$ FOB
2014;MAR;Março;3;GASOLINA A;1280443,7136578977;148918310,0;b;US$ FOB
2014;ABR;Abril;4;GASOLINA A;1497654,5880899732;171378412,0;b;US$ FOB
2014;MAI;Maio;5;GASOLINA A;1797149,6300558355;206196258,0;b;US$ FOB
2014;JUN;Junho;6;GASOLINA A;1044168,0182278438;119858192,0;b;US$ FOB
2014;JUL;Julho;7;GASOLINA A;1648883,2194601619;192160402,0;b;US$ FOB
2014;AGO;Agosto;8;GASOLINA A;746374,4800658086;89275002,0;b;US$ FOB
2014;SET;Setembro;9;GASOLINA A;459324,68334506743;55304064,0;b;US$ FOB
2014;OUT;Outubro;10;GASOLINA A;460979,34417037736;58648203,0;b;US$ FOB
2014;NOV;Novembro;11;GASOLINA A;1057049,2100345285;123013585,0;b;US$ FOB
2014;DEZ;Dezembro;12;GASOLINA A;1052690,9057449999;110612052,0;b;US$ FOB
2015;JAN;Janeiro;1;GASOLINA A;2265195,872450364;192198148,0;b;US$ FOB
2015;FEV;Fevereiro;2;GASOLINA A;2207656,3514970485;163801084,0;b;US$ FOB
2015;MAR;Março;3;GASOLINA A;1933295,6022120079;103821707,0;b;US$ FOB
2015;ABR;Abril;4;GASOLINA A;2588182,006949798;152115408,0;b;US$ FOB
2015;MAI;Maio;5;GASOLINA A;2012999,421815876;131950007,0;b;US$ FOB
2015;JUN;Junho;6;GASOLINA A;1409099,7088606737;94875996,0;b;US$ FOB
2015;JUL;Julho;7;GASOLINA A;714903,2801014825;53240666,0;b;US$ FOB
2015;AGO;Agosto;8;GASOLINA A;294929,1400390027;22130037,0;b;US$ FOB
2015;SET;Setembro;9;GASOLINA A;44478,86611764151;2440712,0;b;US$ FOB
2015;OUT;Outubro;10;GASOLINA A;281116,0560860378;18411441,0;b;US$ FOB
2015;NOV;Novembro;11;GASOLINA A;1035657,5068866981;67737919,0;b;US$ FOB
2015;DEZ;Dezembro;12;GASOLINA A;745650,4144313476;44946305,0;b;US$ FOB
2016;JAN;Janeiro;1;GASOLINA A;0,025430498652291106;262,0;b;US$ FOB
2016;FEV;Fevereiro;2;GASOLINA A;1618157,692577318;83193707,0;b;US$ FOB
2016;MAR;Março;3;GASOLINA A;2076702,8463703643;96699329,0;b;US$ FOB
2016;ABR;Abril;4;GASOLINA A;1272941,7165554715;55313051,0;b;US$ FOB
2016;MAI;Maio;5;GASOLINA A;1453304,6885078303;59264532,0;b;US$ FOB
2016;JUN;Junho;6;GASOLINA A;2371695,6474243263;109759554,0;b;US$ FOB
2016;JUL;Julho;7;GASOLINA A;2095146,3833326008;105000092,0;b;US$ FOB
2016;AGO;Agosto;8;GASOLINA A;1872633,2923156873;102306692,0;b;US$ FOB
2016;SET;Setembro;9;GASOLINA A;1886013,6000425876;96649326,0;b;US$ FOB
2016;OUT;Outubro;10;GASOLINA A;1215268,6261464015;63002485,0;b;US$ FOB
2016;NOV;Novembro;11;GASOLINA A;1000753,6049691242;55226259,0;b;US$ FOB
2016;DEZ;Dezembro;12;GASOLINA A;1542512,3771143665;88663529,0;b;US$ FOB
2017;JAN;Janeiro;1;GASOLINA A;2038045,1824540568;115274214,0;b;US$ FOB
2017;FEV;Fevereiro;2;GASOLINA A;4516014,27341434;263418318,0;b;US$ FOB
2017;MAR;Março;3;GASOLINA A;3215032,6177861993;201064455,0;b;US$ FOB
2017;ABR;Abril;4;GASOLINA A;2615042,979628113;159032884,0;b;US$ FOB
2017;MAI;Maio;5;GASOLINA A;1785019,4856426818;112776335,0;b;US$ FOB
2017;JUN;Junho;6;GASOLINA A;3081712,7962830863;182891215,0;b;US$ FOB
2017;JUL;Julho;7;GASOLINA A;2028844,190690337;114815784,0;b;US$ FOB
2017;AGO;Agosto;8;GASOLINA A;1976128,5979800406;116509775,0;b;US$ FOB
