ano;produto;volume_barris;dispendio_usd_fob
2010;GASOLINA A;3177140,8441978036;284758265,0
2010;GLP;19640403,1189125;1128138642,0
2010;QUEROSENE DE AVIAÇÃO;12094030,813585307;1071222346,0
2010;ÓLEO DIESEL;56652295,05368287;5131079360,0
2011;GASOLINA A;13754428,22232372;1644286203,0
2011;GLP;21320633,938029833;1567981781,0
2011;QUEROSENE DE AVIAÇÃO;11338352,060244592;1419817473,0
2011;ÓLEO DIESEL;58701468,52292945;7421941848,0
2012;GASOLINA A;23776729,657615203;3002217906,0
2012;GLP;15851923,791172916;1075075722,0
2012;QUEROSENE DE AVIAÇÃO;10461480,485804344;1340964158,0
2012;ÓLEO DIESEL;50131071,78158485;6573719918,0
2013;GASOLINA A;18102336,428045217;2143884423,0
2013;GLP;20910032,68227875;1285308483,0
2013;QUEROSENE DE AVIAÇÃO;12338397,512920137;1620508637,0
2013;ÓLEO DIESEL;64678395,21112665;8284785484,0
2014;GASOLINA A;13692872,714310648;1582338631,0
2014;GLP;24297041,56205625;1507805814,0
2014;QUEROSENE DE AVIAÇÃO;9457291,529081302;1142602474,0
2014;ÓLEO DIESEL;70918293,76746956;8724821352,0
2015;GASOLINA A;15533164,22744798;1047669430,0
2015;GLP;20071858,162235416;596541599,0
2015;QUEROSENE DE AVIAÇÃO;8641897,9265397;648321034,0
2015;ÓLEO DIESEL;43651908,269631855;3415147205,0
2016;GASOLINA A;18405130,500786576;915078818,0
2016;GLP;26100002,004818335;641626437,0
2016;QUEROSENE DE AVIAÇÃO;8015012,700678223;444694921,0
2016;ÓLEO DIESEL;49804751,706662536;2896816213,0
2017;GASOLINA A;28231841,557225943;1731628846,0
2017;GLP;20710795,099660832;708179870,0
2017;QUEROSENE DE AVIAÇÃO;3621639,015610188;222697567,0
2017;ÓLEO DIESEL;81485935,47944903;5622448833,0
2018;GASOLINA A;18660976,64334248;1433395532,0
2018;GLP;27620204,74549458;1232621987,0
2018;QUEROSENE DE AVIAÇÃO;5395537,071063792;453498329,0
2018;ÓLEO DIESEL;73276014,2294805;6294023210,0
2019;GASOLINA A;30369791,10635166;2039391415,0
2019;GLP;22362416,53795875;689839360,0
2019;QUEROSENE DE AVIAÇÃO;6527278,879616233;526116129,0
2019;ÓLEO DIESEL;81816373,36452447;6686879437,0
2020;GASOLINA A;24807098,45934719;1215442012,0
2020;GLP;22752143,979018334;560784019,0
2020;QUEROSENE DE AVIAÇÃO;2054790,7493215348;153005792,0
2020;ÓLEO DIESEL;75443496,24524571;4027207267,0
2021;GASOLINA A;15221111,973394176;1160921332,0
2021;GLP;25267025,21511917;1200824522,0
2021;QUEROSENE DE AVIAÇÃO;2351412,144374566;171076479,0
2021;ÓLEO DIESEL;90803808,31459764;7070798212,0
2022;GASOLINA A;27162120,458308827;2640737484,0
2022;GLP;22068835,611131668;1218964573,0
2022;QUEROSENE DE AVIAÇÃO;8141123,425805572;1101384028,0
2022;ÓLEO DIESEL;100208329,74811299;13956904793,0
2023;GASOLINA A;24854765,60593758;2187566257,0
2023;GLP;18190717,22709583;681859165,0
2023;QUEROSENE DE AVIAÇÃO;6240277,991513032;725260348,0
2023;ÓLEO DIESEL;91176509,83055219;9690642650,0
2024;GASOLINA A;17232620,52956896;1448505431,0
2024;GLP;21234624,662717085;888289896,0
2024;QUEROSENE DE AVIAÇÃO;7048550,389501723;681549471,0
2024;ÓLEO DIESEL;90065041,4964864;8359492092,0
2025;GASOLINA A;21993748,409371287;1593705933,0
2025;GLP;18177848,731619168;726207428,0
2025;QUEROSENE DE AVIAÇÃO;10115706,146156704;927288628,0
2025;ÓLEO DIESEL;107509050,9278871;9491668379,0
2026;GASOLINA A;16136895,066794204;1487961650,0
2026;GLP;7857529,361002084;332172142,0
2026;QUEROSENE DE AVIAÇÃO;4240930,746408314;475895727,0
2026;ÓLEO DIESEL;52766685,4869583;6312341727,0
