ano;mes;mes_nome;mes_ordem;produto;unidade;volume_barris
2000;JAN;Janeiro;1;ASFALTO;b;39,408078807692306
2000;FEV;Fevereiro;2;ASFALTO;b;316,1899582788461
2000;MAR;Março;3;ASFALTO;b;938,1372572884615
2000;ABR;Abril;4;ASFALTO;b;3219,8807447788463
2000;MAI;Maio;5;ASFALTO;b;1377,389767375
2000;JUN;Junho;6;ASFALTO;b;729,1583200384615
2000;JUL;Julho;7;ASFALTO;b;267,5951281346154
2000;AGO;Agosto;8;ASFALTO;b;230,0437528557692
2000;SET;Setembro;9;ASFALTO;b;823,5417574038463
2000;OUT;Outubro;10;ASFALTO;b;509,5229931538462
2000;NOV;Novembro;11;ASFALTO;b;158,19476939423078
2000;DEZ;Dezembro;12;ASFALTO;b;216,23036243269232
2001;JAN;Janeiro;1;ASFALTO;b;941,2700665000001
2001;FEV;Fevereiro;2;ASFALTO;b;720,5340228653846
2001;MAR;Março;3;ASFALTO;b;920,0540535384616
2001;ABR;Abril;4;ASFALTO;b;94,75840680769231
2001;MAI;Maio;5;ASFALTO;b;1079,3434917884615
2001;JUN;Junho;6;ASFALTO;b;370,3428032211539
2001;JUL;Julho;7;ASFALTO;b;195,44374996153846
2001;AGO;Agosto;8;ASFALTO;b;211,5553401923077
2001;SET;Setembro;9;ASFALTO;b;259,1643635769231
2001;OUT;Outubro;10;ASFALTO;b;198,21973341346157
2001;NOV;Novembro;11;ASFALTO;b;237,06535805769232
2001;DEZ;Dezembro;12;ASFALTO;b;315,13157678846153
2002;JAN;Janeiro;1;ASFALTO;b;359,93437725
2002;FEV;Fevereiro;2;ASFALTO;b;82,34812784615384
2002;MAR;Março;3;ASFALTO;b;696,6932238076923
2002;ABR;Abril;4;ASFALTO;b;520,9656090384615
2002;MAI;Maio;5;ASFALTO;b;353,5901362019231
2002;JUN;Junho;6;ASFALTO;b;401,44712325
2002;JUL;Julho;7;ASFALTO;b;1020,6849656442307
2002;AGO;Agosto;8;ASFALTO;b;335,57950718269234
2002;SET;Setembro;9;ASFALTO;b;1256,280685403846
2002;OUT;Outubro;10;ASFALTO;b;159,60997664423076
2002;NOV;Novembro;11;ASFALTO;b;72,68359286538463
2002;DEZ;Dezembro;12;ASFALTO;b;460,08145781730775
2003;JAN;Janeiro;1;ASFALTO;b;217,33287880000006
2003;FEV;Fevereiro;2;ASFALTO;b;520,3544472
2003;MAR;Março;3;ASFALTO;b;182,3001712
2003;ABR;Abril;4;ASFALTO;b;573,2686244000001
2003;MAI;Maio;5;ASFALTO;b;330,59241360000004
2003;JUN;Junho;6;ASFALTO;b;217,85447280000002
2003;JUL;Julho;7;ASFALTO;b;1134,6387691999998
2003;AGO;Agosto;8;ASFALTO;b;361,69782519999995
2003;SET;Setembro;9;ASFALTO;b;1502,1539016
2003;OUT;Outubro;10;ASFALTO;b;874,8235932000001
2003;NOV;Novembro;11;ASFALTO;b;1011,9905424000001
2003;DEZ;Dezembro;12;ASFALTO;b;426,81116560000004
2004;JAN;Janeiro;1;ASFALTO;b;914,8636032000002
2004;FEV;Fevereiro;2;ASFALTO;b;361,2253224
2004;MAR;Março;3;ASFALTO;b;1409,7213084000005
2004;ABR;Abril;4;ASFALTO;b;1543,2493724000003
2004;MAI;Maio;5;ASFALTO;b;3064,8433892000007
2004;JUN;Junho;6;ASFALTO;b;3843,6998228
2004;JUL;Julho;7;ASFALTO;b;4952,111618399999
2004;AGO;Agosto;8;ASFALTO;b;2511,3339728000005
2004;SET;Setembro;9;ASFALTO;b;1436,3594208
2004;OUT;Outubro;10;ASFALTO;b;2063,4749552000003
2004;NOV;Novembro;11;ASFALTO;b;3383,3593676000005
2004;DEZ;Dezembro;12;ASFALTO;b;2429,8425808
2005;JAN;Janeiro;1;ASFALTO;b;3042,5437116000007
2005;FEV;Fevereiro;2;ASFALTO;b;2464,7525604
2005;MAR;Março;3;ASFALTO;b;3350,6707648
2005;ABR;Abril;4;ASFALTO;b;1715,6392576000003
2005;MAI;Maio;5;ASFALTO;b;2853,7696384
2005;JUN;Junho;6;ASFALTO;b;2540,1136888000005
2005;JUL;Julho;7;ASFALTO;b;1891,1709796000002
2005;AGO;Agosto;8;ASFALTO;b;3816,3867064
