ano;produto;volume_barris
2000;ASFALTO;8825,292889942308
2000;COQUE;13981115,597253673
2000;GASOLINA A;382026,1904790139
2000;GASOLINA DE AVIAÇÃO;0,0
2000;GLP;32057765,369412217
2000;LUBRIFICANTE;955462,6225043637
2000;NAFTA;23772354,26186428
2000;OUTROS NÃO ENERGÉTICOS;23289,39899339
2000;PARAFINA;61962,927981
2000;QUEROSENE DE AVIAÇÃO;5678405,117675443
2000;QUEROSENE ILUMINANTE;0,0
2000;SOLVENTE;873021,4577698082
2000;ÓLEO COMBUSTÍVEL;549474,0598048674
2000;ÓLEO DIESEL;36486388,22358732
2001;ASFALTO;5542,882966711539
2001;COQUE;17778101,54741178
2001;GASOLINA A;210,69116330555556
2001;GASOLINA DE AVIAÇÃO;0,0
2001;GLP;24222635,19993718
2001;LUBRIFICANTE;1344931,7675233977
2001;NAFTA;20800718,3619335
2001;OUTROS NÃO ENERGÉTICOS;32034,46148613
2001;PARAFINA;223481,20642750003
2001;QUEROSENE DE AVIAÇÃO;7436354,632093177
2001;QUEROSENE ILUMINANTE;0,0
2001;SOLVENTE;1607135,968474096
2001;ÓLEO COMBUSTÍVEL;83811,15986890816
2001;ÓLEO DIESEL;41420285,95213977
2002;ASFALTO;5719,898782951923
2002;COQUE;13665999,757086
2002;GASOLINA A;1032082,4481101667
2002;GASOLINA DE AVIAÇÃO;0,0
2002;GLP;21104805,796375945
2002;LUBRIFICANTE;1542097,6696621706
2002;NAFTA;20460584,385186125
2002;OUTROS NÃO ENERGÉTICOS;34093,32386286
2002;PARAFINA;124992,20887200002
2002;QUEROSENE DE AVIAÇÃO;6262308,4666031385
2002;QUEROSENE ILUMINANTE;0,0
2002;SOLVENTE;1179108,0392346713
2002;ÓLEO COMBUSTÍVEL;372325,9170408376
2002;ÓLEO DIESEL;40065473,70025848
2003;ASFALTO;7353,8188052000005
2003;COQUE;15653908,190317461
2003;GASOLINA A;1142714,8879277764
2003;GASOLINA DE AVIAÇÃO;24281,153067589534
2003;GLP;12830839,797124999
2003;LUBRIFICANTE;1415224,049183966
2003;NAFTA;20102847,324612122
2003;OUTROS NÃO ENERGÉTICOS;49335,82094533565
2003;PARAFINA;117980,067887
2003;QUEROSENE DE AVIAÇÃO;2214252,0146984607
2003;QUEROSENE ILUMINANTE;0,0
2003;SOLVENTE;4484162,955011765
2003;ÓLEO COMBUSTÍVEL;584680,1917152123
2003;ÓLEO DIESEL;24016770,627478488
2004;ASFALTO;27914,084734000004
2004;COQUE;15508920,007974451
2004;GASOLINA A;348210,28160882747
2004;GASOLINA DE AVIAÇÃO;10409,52292254821
2004;GLP;11825702,065529166
2004;LUBRIFICANTE;1701562,5528907774
2004;NAFTA;20349270,405736297
2004;OUTROS NÃO ENERGÉTICOS;64497,204113900465
2004;PARAFINA;58430,94653950001
2004;QUEROSENE DE AVIAÇÃO;682416,0296863329
2004;QUEROSENE ILUMINANTE;0,0
2004;SOLVENTE;5523237,275693576
2004;ÓLEO COMBUSTÍVEL;820321,292055163
2004;ÓLEO DIESEL;16949162,951733075
2005;ASFALTO;40897,5166724
