ano,saldo_comercial,exportacoes,importacoes,reservas,saldo_reconstruido,var_reservas
1995,-4.571,46.416,50.987,51.840,-4.571,
1996,-6.636,47.711,54.347,60.110,-6.636,8.270
1997,-7.751,52.788,60.538,52.173,-7.750,-7.937
1998,-7.628,51.045,58.673,44.556,-7.627,-7.617
1999,-2.062,48.197,50.260,36.342,-2.062,-8.214
2000,-1.789,55.187,56.976,33.011,-1.789,-3.331
2001,1.537,58.106,56.569,35.866,1.537,2.855
2002,12.004,60.279,48.275,37.823,12.004,1.957
2003,23.576,72.883,49.307,49.296,23.576,11.473
2004,32.284,96.098,63.813,52.935,32.284,3.639
2005,43.721,118.414,74.692,53.799,43.721,0.864
2006,45.178,137.709,92.531,85.839,45.177,32.040
2007,38.498,160.540,122.042,180.334,38.498,94.495
2008,23.507,198.214,174.707,193.783,23.507,13.449
2009,24.790,153.525,128.735,238.520,24.790,44.737
2010,18.358,201.197,182.839,288.575,18.358,50.055
2011,27.525,255.403,227.877,352.012,27.525,63.437
2012,16.909,241.982,225.074,373.147,16.909,21.135
2013,0.369,241.511,241.142,358.808,0.369,-14.339
2014,-6.739,223.971,230.710,363.551,-6.739,4.743
2015,17.445,189.914,172.469,356.464,17.445,-7.087
2016,44.544,184.267,139.723,365.016,44.544,8.552
2017,57.399,218.001,160.602,373.972,57.399,8.956
2018,44.348,239.518,195.170,374.715,44.348,0.743
2019,29.567,225.793,196.226,356.884,29.567,-17.831
2020,35.664,210.690,175.027,355.620,35.664,-1.264
2021,42.312,283.964,241.652,362.204,42.312,6.584
2022,51.522,340.201,288.679,324.703,51.522,-37.501
2023,92.275,343.819,251.544,355.034,92.275,30.331
2024,65.842,339.856,274.014,329.730,65.842,-25.304
2025,59.728,350.501,290.772,358.234,59.729,28.504
