ano,consignado,cdc,veiculos,cartao,pf_livres,share_consignado,share_cdc,share_cartao,share_veiculos,share_veic_cdc,var_consignado,var_cdc,var_cartao,soma_tres,share_tres
2002,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,
2004,,,,,,,,,,,,,,,
2005,,,,,,,,,,,,,,,
2006,,,,,,,,,,,,,,,
2007,68.259,93.942,81.481,41.866,314.773,21.685,29.844,13.300,25.886,86.735,,,,204.067,64.830
2008,82.853,94.033,82.433,59.409,395.916,20.927,23.751,15.005,20.821,87.664,21.380,0.097,41.903,236.295,59.683
2009,107.283,103.573,94.133,79.810,458.687,23.389,22.580,17.400,20.522,90.886,29.486,10.145,34.340,290.666,63.369
2010,136.312,150.704,140.339,100.065,552.863,24.656,27.259,18.099,25.384,93.122,27.058,45.505,25.379,387.081,70.014
2011,158.345,187.186,177.728,114.120,626.283,25.283,29.888,18.222,28.378,94.947,16.164,24.208,14.046,459.651,73.393
2012,187.462,203.668,193.216,126.732,689.557,27.186,29.536,18.379,28.020,94.868,18.388,8.805,11.052,517.862,75.101
2013,216.714,204.192,192.797,144.993,741.957,29.208,27.521,19.542,25.985,94.419,15.604,0.257,14.409,565.899,76.271
2014,249.435,196.114,184.141,161.378,780.870,31.943,25.115,20.666,23.582,93.895,15.099,-3.956,11.301,606.927,77.724
2015,271.524,172.275,161.116,173.690,805.334,33.716,21.392,21.567,20.006,93.523,8.856,-12.156,7.629,617.489,76.675
2016,286.999,153.777,143.590,186.442,810.626,35.405,18.970,23.000,17.713,93.375,5.699,-10.737,7.342,627.218,77.375
