ano,n,selic_ini,selic_fim,altas,cortes,manutencoes,unanimes,tema_top,delta
2001,12,15.25,19.0,5,1,6,9,inflacao,3.75
2002,13,19.0,25.0,3,3,7,10,inflacao,6.0
2003,12,25.5,16.5,2,6,4,8,inflacao,-9.0
2004,12,16.5,17.75,3,2,7,8,inflacao,1.25
2005,12,18.25,18.0,5,4,3,11,inflacao,-0.25
2006,8,17.25,13.25,0,7,1,6,inflacao,-4.0
2007,8,13.0,11.25,0,5,3,4,inflacao,-1.75
2008,8,11.25,13.75,4,0,4,7,inflacao,2.5
2009,8,12.75,8.75,0,4,4,6,inflacao,-4.0
2010,8,8.75,10.75,3,0,5,7,inflacao,2.0
2011,8,11.25,11.0,4,3,1,6,inflacao,-0.25
2012,8,10.5,7.25,0,7,1,6,inflacao,-3.25
2013,8,7.25,10.0,6,0,2,7,inflacao,2.75
2014,8,10.5,11.75,5,0,3,7,inflacao,1.25
2015,8,12.25,14.25,5,0,3,7,inflacao,2.0
2016,8,14.25,13.75,0,2,6,6,inflacao,-0.5
2017,8,13.0,7.0,0,6,2,8,inflacao,-6.0
2018,8,6.75,6.5,0,2,6,8,inflacao,-0.25
2019,8,6.5,4.5,0,4,4,8,inflacao,-2.0
2020,8,4.25,2.0,0,5,3,8,inflacao,-2.25
2021,8,2.0,9.25,7,0,1,8,inflacao,7.25
2022,8,10.75,13.75,5,0,3,7,inflacao,3.0
2023,8,13.75,11.75,0,4,4,7,inflacao,-2.0
2024,8,11.25,12.25,3,3,2,7,inflacao,1.0
2025,8,13.25,15.0,4,0,4,8,inflacao,1.75
2026,5,15.0,14.0,0,4,1,5,inflacao,-1.0
