reuniao,data,titulo,url_pdf,link,ident,n_caracteres,selic_antes,selic,delta_selic,decisao,voto,trecho,inflacao,cambio,fiscal,atividade,credito,externo,expectativas,guidance,credibilidade,pandemia,ano
55,2001-01-17,55ª Reunião,,/publicacoes/atascopom/17012001,17012001,22756,15.75,15.25,-0.5,corte,—,Sumário Demanda e oferta agregadas Ambiente externo Preços Avaliação prospectiva das tendências da inflação Mercado monetário e operações de mercado aberto Diretrizes de política monetária Data: 16 e 17.01.2001 Local: Sala de reuniões do 8 o andar (no dia 16) e 20 o andar (no dia 17) do Edifício-Sede do Banco Central - Brasília - DF Horário de início: 16:00 h dia 16 e 17:20 h dia 17 Horário de término: 19:30 h dia…,27,4,3,11,1,8,9,1,0,0,2001
56,2001-02-14,56ª Reunião,,/publicacoes/atascopom/14022001,14022001,23511,15.25,15.25,0.0,manutenção,—,"o Copom decidiu manter a meta para a taxa Selic em 15,25% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 20 de março de 2001, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº 8.018, de 22.11.2000, do…",24,6,5,15,13,4,8,2,0,0,2001
57,2001-03-21,57ª Reunião,,/publicacoes/atascopom/21032001,21032001,18891,15.25,15.75,0.5,alta,—,"o Copom decidiu elevar a meta para a taxa Selic para 15,75% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 17 de abril de 2001, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº 8.018, de 22.11.2000, do…",22,12,3,5,7,7,4,1,0,0,2001
58,2001-04-18,58ª Reunião,,/publicacoes/atascopom/18042001,18042001,27868,15.75,16.25,0.5,alta,unânime,"o Copom decidiu por unanimidade elevar a meta para a taxa Selic para 16,25% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 22 de maio de 2001, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº 8.018, de…",38,13,3,13,10,5,8,1,0,0,2001
59,2001-05-23,59ª Reunião,,/publicacoes/atascopom/23052001,23052001,33550,16.25,16.75,0.5,alta,unânime,"o Copom decidiu por unanimidade elevar a meta da taxa Selic para 16,75% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 19 de junho de 2001, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº 8.018, de…",29,11,4,18,19,8,10,1,0,0,2001
60,2001-06-20,60ª Reunião,,/publicacoes/atascopom/20062001,20062001,37267,16.75,18.25,1.5,alta,unânime,"o Copom decidiu por unanimidade elevar a meta da taxa Selic para 18,25% ao ano, com viés de redução. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 17 de julho, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº…",35,12,4,17,10,7,11,1,0,0,2001
61,2001-07-18,61ª Reunião,,/publicacoes/atascopom/18072001,18072001,30255,18.25,19.0,0.75,alta,unânime,"o Copom decidiu por unanimidade elevar a meta da taxa Selic para 19,0 % ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 21 de agosto, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº 8.018, de…",29,10,5,15,23,10,12,1,0,0,2001
62,2001-08-22,62ª Reunião,,/publicacoes/atascopom/22082001,22082001,31113,19.0,19.0,0.0,manutenção,unânime,"o Copom decidiu por unanimidade manter a meta para a taxa de juros Selic em 19% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 18 de setembro, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº 8.018, de…",35,8,4,22,10,5,19,1,1,0,2001
63,2001-09-19,63ª Reunião,,/publicacoes/atascopom/19092001,19092001,30145,19.0,19.0,0.0,manutenção,unânime,"o Copom decidiu por unanimidade manter a meta para a taxa de juros Selic em 19% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 16 de outubro, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº 8.018, de…",36,9,8,17,3,10,10,1,0,0,2001
64,2001-10-17,64ª Reunião,,/publicacoes/atascopom/17102001,17102001,35157,19.0,19.0,0.0,manutenção,unânime,"o Copom avalia que o arrefecimento da demanda pela menor expansão do crédito e pela queda na confiança dos consumidores tem superado o efeito da crise de energia sobre a oferta agregada, gerando um hiato de produção que tem o efeito de conter as pressões inflacionárias. Além disso, o Copom tem como referência metodológica a taxa Selic constante no período da sua projeção enquanto a mediana da projeção dos analistas…",32,12,5,21,7,10,12,1,0,0,2001
65,2001-11-21,65ª Reunião,,/publicacoes/atascopom/21112001,21112001,31451,19.0,19.0,0.0,manutenção,unânime,"o Copom decidiu por unanimidade manter a meta para a taxa de juros Selic em 19% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 18 de dezembro de 2001, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº…",35,13,9,23,5,8,15,1,0,0,2001
66,2001-12-19,66ª Reunião,,/publicacoes/atascopom/19122001,19122001,35061,19.0,19.0,0.0,manutenção,unânime,"o Copom decidiu por unanimidade manter a meta para a taxa de juros Selic em 19% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 22 de janeiro de 2002, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº…",34,18,6,26,7,10,14,1,0,0,2001
67,2002-01-23,67ª Reunião,,/publicacoes/atascopom/23012002,23012002,32157,19.0,19.0,0.0,manutenção,unânime,"o Copom decidiu por unanimidade manter a meta para a taxa de juros Selic em 19% ao ano. Ao final da reunião, foi registrado que o Comitê voltaria a reunir-se em 19 de fevereiro de 2002, às 15:00 h, para as apresentações técnicas e no dia seguinte, às 16:30 h, para deliberar sobre as diretrizes de política monetária, conforme estabelecido no Calendário das Reuniões Ordinárias do Copom, divulgado pelo Comunicado nº…",39,9,5,11,9,10,6,1,0,0,2002
