ordem,selic,inicio,fim,n_pregao
1,45.0,1999-03-05,1999-03-24,14
2,42.0,1999-03-25,1999-04-05,6
3,39.5,1999-04-06,1999-04-14,7
4,34.0,1999-04-15,1999-04-28,9
5,32.0,1999-04-29,1999-05-07,7
6,29.5,1999-05-10,1999-05-12,3
7,27.0,1999-05-13,1999-05-19,5
8,23.5,1999-05-20,1999-06-08,13
9,22.0,1999-06-09,1999-06-23,11
10,21.0,1999-06-24,1999-07-28,25
11,19.5,1999-07-29,1999-09-22,39
12,19.0,1999-09-23,2000-03-28,129
13,18.5,2000-03-29,2000-06-20,58
14,17.5,2000-06-21,2000-07-07,12
15,17.0,2000-07-10,2000-07-19,8
16,16.5,2000-07-20,2000-12-20,106
17,15.75,2000-12-21,2001-01-17,18
18,15.25,2001-01-18,2001-03-21,43
19,15.75,2001-03-22,2001-04-18,19
20,16.25,2001-04-19,2001-05-23,24
21,16.75,2001-05-24,2001-06-20,19
22,18.25,2001-06-21,2001-07-18,20
23,19.0,2001-07-19,2002-02-20,147
24,18.75,2002-02-21,2002-03-20,20
25,18.5,2002-03-21,2002-07-17,82
26,18.0,2002-07-18,2002-10-14,63
27,21.0,2002-10-15,2002-11-20,26
28,22.0,2002-11-21,2002-12-18,20
29,25.0,2002-12-19,2003-01-22,23
30,25.5,2003-01-23,2003-02-19,20
31,26.5,2003-02-20,2003-06-18,80
32,26.0,2003-06-20,2003-07-23,24
33,24.5,2003-07-24,2003-08-20,20
34,22.0,2003-08-21,2003-09-17,20
35,20.0,2003-09-18,2003-10-22,25
36,19.0,2003-10-23,2003-11-19,20
37,17.5,2003-11-20,2003-12-17,20
38,16.5,2003-12-18,2004-03-17,61
39,16.25,2004-03-18,2004-04-14,19
40,16.0,2004-04-15,2004-09-15,107
41,16.25,2004-09-16,2004-10-20,24
42,16.75,2004-10-21,2004-11-17,18
43,17.25,2004-11-18,2004-12-15,20
44,17.75,2004-12-16,2005-01-19,25
45,18.25,2005-01-20,2005-02-16,18
46,18.75,2005-02-17,2005-03-16,20
47,19.25,2005-03-17,2005-04-20,24
48,19.5,2005-04-22,2005-05-18,19
49,19.75,2005-05-19,2005-09-14,83
50,19.5,2005-09-15,2005-10-19,24
51,19.0,2005-10-20,2005-11-23,23
52,18.5,2005-11-24,2005-12-14,15
53,18.0,2005-12-15,2006-01-18,25
54,17.25,2006-01-19,2006-03-08,33
55,16.5,2006-03-09,2006-04-19,29
56,15.75,2006-04-20,2006-05-31,28
57,15.25,2006-06-01,2006-07-19,34
58,14.75,2006-07-20,2006-08-30,30
59,14.25,2006-08-31,2006-10-18,33
60,13.75,2006-10-19,2006-11-29,28
61,13.25,2006-11-30,2007-01-24,38
62,13.0,2007-01-25,2007-03-07,28
63,12.75,2007-03-08,2007-04-18,29
64,12.5,2007-04-19,2007-06-06,34
65,12.0,2007-06-08,2007-07-18,29
66,11.5,2007-07-19,2007-09-05,35
67,11.25,2007-09-06,2008-04-16,151
68,11.75,2008-04-17,2008-06-04,32
69,12.25,2008-06-05,2008-07-23,35
70,13.0,2008-07-24,2008-09-10,35
71,13.75,2008-09-11,2009-01-21,93
72,12.75,2009-01-22,2009-03-11,33
73,11.25,2009-03-12,2009-04-29,33
74,10.25,2009-04-30,2009-06-10,29
75,9.25,2009-06-12,2009-07-22,29
76,8.75,2009-07-23,2010-04-28,191
77,9.5,2010-04-29,2010-06-09,29
78,10.25,2010-06-10,2010-07-21,30
79,10.75,2010-07-22,2011-01-19,126
80,11.25,2011-01-20,2011-03-02,30
81,11.75,2011-03-03,2011-04-20,33
82,12.0,2011-04-25,2011-06-08,33
83,12.25,2011-06-09,2011-07-20,29
84,12.5,2011-07-21,2011-08-31,30
85,12.0,2011-09-01,2011-10-19,33
86,11.5,2011-10-20,2011-11-30,28
87,11.0,2011-12-01,2012-01-18,35
88,10.5,2012-01-19,2012-03-07,33
