ano,ipca_pct,cpi_all_items_pct,diferenca_pp,maior_no_ano,indice_ipca,indice_cpi,razao_indices
1990,1620.970000,6.106265,1614.863735,IPCA,1720.970000,106.106265,16.219306
1991,472.700000,3.064275,469.635725,IPCA,9855.995190,109.357653,90.126250
1992,1119.100000,2.900653,1116.199347,IPCA,120154.437361,112.529738,1067.757192
1993,2477.150000,2.748414,2474.401586,IPCA,3096560.082456,115.622522,26781.634184
1994,916.460000,2.674897,913.785103,IPCA,31475294.614137,118.715305,265132.575207
1995,22.410000,2.538410,19.871590,IPCA,38528908.137165,121.728787,316514.352840
1996,9.560000,3.322476,6.237524,IPCA,42212271.755078,125.773196,335622.160676
1997,5.220000,1.702396,3.517604,IPCA,44415752.340693,127.914354,347230.401126
1998,1.650000,1.611903,0.038097,IPCA,45148612.254315,129.976209,347360.586044
1999,8.940000,2.684564,6.255436,IPCA,49184898.189851,133.465504,368521.429693
2000,5.970000,3.386809,2.583191,IPCA,52121236.611785,137.985726,377729.191767
2001,7.670000,1.551724,6.118276,IPCA,56118935.459909,140.126883,400486.573939
2002,12.530000,2.376910,10.153090,IPCA,63150638.073035,143.457573,440204.281980
2003,9.300000,1.879491,7.420509,IPCA,69023647.413827,146.153846,472267.061253
2004,7.600000,3.255562,4.344438,IPCA,74269444.617278,150.911975,492137.517932
2005,5.690000,3.415659,2.274341,IPCA,78495376.016001,156.066614,502960.717257
2006,3.140000,2.540650,0.599350,IPCA,80960130.822904,160.031721,505900.520157
2007,4.460000,4.081269,0.378731,IPCA,84570952.657605,166.563045,507741.393386
2008,5.900000,0.091413,5.808587,IPCA,89560638.864404,166.715305,537207.059041
2009,4.310000,2.721331,1.588669,IPCA,93420702.399460,171.252181,545515.402830
2010,5.910000,1.495724,4.414276,IPCA,98941865.911268,173.813640,569241.090224
2011,6.500000,2.962419,3.537581,IPCA,105373087.195500,178.962728,588799.066581
2012,5.840000,1.741022,4.098978,IPCA,111526875.487718,182.078509,612520.807793
2013,5.910000,1.501736,4.408264,IPCA,118118113.829042,184.812847,639122.852011
2014,6.410000,0.756493,5.653507,IPCA,125689484.925483,186.210944,674984.415154
2015,10.670000,0.729520,9.940480,IPCA,139100552.967032,187.569389,741595.168762
2016,6.290000,2.074622,4.215378,IPCA,147849977.748659,191.460745,772220.840407
2017,2.950000,2.109082,0.840918,IPCA,152211552.092244,195.498810,778580.451349
2018,3.750000,1.910159,1.839841,IPCA,157919485.295703,199.233148,792636.600120
2019,4.310000,2.285130,2.024870,IPCA,164725815.111948,203.785884,808327.896426
2020,4.520000,1.362005,3.157995,IPCA,172171421.955008,206.561459,833511.840281
2021,10.060000,7.036403,3.023597,IPCA,189491867.003682,221.095956,857057.138369
2022,5.790000,6.454401,-0.664401,CPI All Items,200463446.103195,235.366376,851708.088478
2023,4.620000,3.352123,1.267877,IPCA,209724857.313163,243.256146,862156.458672
2024,4.830000,2.888057,1.941943,IPCA,219854567.921389,250.281523,878429.081126
2025,4.260000,2.677081,1.582919,IPCA,229220372.514840,256.981761,891971.368171
