mes,ano,selic_am,selic_cf_am,ipca_acum_ano_pct,selic_cf_acum_ano_pct,estoque_selic_act,estoque_selic_cf,juros_selic_act,juros_selic_cf,emissao_selic,residuo_selic,dbgg_act,dbgg_cf,delta_estoque_selic,delta_dbgg,dbgg_pib_cf,dbgg_pib_act
2002-12-01,2002,,,,,601982.94294678,601982.94294678,0.00000000,0.00000000,0.00000000,0.00000000,1064671.26482329,1064671.26482329,0.00000000,0.00000000,59.93000000,59.93000000
2003-01-01,2003,1.97000000,0.77217609,9.29994933,9.66994933,630804.72266008,623594.02705783,11859.06397605,4648.36837380,16962.71573724,0.00000000,1074927.17090674,1067716.47530449,7210.69560225,7210.69560225,59.56771655,59.97000000
2003-02-01,2003,1.83000000,0.77217609,9.29994933,9.66994933,643525.54847869,629586.37045066,11543.72642468,4815.24399890,1177.09939393,0.00000000,1094435.06226386,1080495.88423583,13939.17802803,13939.17802803,59.49250369,60.26000000
2003-03-01,2003,1.78000000,0.77217609,9.29994933,9.66994933,647400.44040832,626868.02305941,11454.75476292,4861.51544204,-7579.86283329,0.00000000,1076885.11396257,1056352.69661366,20532.41734891,20532.41734891,57.34537310,58.46000000
2003-04-01,2003,1.87000000,0.77217609,9.29994933,9.66994933,650315.57571139,622517.29514018,12106.38823564,4840.52501334,-9191.25293257,0.00000000,1016225.17292244,988426.89235123,27798.28057121,27798.28057121,52.95082375,54.44000000
2003-05-01,2003,1.97000000,0.77217609,9.29994933,9.66994933,659984.46735777,624181.89967749,12811.21684151,4806.92973244,-3142.32519513,0.00000000,1036755.88490570,1000953.31722541,35802.56768028,35802.56768028,53.06205165,54.96000000
2003-06-01,2003,1.86000000,0.77217609,9.29994933,9.66994933,660867.26712303,617608.77176063,12275.71109285,4819.78341073,-11392.91132759,0.00000000,1035988.50738513,992730.01202273,43258.49536240,43258.49536240,52.14765113,54.42000000
2003-07-01,2003,2.08000000,0.77217609,9.29994933,9.66994933,671566.35369817,619330.84646795,13746.03915616,4769.02728835,-3046.95258102,0.00000000,1060810.04827772,1008574.54104751,52235.50723021,52235.50723021,52.39632020,55.11000000
2003-08-01,2003,1.77000000,0.77217609,9.29994933,9.66994933,674016.92395538,614677.01700226,11886.72446046,4782.32473756,-9436.15420325,0.00000000,1079094.01662799,1019754.10967487,59339.90695312,59339.90695312,52.43857780,55.49000000
2003-09-01,2003,1.68000000,0.77217609,9.29994933,9.66994933,644701.78602066,578784.78372407,11323.48432245,4746.38897898,-40638.62225717,0.00000000,1080784.11480732,1014867.11251073,65917.00229659,65917.00229659,51.39201836,54.73000000
