ano,n_meses,mes_final,ipca_acum_pct,selic_cf_acum_pct,selic_acum_pct,juros_selic_act,juros_selic_cf,economia_juros,estoque_selic_act,estoque_selic_cf,dbgg_act,dbgg_cf,delta_dbgg,dbgg_pib_act,dbgg_pib_cf,reducao_ano,reducao_acumulada,variacao_delta_dbgg,participacao_pct,spread_selic_menos_cf
2003,12,2003-12-01,9.29994933,9.66994933,23.33433121,136853.85276152,56258.72664712,80595.12611440,636472.16482671,555877.03871231,1112318.11456005,1031722.98844565,80595.12611440,54.26000000,50.32848842,80595.12611440,80595.12611440,80595.12611440,2.25009714,13.66438188
2004,12,2004-12-01,7.60064414,7.97064414,16.23544118,96271.41975322,40865.98140617,55405.43834705,632176.65057259,496176.08611114,1172501.19535417,1036500.63089271,136000.56446145,50.19000000,44.36836983,55405.43834705,136000.56446145,55405.43834705,1.54683818,8.26479704
2005,12,2005-12-01,5.68973335,6.05973335,19.04372192,111716.97170517,27268.01187505,84448.95983012,602027.48886911,381577.96457754,1241172.39093286,1020722.86664129,220449.52429157,47.92000000,39.40873977,84448.95983012,220449.52429157,84448.95983012,2.35769050,12.98398858
2006,12,2006-12-01,3.14177497,3.51177497,15.08068006,75588.39807547,9636.18967485,65952.20840062,475199.59435873,188797.86166654,1336644.90163872,1050243.16894653,286401.73269219,46.49000000,36.52862841,65952.20840062,286401.73269219,65952.20840062,1.84128846,11.56890509
2007,12,2007-12-01,4.45733043,4.82733043,11.84810729,63620.21865348,11958.92064614,51661.29800734,580232.78893847,242169.75823894,1542851.83360594,1204788.80290641,338063.03069953,44.55000000,34.78839640,51661.29800734,338063.03069953,51661.29800734,1.44230730,7.02077686
2008,12,2008-12-01,5.90231342,6.27231342,12.48098472,81636.83404900,19404.33420726,62232.49984174,754748.91465760,354453.38411633,1740887.81455873,1340592.28401746,400295.53054127,37.57000000,28.93124513,62232.49984174,400295.53054127,62232.49984174,1.73743968,6.20867130
2009,12,2009-12-01,4.31202833,4.68202833,9.92389791,85054.06020592,21335.67550982,63718.38469610,931465.69848925,467451.78325188,1973423.68412051,1509409.76888314,464013.91523737,40.88000000,31.26782751,63718.38469610,464013.91523737,63718.38469610,1.77892339,5.24186958
2010,12,2010-12-01,5.90906835,6.27906835,9.78245864,81872.25479138,24941.49226156,56930.76252982,787279.46627474,266334.78850755,2011521.66204921,1490576.98428202,520944.67776719,37.98000000,28.14392454,56930.76252982,520944.67776719,56930.76252982,1.58942298,3.50339029
2011,12,2011-12-01,6.50310904,6.87310904,11.61582141,95780.34195118,22618.64499822,73161.69695296,869045.48143523,274939.10671508,2243603.71512325,1649497.34040310,594106.37472015,34.47000000,25.34234230,73161.69695296,594106.37472015,73161.69695296,2.04256675,4.74271237
2012,12,2012-12-01,5.83856900,6.20856900,8.48227094,77291.02458665,20016.19199297,57274.83259368,929446.57743525,278065.37012142,2583946.35443261,1932565.14711878,651381.20731383,32.19000000,24.07529552,57274.83259368,651381.20731383,57274.83259368,1.59902891,2.27370194
2013,12,2013-12-01,5.91081808,6.28081808,8.21335618,85817.35720643,23951.73732087,61865.61988556,916591.99603707,203345.16883767,2747996.70552741,2034749.87832801,713246.82719940,30.50000000,22.58367747,61865.61988556,713246.82719940,61865.61988556,1.72719693,1.93253810
2014,12,2014-12-01,6.40761660,6.77761660,10.91009207,107106.66927377,21954.93401802,85151.73525575,1226853.40074324,428454.83828810,3252448.54925185,2454049.98679671,798398.56245514,32.59000000,24.58993213,85151.73525575,798398.56245514,85151.73525575,2.37731095,4.13247547
2015,12,2015-12-01,10.67349800,11.04349800,13.28578360,170372.33365925,55611.53420892,114760.79945033,1539457.14413662,626297.78223115,3927523.06280055,3014363.70089508,913159.36190547,35.64000000,27.35360699,114760.79945033,913159.36190547,114760.79945033,3.20395238,2.24228561
