ano,n_meses,mes_final,ipca_acum_pct,selic_cf_acum_pct,selic_acum_pct,juros_selic_act,juros_selic_cf,economia_juros,estoque_selic_act,estoque_selic_cf,dbgg_act,dbgg_cf,delta_dbgg,dbgg_pib_act,dbgg_pib_cf
2007,12,2007-12-01,4.45733043,4.82733043,11.84810729,63620.21865348,25947.29110706,37672.92754642,580232.78893847,542559.86139205,1542851.83360594,1505178.90605952,37672.92754642,44.55000000,43.46219047
2008,12,2008-12-01,5.90231342,6.27231342,12.48098472,81636.83404900,38490.38652033,43146.44752867,754748.91465760,673929.53958252,1740887.81455873,1660068.43948365,80819.37507508,37.57000000,35.82584171
2009,12,2009-12-01,4.31202833,4.68202833,9.92389791,85054.06020592,36495.22205530,48558.83815062,931465.69848925,802087.48526355,1973423.68412051,1844045.47089481,129378.21322570,40.88000000,38.19989567
2010,12,2010-12-01,5.90906835,6.27906835,9.78245864,81872.25479138,45143.05623040,36729.19856098,787279.46627474,621172.05448806,2011521.66204921,1845414.25026253,166107.41178668,37.98000000,34.84368801
2011,12,2011-12-01,6.50310904,6.87310904,11.61582141,95780.34195118,45903.81212489,49876.52982629,869045.48143523,653061.53982226,2243603.71512325,2027619.77351028,215983.94161297,34.47000000,31.15169275
2012,12,2012-12-01,5.83856900,6.20856900,8.48227094,77291.02458665,43330.49506903,33960.52951762,929446.57743525,679502.10630466,2583946.35443261,2334001.88330202,249944.47113059,32.19000000,29.07626952
2013,12,2013-12-01,5.91081808,6.28081808,8.21335618,85817.35720643,50120.78688669,35696.57031974,916591.99603707,630950.95458675,2747996.70552741,2462355.66407709,285641.04145032,30.50000000,27.32967169
2014,12,2014-12-01,6.40761660,6.77761660,10.91009207,107106.66927377,48636.87500753,58469.79426624,1226853.40074324,882742.56502668,3252448.54925185,2908337.71353529,344110.83571656,32.59000000,29.14196017
2015,12,2015-12-01,10.67349800,11.04349800,13.28578360,170372.33365925,103963.76526972,66408.56838953,1539457.14413662,1128937.74003052,3927523.06280055,3517003.65869445,410519.40410610,35.64000000,31.91477386
2016,12,2016-12-01,6.28805505,6.65805505,14.02838763,232251.36223635,83131.83372747,149119.52850888,1918752.38231828,1359113.44970331,4378486.39497225,3818847.46235728,559638.93261497,46.14000000,40.24258751
2017,12,2017-12-01,2.94734991,3.31734991,9.95564232,195121.73108859,47538.47378515,147583.25730344,2177104.98508228,1469882.79516387,4854678.58647316,4147456.39655475,707222.18991841,51.37000000,43.88649656
2018,12,2018-12-01,3.74548212,4.11548212,6.42152120,140704.40894162,62937.56874871,77766.84019291,2509463.41400522,1724474.38389390,5271982.25856809,4486993.22845677,784989.03011131,52.77000000,44.91263837
2019,12,2019-12-01,4.30603998,4.67603998,5.94594036,153195.22615653,85239.42788156,67955.79827497,2644895.86473309,1791951.03634680,5500104.15654906,4647159.32816277,852944.82838629,54.70000000,46.21723662
2020,12,2020-12-01,4.51734150,4.88734150,2.75381578,79806.42598998,104494.00141297,-24687.57542299,3046581.63859695,2218324.38563365,6615755.20385280,5787497.95088950,828257.25296330,61.37000000,53.68680344
2021,12,2021-12-01,10.06105489,10.43105489,4.43568776,138565.90883077,239001.16719482,-100435.25836405,3117259.54614057,2389437.55154132,6966925.20075086,6239103.20615161,727821.99459925,55.11000000,49.35275861
2022,12,2022-12-01,5.78484196,6.15484196,12.38048663,396376.86557541,151290.75268610,245086.11288931,3269588.27164342,2296680.16415486,7224882.23036494,6251974.12287638,972908.10748856,56.13000000,48.57149173
2023,12,2023-12-01,4.62111393,4.99111393,13.02823091,464903.10176633,127868.30816077,337034.79360556,3892563.64661376,2582620.74551964,8079270.02452043,6769327.12342631,1309942.90109412,60.43000000,50.63210375
2024,12,2024-12-01,4.83129579,5.20129579,10.88812643,483616.92215309,160414.28076729,323202.64138580,4757243.88275394,3124098.34027402,8984236.59444961,7351091.05196968,1633145.54247992,61.30000000,50.15694731
2025,12,2025-12-01,4.26438490,4.63438490,14.33275639,697542.74516402,147852.53259141,549690.21257261,5286916.60437279,3104080.84932025,10017919.13888715,7835083.38383461,2182835.75505254,65.24000000,51.02465221
2026,6,2026-06-01,3.36449142,3.54949142,6.83686668,379312.39305751,116967.92217686,262344.47088065,5861746.95005535,3416566.72412216,10809475.19418525,8364294.96825206,2445180.22593319,68.48000000,52.98933659
