Mês,Dívida bruta — abertura (R$ milhões),Dívida bruta — abertura (% PIB),Fatores condicionantes (R$ milhões),Fatores condicionantes (% PIB),Necessidade de financiamento da DBGG (R$ milhões),Necessidade de financiamento da DBGG (% PIB),Juros nominais (R$ milhões),Juros nominais (% PIB),Emissões líquidas (R$ milhões),Emissões líquidas (% PIB),Ajuste cambial (R$ milhões),Ajuste cambial (% PIB),Dívida interna indexada ao câmbio (R$ milhões),Dívida interna indexada ao câmbio (% PIB),Dívida externa — metodológico (R$ milhões),Dívida externa — metodológico (% PIB),Dívida externa — outros ajustes (R$ milhões),Dívida externa — outros ajustes (% PIB),Reconhecimento de dívidas (R$ milhões),Reconhecimento de dívidas (% PIB),Privatizações (R$ milhões),Privatizações (% PIB),Efeito do crescimento do PIB sobre a dívida (p.p. do PIB),Variação mensal da dívida bruta (R$ milhões),Variação mensal da dívida bruta (p.p. do PIB),Dívida bruta — fechamento (R$ milhões),Dívida bruta — fechamento (% PIB),PIB acumulado em 12 meses (R$ milhões),Publicação BCB
2007-01-31,1336644.901639,55.475106,30807.006366,1.265167,31064.921561,1.275759,15487.764532,0.636044,15577.157029,0.639715,-1021.645507,-0.041956,-88.701938,-0.003643,-932.943569,-0.038314,743.270293,0.030524,20.460020,0.000840,0.000000,0.000000,-0.582445,30807.006366,0.682722,1367451.908005,56.157828,2435015.677558,facdbp-201812
2007-02-28,1367451.908005,56.157828,31631.800907,1.286244,28603.885955,1.163120,12353.689849,0.502338,16250.196106,0.660782,-499.421159,-0.020308,-43.006459,-0.001749,-456.414700,-0.018559,1654.397250,0.067273,1872.938860,0.076159,0.000000,0.000000,-0.553112,31631.800907,0.733132,1399083.708912,56.890960,2459237.320865,facdbp-201812
2007-03-31,1399083.708912,56.890960,24189.738663,0.972803,28264.380234,1.136667,15141.250735,0.608913,13123.129499,0.527753,-5185.792831,-0.208549,-453.731631,-0.018247,-4732.061200,-0.190302,429.272240,0.017263,681.879020,0.027422,0.000000,0.000000,-0.626087,24189.738663,0.346716,1423273.447574,57.237675,2486602.461324,facdbp-201812
2007-04-30,1423273.447574,57.237675,15581.402912,0.619120,15674.623935,0.622824,13983.283959,0.555620,1691.339976,0.067205,-1259.792774,-0.050057,-110.766874,-0.004401,-1149.025900,-0.045656,1089.129440,0.043276,77.442310,0.003077,0.000000,0.000000,-0.684521,15581.402912,-0.065400,1438854.850486,57.172275,2516700.354627,facdbp-201812
2007-05-31,1438854.850486,57.172275,35480.349488,1.393921,43163.765857,1.695780,15281.701508,0.600374,27882.064349,1.095406,-7876.739559,-0.309454,-691.439959,-0.027165,-7185.299600,-0.282290,141.231040,0.005549,52.092150,0.002047,0.000000,0.000000,-0.643818,35480.349488,0.750103,1474335.199973,57.922378,2545363.722126,facdbp-201812
2007-06-30,1474335.199973,57.922378,25123.526419,0.975565,24871.952015,0.965796,13704.146155,0.532142,11167.805861,0.433654,-203.411265,-0.007899,-17.975265,-0.000698,-185.436000,-0.007201,-216.859161,-0.008421,671.844830,0.026088,0.000000,0.000000,-0.672874,25123.526419,0.302690,1499458.726393,58.225069,2575280.308261,facdbp-201812
2007-07-31,1499458.726393,58.225069,18415.272443,0.707700,20138.077993,0.773908,15231.028762,0.585329,4907.049231,0.188578,-3642.584530,-0.139985,-321.752730,-0.012365,-3320.831800,-0.127620,1752.894800,0.067364,166.884180,0.006413,0.000000,0.000000,-0.600781,18415.272443,0.106919,1517873.998835,58.331987,2602129.748117,facdbp-201812
2007-08-31,1517873.998835,58.331987,18393.527019,0.700084,11904.477572,0.453102,16431.864701,0.625420,-4527.387129,-0.172319,6225.935657,0.236968,556.318857,0.021174,5669.616800,0.215794,253.903840,0.009664,9.209950,0.000351,0.000000,0.000000,-0.559516,18393.527019,0.140568,1536267.525854,58.472556,2627330.910283,facdbp-201812
2007-09-30,1536267.525854,58.472556,-2835.769717,-0.107039,5070.989027,0.191410,14765.846638,0.557354,-9694.857611,-0.365943,-9045.523354,-0.341433,-816.073554,-0.030804,-8229.449800,-0.310630,1128.077080,0.042581,10.687530,0.000403,0.000000,0.000000,-0.484409,-2835.769717,-0.591448,1533431.756137,57.881108,2649278.526032,facdbp-201812
2007-10-31,1533431.756137,57.881108,4855.305520,0.181375,10703.940199,0.399856,15722.530565,0.587331,-5018.590366,-0.187474,-6937.416319,-0.259154,-622.669719,-0.023260,-6314.746600,-0.235894,912.341360,0.034081,176.440280,0.006591,0.000000,0.000000,-0.598233,4855.305520,-0.416858,1538287.061656,57.464249,2676946.245436,facdbp-201812
