ano,cod_inst,nome,tcb,segmento,uf,controle,sr,ativo,data_base_ativo,lucro_1s,lucro_2s,lucro_liquido,exercicio_completo,ano_com_dezembro,lucro_sobre_ativo
2002,C0049906,BB,B1,,DF,Público,,204594607633.14,200212.00,823121549.14,1204554759.32,2027676308.46,True,True,0.01
2002,33657248,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL,B4,BNDES,RJ,Público,,150989064365.75,200212.00,576407770.51,-26839069.66,549568700.85,True,True,0.00
2002,00360305,CAIXA ECONOMICA FEDERAL,B1,Caixa Econômica Federal,DF,Público,,128417933708.84,200212.00,564434072.59,516658494.27,1081092566.86,True,True,0.01
2002,C0010045,BRADESCO,B1,,RJ,Privado nacional,,118954183790.41,200212.00,912552470.98,1103358142.30,2015910613.28,True,True,0.02
2002,C0010069,ITAU,B1,,SP,Privado nacional,,107716519256.88,200212.00,1003215914.78,1251314360.50,2254530275.28,True,True,0.02
2002,C0010100,UNIBANCO,B1,,SP,Privado nacional,,70902473242.24,200212.00,481249231.22,538550169.31,1019799400.53,True,True,0.01
2002,C0030379,SANTANDER BANESPA,B1,,SP,Controle estrangeiro,,54615406216.20,200212.00,1258538496.94,1480428206.13,2738966703.07,True,True,0.05
2002,C0010076,ABN AMRO,B1,,SP,Controle estrangeiro,,36427993249.81,200212.00,392379973.37,445789990.53,838169963.90,True,True,0.02
2002,43073394,BANCO NOSSA CAIXA S.A.,B1,Banco Múltiplo,SP,Público,,28612650842.50,200212.00,171223536.85,100633273.40,271856810.25,True,True,0.01
2002,C0030403,CITIBANK,B1,,SP,Controle estrangeiro,,28251074530.30,200212.00,702500318.34,928195136.25,1630695454.59,True,True,0.06
2002,C0010083,SAFRA,B1,,SP,Privado nacional,,26367776247.70,200212.00,183009976.04,300938250.21,483948226.25,True,True,0.02
2002,C0051152,HSBC,B1,,PR,Controle estrangeiro,,24753873586.99,200212.00,126013233.01,80522031.50,206535264.51,True,True,0.01
2002,C0030300,BANKBOSTON,B1,,SP,Controle estrangeiro,,24372705895.33,200212.00,210225731.93,371823616.89,582049348.82,True,True,0.02
2002,C0051011,VOTORANTIM,B1,,SP,Privado nacional,,18797372489.61,200212.00,110767655.74,278395106.73,389162762.47,True,True,0.02
2002,C0031330,SUDAMERIS,B1,,SP,Controle estrangeiro,,16068607204.95,200212.00,139859927.50,89983831.23,229843758.73,True,True,0.01
2002,C0050452,BILBAO VIZCAYA,B1,,BA,Controle estrangeiro,,14248306262.77,200212.00,56430774.33,148703921.09,205134695.42,True,True,0.01
2002,C0030173,BANRISUL,B1,,RS,Público,,11204850313.03,200212.00,55338838.55,94529941.42,149868779.97,True,True,0.01
2002,07237373,BANCO DO NORDESTE DO BRASIL S.A.,B1,Banco Múltiplo,CE,Público,,11023681373.04,200212.00,25548021.01,135305869.78,160853890.79,True,True,0.01
2002,C0020107,JP MORGAN CHASE,B1,,SP,Controle estrangeiro,,8994335482.80,200212.00,267806655.66,143646483.01,411453138.67,True,True,0.05
2002,C0020121,LLOYDS,B1,,SP,Controle estrangeiro,,8196337179.62,200212.00,162417104.47,183651962.02,346069066.49,True,True,0.04
2002,C0050177,SANTOS,B1,,SP,Privado nacional,,5382529966.84,200212.00,55703605.25,43052896.56,98756501.81,True,True,0.02
2002,01522368,BANCO BANQUE NATIONALE DE PARIS BRASIL S.A.,B1,Banco Múltiplo,SP,Controle estrangeiro,,5359650227.79,200212.00,-7241432.35,44964613.38,37723181.03,True,True,0.01
2002,C0030771,CREDIT SUISSE,B1,,SP,Controle estrangeiro,,5068909326.23,200212.00,112060172.70,133123341.40,245183514.10,True,True,0.05
2002,C0051293,ALFA,B1,,SP,Privado nacional,,4852141895.75,200212.00,45219972.82,56460593.81,101680566.63,True,True,0.02
2002,C0031244,RURAL,B1,,RJ,Privado nacional,,4847516662.78,200212.00,51829118.59,52907204.87,104736323.46,True,True,0.02
2002,C0050146,BANK OF AMERICA,B1,,SP,Controle estrangeiro,,4490530689.26,200212.00,239173441.72,-29775042.60,209398399.12,True,True,0.05
2002,04902979,BANCO DA AMAZONIA S.A.,B1,Banco Comercial,PA,Público,,4382283384.06,200212.00,60457616.98,110109101.70,170566718.68,True,True,0.04
2002,C0049944,PACTUAL,B1,,RJ,Privado nacional,,4185790808.64,200212.00,30327611.52,40647442.63,70975054.15,True,True,0.02
2002,C0020152,MERCANTIL DO BRASIL,B1,,MG,Privado nacional,,3807211073.42,200212.00,12941840.47,9105668.48,22047508.95,True,True,0.01
2002,C0030764,VOLKSWAGEN,B2,,SP,Controle estrangeiro,,3756972697.51,200212.00,31707112.40,42637220.20,74344332.60,True,True,0.02
2002,C0049951,FIBRA,B1,,SP,Privado nacional,,3525755360.69,200212.00,23128458.69,31284784.25,54413242.94,True,True,0.02
