ano,n_bancos,n_exercicio_completo,ativo,ativo_r_bilhoes,data_base_ativo,lucro_1s,lucro_2s,lucro_liquido,lucro_r_bilhoes,exercicio_completo,lucro_sobre_ativo,var_ativo,var_lucro,indice_ativo_ano_base
2002,144,141,1225903441691.549805,1225.903442,200212,9914343576.539993,9922285401.309996,19836628977.849987,19.836629,True,0.016181,,,100.000000
2003,140,137,1300267868333.129883,1300.267868,200312,5974861493.659993,12026717351.189997,18001578844.849987,18.001579,True,0.013845,0.060661,-0.092508,106.066092
2004,138,136,1405692393920.560059,1405.692394,200412,11109163644.670002,8710396886.190002,19819560530.860004,19.819561,True,0.014100,0.081079,0.100990,114.665833
2005,134,132,1633934868021.739990,1633.934868,200512,14893954591.049995,17438904977.019993,32332859568.069988,32.332860,True,0.019788,0.162370,0.631361,133.284141
2006,133,132,1951161734344.169922,1951.161734,200612,21561194872.440006,19133028017.859989,40694222890.299995,40.694223,True,0.020856,0.194149,0.258603,159.161127
2007,132,132,2478699700950.719727,2478.699701,200712,25057425921.009995,29012206426.570000,54069632347.579994,54.069632,True,0.021814,0.270371,0.328681,202.193714
2008,135,129,3237010143536.820312,3237.010144,200812,30618631846.070000,20082262159.960003,50700894006.030006,50.700894,True,0.015663,0.305931,-0.062304,264.050987
2009,135,133,3490256298802.629883,3490.256299,200912,20266039838.959995,29827653982.200012,50093693821.160004,50.093694,True,0.014352,0.078235,-0.011976,284.708908
2010,137,135,4232947153540.319336,4232.947154,201012,28772367203.809994,35511216469.870003,64283583673.680000,64.283584,True,0.015186,0.212790,0.283267,345.292052
2011,136,136,4959914088381.990234,4959.914088,201112,35068589462.610001,33685063598.609989,68753653061.220001,68.753653,True,0.013862,0.171740,0.069537,404.592558
2012,138,135,5770666853815.240234,5770.666854,201212,29026985002.919991,33713545161.930000,62740530164.849991,62.740530,True,0.010872,0.163461,-0.087459,470.727682
2013,134,132,6354878119662.189453,6354.878120,201312,34175081997.060009,34743397055.759995,68918479052.820007,68.918479,True,0.010845,0.101238,0.098468,518.383251
2014,136,135,7234411276197.789062,7234.411276,201412,36966716691.769981,37752950745.070007,74719667436.839996,74.719667,True,0.010328,0.138403,0.084175,590.128964
2015,133,133,8024643493418.930664,8024.643493,201512,46130740375.220047,42899483518.640015,89030223893.860062,89.030224,True,0.011095,0.109232,0.191523,654.590176
2016,134,132,7976407355854.890625,7976.407356,201612,30392851170.329971,40862582114.949997,71255433285.279968,71.255433,True,0.008933,-0.006011,-0.199649,650.655434
2017,135,134,7986560747819.009766,7986.560748,201712,40045950793.219978,48393736050.860031,88439686844.080002,88.439687,True,0.011074,0.001273,0.241164,651.483671
2018,135,135,8491959794552.899414,8491.959795,201812,49643251570.160004,50697467155.259995,100340718725.419998,100.340719,True,0.011816,0.063281,0.134567,692.710331
2019,137,136,8801539157639.798828,8801.539158,201912,73587249709.639999,71290834567.139862,144878084276.779877,144.878084,True,0.016461,0.036456,0.443861,717.963492
2020,139,136,10582583255946.878906,10582.583256,202012,42361016071.639961,70751377998.429947,113112394070.069916,113.112394,True,0.010689,0.202356,-0.219258,863.247699
2021,139,136,11118962407834.339844,11118.962408,202112,82345231976.350128,80891176490.499939,163236408466.850037,163.236408,True,0.014681,0.050685,0.443135,907.001484
2022,138,137,12230956013054.431641,12230.956013,202212,94342297683.689941,81189226424.709991,175531524108.399902,175.531524,True,0.014351,0.100009,0.075321,997.709575
2023,134,133,13446224352860.421875,13446.224353,202312,74476369856.349960,86386450093.279938,160862819949.629913,160.862820,True,0.011963,0.099360,-0.083567,1096.842043
2024,132,130,15417283681797.517578,15417.283682,202412,91938545782.139954,101269616403.610092,193208162185.750092,193.208162,True,0.012532,0.146588,0.201074,1257.626266
2025,130,128,15863064820676.759766,15863.064821,202512,100537729697.139877,103488269676.810211,204025999373.950073,204.025999,True,0.012862,0.028914,0.055991,1293.989745
2026,131,0,16800103138023.019531,16800.103138,202606,95148295020.029968,,95148295020.029968,95.148295,False,0.005664,0.059070,,1370.426297
