ano,base,tesouro,titulos,externo,depositos_if,outras,redesconto,derivativos,linhas_temp,titulos_primario,titulos_secundario,soma_fatores,residuo_estoque,d_base,d_tesouro,d_titulos,d_externo,d_depositos_if,d_outras,d_redesconto,d_derivativos,d_linhas_temp,d_soma,residuo_var
1995,21.682,0.913,2.456,0.268,0.941,0.386,,,,,,4.965,16.717,,,,,,,,,,,
1996,19.796,0.444,2.309,0.234,-1.399,3.491,,,,,,5.079,14.717,-1.886,-0.470,-0.147,-0.034,-2.340,3.105,,,,0.114,-2.000
1997,31.828,-1.614,9.732,-0.653,-0.572,-0.392,,,,,,6.499,25.329,12.033,-2.058,7.422,-0.888,0.827,-3.883,,,,1.420,10.613
1998,39.184,-0.691,7.008,-6.554,0.009,-0.017,,,,,,-0.245,39.429,7.356,0.923,-2.723,-5.900,0.581,0.375,,,,-6.744,14.100
1999,48.430,0.221,13.672,-2.759,0.008,-0.035,,,,,,11.108,37.322,9.246,0.912,6.663,3.795,-0.000,-0.018,,,,11.353,-2.107
2000,47.686,-0.090,9.095,-1.942,-0.127,0.020,0.000,,,,,6.955,40.731,-0.744,-0.311,-4.577,0.817,-0.136,0.055,,,,-4.153,3.409
2001,53.256,8.398,1.537,-2.232,-0.614,-0.066,0.000,,,,,7.022,46.234,5.570,8.488,-7.558,-0.290,-0.487,-0.087,0.000,,,0.066,5.503
2002,73.302,0.197,15.954,-4.982,-0.276,0.144,-0.001,1.707,,,,12.743,60.559,20.046,-8.201,14.418,-2.749,0.338,0.210,-0.001,,,4.014,16.032
2003,73.219,11.712,3.231,0.013,-1.666,0.023,-0.004,-2.508,,,,10.802,62.417,-0.083,11.515,-12.723,4.995,-1.390,-0.121,-0.003,-4.215,,-1.942,1.858
2004,88.733,-2.789,12.184,7.186,-1.578,0.215,-0.001,-1.582,,,,13.635,75.098,15.514,-14.501,8.952,7.173,0.088,0.192,0.003,0.926,,2.833,12.680
2005,101.247,-1.520,9.945,9.261,-1.928,0.145,-0.000,-0.172,,,,15.732,85.515,12.515,1.269,-2.238,2.075,-0.350,-0.070,0.001,1.409,,2.097,10.418
2006,121.102,-2.159,13.309,5.569,-1.646,0.195,-0.000,0.499,,,,15.767,105.335,19.855,-0.639,3.364,-3.693,0.282,0.050,0.000,0.671,,0.035,19.820
2007,146.617,-4.826,19.229,4.210,-3.466,0.138,-0.000,0.485,,,,15.769,130.847,25.515,-2.667,5.920,-1.358,-1.820,-0.058,-0.000,-0.014,,0.002,25.512
2008,147.550,-3.477,-18.948,-7.847,44.337,0.182,-0.000,0.984,,,,15.231,132.319,0.933,1.349,-38.177,-12.057,47.803,0.045,0.000,0.499,,-0.538,1.471
2009,166.073,-15.185,19.521,6.337,-2.009,0.541,-0.000,0.000,,,,9.205,156.868,18.523,-11.708,38.469,14.184,-46.346,0.359,-0.000,-0.984,,-6.026,24.549
2010,206.853,-22.880,111.544,4.276,-65.143,0.705,-0.134,0.000,,,,28.368,178.486,40.780,-7.695,92.023,-2.061,-63.133,0.164,-0.134,0.000,,19.163,21.617
2011,214.235,-17.946,44.910,0.304,4.362,-0.033,-0.000,-0.032,,,,31.564,182.671,7.382,4.934,-66.634,-3.973,69.504,-0.738,0.134,-0.032,,3.197,4.185
2012,233.371,-39.381,64.649,-10.975,3.161,6.958,-0.005,-0.060,,,,24.347,209.025,19.136,-21.435,19.739,-11.279,-1.200,6.991,-0.005,-0.028,,-7.218,26.354
2013,249.510,-43.099,88.570,-6.974,-7.112,2.529,-0.000,0.049,,,,33.963,215.547,16.138,-3.718,23.921,4.002,-10.273,-4.429,0.005,0.108,,9.616,6.522
2014,263.529,-17.938,43.321,-27.193,6.483,0.185,0.000,17.045,,,,21.903,241.625,14.019,25.160,-45.250,-20.219,13.595,-2.343,0.000,16.996,,-12.060,26.079
2015,255.289,31.967,-18.964,-1.077,-7.714,0.437,-0.002,7.794,,-41.100,22.136,12.442,242.847,-8.240,49.905,-62.284,26.115,-14.197,0.252,-0.002,-9.250,,-9.461,1.221
