codigo,ano,data,valor_dezembro_rs_mil,variacao_ano_rs_mil,n_meses,fechamento,serie,coluna,grupo,valor_dezembro_rs_milhoes,variacao_ano_rs_milhoes
1788,1995,1995-12-01,21681591,,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,21681.591,
1809,1995,1995-12-01,2456133,-14604987.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,2456.133,-14604.987
1810,1995,1995-12-01,913253,-3979704.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,913.253,-3979.704
1811,1995,1995-12-01,268337,14900094.0,12,dezembro,Operações com o setor externo,setor_externo,fator,268.337,14900.094
1815,1995,1995-12-01,941339,4075931.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,941.339,4075.931
1818,1995,1995-12-01,385638,2977769.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,385.638,2977.769
1788,1996,1996-12-01,19795697,-1885894.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,19795.697,-1885.894
1809,1996,1996-12-01,2309305,-29670499.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,2309.305,-29670.499
1810,1996,1996-12-01,443623,5513388.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,443.623,5513.388
1811,1996,1996-12-01,234088,9988202.0,12,dezembro,Operações com o setor externo,setor_externo,fator,234.088,9988.202
1815,1996,1996-12-01,-1399092,-2146231.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-1399.092,-2146.231
1818,1996,1996-12-01,3491052,10027648.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,3491.052,10027.648
1788,1997,1997-12-01,31828332,12032635.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,31828.332,12032.635
1809,1997,1997-12-01,9731576,22158700.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,9731.576,22158.7
1810,1997,1997-12-01,-1614296,-5074927.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-1614.296,-5074.927
1811,1997,1997-12-01,-653416,-9049683.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-653.416,-9049.683
1815,1997,1997-12-01,-572405,-8790445.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,-572.405,-8790.445
1818,1997,1997-12-01,-392392,1698923.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-392.392,1698.923
1788,1998,1998-12-01,39184378,7356046.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,39184.378,7356.046
1809,1998,1998-12-01,7008447,27854801.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,7008.447,27854.801
1810,1998,1998-12-01,-691282,-15106533.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,-691.282,-15106.533
1811,1998,1998-12-01,-6553666,-21429065.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-6553.666,-21429.065
1815,1998,1998-12-01,8602,20282878.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,8.602,20282.878
1818,1998,1998-12-01,-17107,179863.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-17.107,179.863
1788,1999,1999-12-01,48430157,9245779.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,48430.157,9245.779
1809,1999,1999-12-01,13671946,34925161.0,12,dezembro,Títulos públicos federais — Total,titulos_publicos_total,fator,13671.946,34925.161
1810,1999,1999-12-01,221121,-15563288.0,12,dezembro,Tesouro Nacional — Conta única,tesouro_conta_unica,fator,221.121,-15563.288
1811,1999,1999-12-01,-2758670,-14877571.0,12,dezembro,Operações com o setor externo,setor_externo,fator,-2758.67,-14877.571
1815,1999,1999-12-01,8346,2114291.0,12,dezembro,Depósitos de instituições financeiras,depositos_instituicoes_financeiras,fator,8.346,2114.291
1818,1999,1999-12-01,-34728,32201.0,12,dezembro,Autoridade Monetária — Outras operações,outras_operacoes,fator,-34.728,32.201
1788,2000,2000-12-01,47686213,-743944.0,12,dezembro,Base monetária restrita,base_monetaria_restrita,resultado,47686.213,-743.944
