ano,data_ref,fechamento,tesouro_conta_unica,titulos_publicos_total,titulos_mercado_primario,titulos_mercado_secundario,setor_externo,derivativos_ajustes,redesconto,linhas_temporarias_liquidez,depositos_instituicoes_financeiras,outras_operacoes,base_monetaria_restrita
1995,1995-12-01,dezembro,913.253,2456.133,,,268.337,,,,941.339,385.638,21681.591
1996,1996-12-01,dezembro,443.623,2309.305,,,234.088,,,,-1399.092,3491.052,19795.697
1997,1997-12-01,dezembro,-1614.296,9731.576,,,-653.416,,,,-572.405,-392.392,31828.332
1998,1998-12-01,dezembro,-691.282,7008.447,,,-6553.666,,,,8.602,-17.107,39184.378
1999,1999-12-01,dezembro,221.121,13671.946,,,-2758.67,,,,8.346,-34.728,48430.157
2000,2000-12-01,dezembro,-90.184,9094.619,,,-1941.905,,0.0,,-127.452,20.253,47686.213
2001,2001-12-01,dezembro,8397.878,1536.537,,,-2232.312,,0.0,,-614.102,-66.297,53255.971
2002,2002-12-01,dezembro,196.734,15954.153,,,-4981.6,1707.304,-0.932,,-276.31,143.984,73302.272
2003,2003-12-01,dezembro,11711.648,3231.403,,,13.499,-2507.953,-3.965,,-1665.84,22.977,73219.136
2004,2004-12-01,dezembro,-2788.872,12183.568,,,7186.047,-1581.56,-1.331,,-1577.674,214.898,88732.677
2005,2005-12-01,dezembro,-1519.602,9945.445,,,9261.061,-172.064,-0.102,,-1927.55,144.777,101247.235
2006,2006-12-01,dezembro,-2159.061,13309.467,,,5568.509,498.916,-0.039,,-1645.963,195.164,121102.001
2007,2007-12-01,dezembro,-4826.282,19229.181,,,4210.354,484.911,-0.05,,-3466.24,137.516,146616.867
2008,2008-12-01,dezembro,-3477.074,-18947.937,,,-7846.766,983.582,-0.007,,44336.711,182.436,147549.705
2009,2009-12-01,dezembro,-15185.319,19521.306,,,6337.003,0.0,-0.031,,-2009.398,541.211,166072.835
2010,2010-12-01,dezembro,-22880.052,111543.835,,,4276.126,0.0,-134.314,,-65142.76,704.969,206853.322
2011,2011-12-01,dezembro,-17945.76,44910.037,,,303.625,-31.85,-0.001,,4361.607,-33.262,214235.311
2012,2012-12-01,dezembro,-39380.522,64648.943,,,-10975.444,-59.77,-5.424,,3161.327,6957.731,233371.452
2013,2013-12-01,dezembro,-43098.963,88570.252,,,-6973.532,48.593,-0.002,,-7111.959,2528.586,249509.778
2014,2014-12-01,dezembro,-17938.494,43320.612,,,-27192.559,17044.874,0.0,,6483.102,185.497,263528.517
2015,2015-12-01,dezembro,31966.901,-18963.647,-41100.11,22136.463,-1077.38,7794.459,-1.959,,-7713.625,437.373,255288.922
2016,2016-12-01,dezembro,-52397.634,79414.034,7559.278,71854.756,352.478,-3858.12,-0.027,,1612.164,244.327,270287.146
2017,2017-12-01,dezembro,7163.59,45249.193,-30684.804,75933.997,-26027.013,1443.181,-8.92,,4770.938,-55.314,296755.456
2018,2018-12-01,dezembro,20453.395,36530.769,-29615.079,66145.848,-30488.34,1519.905,13.279,,-6759.022,1520.697,302049.461
2019,2019-12-01,dezembro,-43975.649,127568.06,-15623.582,143191.642,-46838.632,-6928.091,-0.06,,-6659.602,-3362.213,316586.707
2020,2020-12-01,dezembro,25213.146,-19509.913,-179441.373,159931.46,-12809.786,-8028.787,2.383,27816.1,3009.625,-1835.66,431536.653
2021,2021-12-01,dezembro,-42883.828,76002.281,-61753.191,137755.472,-35033.5,3983.847,50.194,4765.473,246.624,-11219.235,409183.519
2022,2022-12-01,dezembro,-35780.006,139533.68,-22231.419,161765.099,-46541.023,-5739.568,26.424,-17642.115,13351.98,-19082.092,419659.918
2023,2023-12-01,dezembro,80331.787,-18023.368,-127402.891,109379.523,233.715,-6628.462,0.0,0.0,-16363.195,-22381.99,422718.628
2024,2024-12-01,parcial,-55712.578,211370.114,-30736.668,242106.782,-186347.058,19928.148,0.0,0.0,35522.321,-10450.304,451213.588
2025,2025-12-01,dezembro,-35402.732,73663.51,-77293.578,150957.088,-22296.357,18302.009,,0.0,-20160.853,2448.268,447096.654
2026,2026-06-01,parcial,60858.785,-55189.171,-125795.713,70606.542,2919.547,9276.611,,800.0,3858.149,-19230.225,431100.998
