ano,data_ref,fechamento,tesouro_conta_unica,titulos_publicos_total,titulos_mercado_primario,titulos_mercado_secundario,setor_externo,derivativos_ajustes,redesconto,linhas_temporarias_liquidez,depositos_instituicoes_financeiras,outras_operacoes,base_monetaria_restrita,soma_fatores,saldo_base,variacao_base,discrepancia
1995,1995-12-01,dezembro,-3979.704,-14604.987,,,14900.094,,,,4075.931,2977.769,,3369.103,21681.591,,
1996,1996-12-01,dezembro,5513.388,-29670.499,,,9988.202,,,,-2146.231,10027.648,-1885.894,-6287.492000000002,19795.697,-1885.8940000000002,-4401.598000000002
1997,1997-12-01,dezembro,-5074.927,22158.7,,,-9049.683,,,,-8790.445,1698.923,12032.635,942.5680000000004,31828.332,12032.634999999998,-11090.066999999997
1998,1998-12-01,dezembro,-15106.533,27854.801,,,-21429.065,,,,20282.878,179.863,7356.046,11781.944000000001,39184.378,7356.0459999999985,4425.898000000003
1999,1999-12-01,dezembro,-15563.288,34925.161,,,-14877.571,,,,2114.291,32.201,9245.779,6630.794,48430.157,9245.779000000002,-2614.9850000000024
2000,2000-12-01,dezembro,-26539.148,21398.839,,,4402.641,,-614.971,,1478.559,-839.262,-743.944,-713.3420000000015,47686.213,-743.9439999999959,30.601999999994405
2001,2001-12-01,dezembro,-11944.926,41318.272,,,-18572.367,,0.0,,-1806.911,-3424.281,5569.758,5569.786999999999,53255.971,5569.757999999994,0.029000000004998583
2002,2002-12-01,dezembro,-20483.697,90722.091,,,-26426.605,10564.64,400.375,,-33769.655,-1338.211,20046.301,19668.938000000006,73302.272,20046.301,-377.3629999999939
2003,2003-12-01,dezembro,-1064.493,11180.802,,,643.224,-15632.065,2.247,,6729.147,-1941.998,-83.136,-83.13600000000088,73219.136,-83.1359999999986,-2.2737367544323206e-12
2004,2004-12-01,dezembro,-48292.47,57838.483,,,14556.008,-6032.014,-7.14,,-2400.391,-148.935,15513.541,15513.541000000003,88732.677,15513.540999999997,5.4569682106375694e-12
2005,2005-12-01,dezembro,-43007.731,2808.482,,,52394.883,-2684.423,-3.343,,2373.784,632.906,12514.558,12514.558000000005,101247.235,12514.558000000005,0.0
2006,2006-12-01,dezembro,-59510.709,-686.574,,,74368.942,5436.454,-1.476,,-764.37,1012.499,19854.766,19854.765999999992,121102.001,19854.766000000003,-1.0913936421275139e-11
2007,2007-12-01,dezembro,-55600.882,-73974.527,,,155390.627,8812.156,-3.017,,-10600.939,1491.448,25514.866,25514.866000000013,146616.867,25514.865999999995,1.8189894035458565e-11
2008,2008-12-01,dezembro,-74312.396,34058.554,,,-12124.211,-4801.25,-1.073,,57041.22,1071.994,932.838,932.8380000000045,147549.705,932.8379999999888,1.5688783605583012e-11
2009,2009-12-01,dezembro,-52311.507,11280.602,,,62936.723,-3198.916,-1.181,,-3425.469,3242.878,18523.13,18523.129999999997,166072.835,18523.130000000005,-7.275957614183426e-12
2010,2010-12-01,dezembro,-51203.673,249513.458,,,75552.632,0.0,-0.539,,-236911.071,3829.68,40780.487,40780.48700000003,206853.322,40780.486999999994,3.637978807091713e-11
2011,2011-12-01,dezembro,-125632.863,70196.203,,,85156.228,-705.683,-0.56,,-24388.014,2756.678,7381.989,7381.988999999998,214235.311,7381.989000000001,-3.637978807091713e-12
2012,2012-12-01,dezembro,-121648.972,5653.172,,,25896.973,-1100.801,45.943,,118682.701,-8392.875,19136.141,19136.141000000003,233371.452,19136.141000000003,0.0
2013,2013-12-01,dezembro,-127554.789,197242.065,,,-22428.624,1314.564,-1.675,,-19903.346,-12532.941,16138.326,16135.253999999995,249509.778,16138.326000000001,-3.0720000000055734
2014,2014-12-01,dezembro,-668.486,-76307.204,,,16274.839,17329.053,-0.045,,56163.369,1227.406,14018.739,14018.931999999997,263528.517,14018.739000000001,0.19299999999566353
2015,2015-12-01,dezembro,59665.808,-124016.063,-123479.463,-536.6,-15037.71,89657.153,-0.593,,-24740.332,6233.098,-8239.595,-8238.63899999999,255288.922,-8239.595000000001,0.9560000000110449
2016,2016-12-01,dezembro,12284.191,32267.88,31896.944,370.936,32532.733,-75562.373,-3.179,,6054.528,7424.617,14998.224,14998.396999999997,270287.146,14998.224000000017,0.17299999998067506
2017,2017-12-01,dezembro,52132.877,-26792.966,-111168.532,84375.566,1396.743,-7032.535,-0.181,,867.627,5896.818,26468.31,26468.382999999998,296755.456,26468.309999999998,0.07300000000032014
2018,2018-12-01,dezembro,-44486.13,35093.592,32704.358,2389.234,-17348.77,15125.016,13.2,,13987.567,2909.758,5294.005,5294.232999999998,302049.461,5294.005000000005,0.22799999999369902
2019,2019-12-01,dezembro,-89301.052,227324.959,-15720.656,243045.615,-141168.328,7639.551,-14.549,,16690.766,-6634.019,14537.246,14537.327999999998,316586.707,14537.245999999985,0.08200000001306762
2020,2020-12-01,dezembro,704194.538,-630037.433,-365463.108,-264574.325,-117733.553,40800.821,3.485,65828.662,69829.095,-19343.055,114949.946,113542.56,431536.653,114949.946,-1407.3859999999986
2021,2021-12-01,dezembro,-81290.481,182431.271,-121550.764,303982.035,-36630.77,22323.949,44.99,-52769.578,-26059.891,-30402.627,-22353.134,-22353.136999999984,409183.519,-22353.13400000002,-0.0029999999642313924
