ano,dbgg_rs,dbgg_pib,dlsp_rs,dlsp_pib,primario_cons,primario_gfbc,juros_cons,nfsp_cons,nfsp_gfbc,ajuste_priv,ajuste_patrim,ajuste_camb_ext,ajuste_met_int,selic,usd,ext_gg,primario,nfsp,juros,d_dbgg_pib,d_dbgg_rs,d_priv,d_patrim,d_camb,d_met_int,pib_imp,g_pib,efeito_pib,share_ext
1995,,,,,,-0.470,,,2.060,,,,,41.220,0.973,,-0.470,2.060,2.530,,,,,,,,,,
1996,,,,,,-0.340,,,2.240,,,,,23.940,1.039,,-0.340,2.240,2.580,,,,,,,,,,
1997,,,,,,0.250,,,2.240,,,,,39.870,1.116,,0.250,2.240,1.990,,,,,,,,,,
1998,507.063,,367.940,,,-0.500,,,4.500,,,,,31.240,1.209,,-0.500,4.500,5.000,,,,,,,,,,
1999,621.074,,484.454,,,-2.080,,,2.420,,,,,18.990,1.789,,-2.080,2.420,4.500,,114.011,,,,,,,,
2000,745.807,,529.581,,,-1.700,,,2.090,,,,,16.190,1.955,,-1.700,2.090,3.790,,124.734,,,,,,,,
2001,885.907,67.330,648.685,51.490,,-1.670,,,1.920,-60.091,92.678,55.337,75.414,19.050,2.320,,-1.670,1.920,3.590,,140.100,,,,,1315.769,,,
2002,1132.894,76.100,859.712,59.930,-3.190,-2.140,7.610,4.420,0.670,-63.729,99.372,124.735,152.076,23.030,3.533,,-3.190,4.420,7.610,8.770,246.987,-3.637,6.694,69.398,76.662,1488.691,13.142,-7.821,
2003,1228.569,71.510,901.263,54.260,-3.240,-2.260,8.420,5.180,3.620,-63.729,99.976,97.687,129.361,16.910,2.889,,-3.240,5.180,8.420,-4.590,95.675,0.000,0.604,-27.047,-22.715,1718.038,15.406,-10.159,
2004,1331.761,68.030,961.136,50.190,-3.690,-2.680,6.560,2.880,1.380,-64.482,106.492,89.325,126.026,17.500,2.654,,-3.690,2.880,6.560,-3.480,103.191,-0.753,6.516,-8.362,-3.335,1957.608,13.944,-8.751,
2005,1453.608,66.970,1010.241,47.920,-3.740,-2.570,7.280,3.540,3.380,-65.436,109.754,72.301,121.472,18.240,2.341,,-3.740,3.540,7.280,-1.060,121.847,-0.954,3.262,-17.024,-4.554,2170.536,10.877,-6.674,
2006,1556.476,64.600,1091.255,46.490,-3.150,-2.130,6.720,3.570,3.090,-67.485,109.379,70.945,119.249,13.190,2.138,,-3.150,3.570,6.720,-2.370,102.868,-2.049,-0.375,-1.356,-2.222,2409.406,11.005,-6.639,
2007,1714.436,63.020,1181.418,44.550,-3.240,-2.190,5.980,2.740,2.190,-68.750,108.749,92.520,116.818,11.180,1.771,,-3.240,2.740,5.980,-1.580,157.960,-1.265,-0.630,21.575,-2.431,2720.464,12.910,-7.386,
2008,1910.043,61.420,1175.203,37.570,-3.330,-2.290,5.320,1.990,0.800,-69.517,108.884,-15.472,119.989,13.660,2.337,,-3.330,1.990,5.320,-1.600,195.607,-0.767,0.135,-107.991,3.171,3109.807,14.312,-7.890,
2009,2156.529,64.700,1378.129,40.880,-1.940,-1.270,5.130,3.190,3.220,-72.734,108.539,79.724,116.587,8.650,1.741,,-1.940,3.190,5.130,3.280,246.486,-3.217,-0.345,95.195,-3.403,3333.121,7.181,-4.115,
2010,2426.059,62.430,1495.285,37.980,-2.620,-2.030,5.030,2.410,1.180,-75.476,111.508,97.419,118.102,10.660,1.666,,-2.620,2.410,5.030,-2.270,269.530,-2.742,2.969,17.695,1.515,3886.046,16.589,-9.206,
2011,2653.563,60.630,1536.154,34.470,-2.940,-2.130,5.410,2.470,2.000,-75.476,111.995,25.109,114.688,10.900,1.876,,-2.940,2.470,5.410,-1.800,227.504,0.000,0.487,-72.310,-3.413,4376.650,12.625,-6.998,
2012,2966.579,61.610,1581.281,32.190,-2.180,-1.790,4.440,2.260,1.270,-75.476,106.190,-33.283,111.509,7.160,2.043,,-2.180,2.260,4.440,0.980,313.016,0.000,-5.805,-58.391,-3.179,4815.093,10.018,-5.521,
2013,3177.361,59.590,1660.187,30.500,-1.710,-1.410,4.670,2.960,2.070,-76.024,103.763,-106.950,106.853,9.900,2.343,467.356,-1.710,2.960,4.670,-2.020,210.783,-0.547,-2.427,-73.667,-4.656,5332.038,10.736,-5.973,14.709
2014,3560.826,61.620,1915.773,32.590,0.560,0.350,5.390,5.950,4.700,-76.024,100.252,-187.702,104.011,11.580,2.656,592.189,0.560,5.950,5.390,2.030,383.465,0.000,-3.511,-80.752,-2.842,5778.686,8.377,-4.606,16.631
