ano,ipca,inpc,igp_m,igp_di,cpi_u,pce
1990,1620.9700,1585.1807,1699.8689,1476.7089,6.1063,4.8733
1991,472.7000,475.1111,458.3798,480.2263,3.0643,2.6384
1992,1119.1000,1149.0545,1174.6714,1157.8363,2.9007,2.5946
1993,2477.1500,2489.1111,2567.3351,2708.3885,2.7484,2.1909
1994,916.4600,929.3187,869.7444,909.6689,2.6749,2.1485
1995,22.4100,21.9814,15.2381,14.7738,2.5384,1.9540
1996,9.5600,9.1171,9.1875,9.3264,3.3225,2.3631
1997,5.2200,4.3401,7.7392,7.4841,1.7024,1.1257
1998,1.6500,2.4873,1.7881,1.7139,1.6119,0.8444
1999,8.9400,8.4303,20.1019,19.9882,2.6846,2.0548
2000,5.9700,5.2720,9.9518,9.8007,3.3868,2.4848
2001,7.6700,9.4418,10.3723,10.4022,1.5517,1.0621
2002,12.5300,14.7400,25.3039,26.4118,2.3769,2.1337
2003,9.3000,10.3839,8.6914,7.6630,1.8795,2.1229
2004,7.6000,6.1332,12.4200,12.1303,3.2556,2.7937
2005,5.6900,5.0474,1.2008,1.2321,3.4157,2.8836
2006,3.1400,2.8134,3.8476,3.7973,2.5407,2.2868
2007,4.4600,5.1557,7.7463,7.8984,4.0813,3.4716
2008,5.9000,6.4814,9.8054,9.1073,0.0914,0.1296
2009,4.3100,4.1138,-1.7123,-1.4364,2.7213,2.0897
2010,5.9100,6.4652,11.3220,11.3058,1.4957,1.4777
2011,6.5000,6.0799,5.0977,5.0125,2.9624,2.5266
2012,5.8400,6.1978,7.8119,8.1121,1.7410,1.6244
2013,5.9100,5.5627,5.5257,5.5278,1.5017,1.3881
2014,6.4100,6.2283,3.6749,3.7800,0.7565,0.7323
2015,10.6700,11.2762,10.5443,10.6786,0.7295,0.3460
2016,6.2900,6.5800,7.1907,7.1533,2.0746,1.6572
2017,2.9500,2.0669,-0.5326,-0.4231,2.1091,1.7664
2018,3.7500,3.4340,7.5521,7.1021,1.9102,1.8647
2019,4.3100,4.4816,7.3179,7.6776,2.2851,1.5638
2020,4.5200,5.4473,23.1391,23.0743,1.3620,1.3345
2021,10.0600,10.1602,17.7925,17.7439,7.0364,6.1420
2022,5.7900,5.9324,5.4584,5.0051,6.4544,5.5201
2023,4.6200,3.7070,-3.1783,-3.2755,3.3521,2.7673
2024,4.8300,4.7679,6.5362,6.8650,2.8881,2.7281
2025,4.2600,3.8979,-1.0422,-1.1905,2.6771,2.8781
