ano,qtd_automaticas,contratado_automaticas,desembolsado_automaticas,qtd_nao_automaticas,contratado_nao_automaticas,desembolsado_nao_automaticas,aprovado_oficial_r_milhoes,aprovado_oficial_reais,qtd_total,contratado_total,desembolsado_total,contratado_total_r_milhoes,desembolsado_total_r_milhoes
2002,65726,6709423943.00,6607032763.00,232,1881999580.12,1791415405.29,8919.22,8919218500.70,65958,8591423523.12,8398448168.29,8591.42,8398.45
2003,65297,8790595575.00,8693320688.00,112,870250714.97,903813904.49,11059.33,11059333976.08,65409,9660846289.97,9597134592.49,9660.85,9597.13
2004,87467,10553502406.00,10400427081.00,193,1900935451.02,1895887151.32,9112.26,9112264488.97,87660,12454437857.02,12296314232.32,12454.44,12296.31
2005,85205,13836975522.00,13663479294.00,127,2532702425.31,2453971705.64,13312.70,13312699410.27,85332,16369677947.31,16117450999.64,16369.68,16117.45
2006,69429,14820484386.00,14650011857.00,159,4070725948.70,3932639907.62,18504.73,18504727064.32,69588,18891210334.70,18582651764.62,18891.21,18582.65
2007,97439,24370683170.00,24158146821.00,326,6684608985.68,6495725093.00,21318.71,21318711889.07,97765,31055292155.68,30653871914.00,31055.29,30653.87
2008,111238,29047780879.00,28758567083.00,348,5928523387.15,5674713102.78,24990.59,24990591787.67,111586,34976304266.15,34433280185.78,34976.30,34433.28
2009,140111,39451829609.00,38332117222.00,539,15083041796.39,15013355493.16,39655.98,39655978312.55,140650,54534871405.39,53345472715.16,54534.87,53345.47
2010,209476,61515299049.00,60394759899.00,274,4384943502.00,4285751666.11,32218.17,32218169405.31,209750,65900242551.00,64680511565.11,65900.24,64680.51
2011,237983,51523181330.00,50792283074.00,173,4456163784.98,4224396426.99,24995.90,24995904224.72,238156,55979345114.98,55016679500.99,55979.35,55016.68
2012,208995,63917138173.00,62187562050.00,383,20316507786.98,19569020258.56,51304.44,51304438577.19,209378,84233645959.98,81756582308.56,84233.65,81756.58
2013,193584,69995748682.00,68659175394.00,303,9779071694.99,9247697075.53,35413.33,35413327285.67,193887,79774820376.99,77906872469.53,79774.82,77906.87
2014,172938,60926842576.00,60296439902.00,258,7046741849.75,6367007877.22,25410.63,25410630051.77,173196,67973584425.75,66663447779.22,67973.58,66663.45
2015,86293,23258529422.00,22703012349.00,320,7964314213.01,7483129260.79,22445.60,22445603730.45,86613,31222843635.01,30186141609.79,31222.84,30186.14
2016,52833,17051228896.00,16787379750.00,88,2113477461.57,1824759925.69,29211.52,29211515592.58,52921,19164706357.57,18612139675.69,19164.71,18612.14
2017,61364,21928426175.00,21630421095.00,154,4170089560.84,4067534473.66,19482.72,19482716066.15,61518,26098515735.84,25697955568.66,26098.52,25697.96
2018,46405,17315570066.00,17207210277.00,33,1528554809.00,1438318593.96,16524.48,16524477323.29,46438,18844124875.00,18645528870.96,18844.12,18645.53
2019,31167,10999043247.00,10921685929.00,15,312071705.36,294723688.83,10862.43,10862433120.07,31182,11311114952.36,11216409617.83,11311.11,11216.41
2020,45975,16524073089.00,16313274797.00,20,939862750.00,936868597.57,20304.28,20304277761.14,45995,17463935839.00,17250143394.57,17463.94,17250.14
2021,34793,18060494028.00,17815964238.00,5,188794499.00,188794499.00,14827.81,14827810193.66,34798,18249288527.00,18004758737.00,18249.29,18004.76
2022,46454,33996121822.00,33321815882.00,3,276993813.55,276993813.55,20360.75,20360746036.79,46457,34273115635.55,33598809695.55,34273.12,33598.81
2023,49375,34009771008.00,33501905215.00,2,13750000.00,13750000.00,29080.44,29080438609.98,49377,34023521008.00,33515655215.00,34023.52,33515.66
2024,70303,46332554435.00,45287377139.00,3,115129777.00,102410267.10,60138.59,60138586679.46,70306,46447684212.00,45389787406.10,46447.68,45389.79
2025,58633,54191237713.00,51729307582.00,0,0.00,0.00,66342.48,66342484195.08,58633,54191237713.00,51729307582.00,54191.24,51729.31
2026,48443,37798500279.00,26453874416.00,0,0.00,0.00,13389.14,13389139552.80,48443,37798500279.00,26453874416.00,37798.50,26453.87
