ano,tipo,data_protocolo,divida_bruta_usd_milhoes,variacao_usd_milhoes,variacao_pct,pagina,secao,metrica,norma,trecho,url_documento,url_indice,accession
2002,20-F,2003-06-19,14680,,,115,Item 5 — Total Indebtedness,Total debt (ST + LT + project finance + sale and leaseback),US GAAP,"Our total debt (including short-term debt, long-term debt, project financing and sale and leaseback, including current portions) increased to U.S.$14,680 million as of December 31, 2002",https://www.sec.gov/Archives/edgar/data/1119639/000095012303007204/y87469e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012303007204/0000950123-03-007204-index.htm,0000950123-03-007204
2003,20-F,2004-06-30,21890,7210.0,0.4911,75,Item 5 — Short-Term / Long-Term Debt; Selected BS,Soma BS: ST + parcelas circulantes + LT + project finance + capital leases,US GAAP,"At December 31, 2003, our short-term debt (excluding current portions of long-term obligations) increased to U.S.$1,329 million; soma com LTD 11,888 + project financings 5,066 + capital leases 1,242 + parcelas circulantes = U.S.$21,890 million",https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/0001193125-04-112315-index.htm,0001193125-04-112315
2004,20-F,2005-06-30,20938,-952.0,-0.0435,4 / 104,Selected Financial Data (p. 4) e Item 5 (p. 104),Soma BS: ST + parcelas circulantes + LT + project finance + capital leases,US GAAP,"Outstanding long-term debt, plus the current portion of our long-term debt, totaled U.S.$13,344 million at December 31, 2004; soma com project financings, capital leases e short-term = U.S.$20,938 million",https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/0001193125-05-135283-index.htm,0001193125-05-135283
2005,20-F,2006-06-28,21177,239.0,0.0114,113,Item 5 — Long-Term Debt; Selected BS,Soma BS: ST + parcelas circulantes + LT + project finance + capital leases,US GAAP,"Outstanding long-term debt, plus the current portion of our long-term debt, totaled U.S.$12,931 million at December 31, 2005; soma com project financings 3,629 + capital leases 1,015 + short-term e parcelas = U.S.$21,177 million",https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/y22597e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/0000950123-06-008263-index.htm,0000950123-06-008263
2006,20-F,2007-06-26,21338,161.0,0.0076,6 / 108,Selected Financial Data (p. 6) e Item 5 (p. 108),Soma BS: ST + parcelas circulantes + LT + project finance + capital leases,US GAAP,"On December 31, 2006, our short-term debt (excluding current portions of long-term obligations) amounted to U.S.$1,293 million; soma com LTD 10,510 + project financings 4,192 + capital leases 824 + parcelas circulantes = U.S.$21,338 million",https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/y36368e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/0000950123-07-009192-index.htm,0000950123-07-009192
2007,20-F,2008-05-19,21895,557.0,0.0261,8 / F-8,Selected Financial Data (p. 8) e Consolidated BS (F-8),Soma BS: ST + parcelas circulantes + LT + project finance + capital leases,US GAAP,"Short-term debt 1,458 + current LTD 1,273 + current project financings 1,692 + current capital leases 227 + LTD 12,148 + project financings 4,586 + capital leases 511 = U.S.$21,895 million",https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/c73239e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/0001362310-08-002879-index.htm,0001362310-08-002879
2008,20-F,2009-05-22,27351,5456.0,0.2492,84 / F-4,Item 5 (p. 84) e Consolidated BS (F-4),Soma BS: ST + parcelas circulantes + LT + project finance + capital leases,US GAAP,"On December 31, 2008, our short-term debt (excluding current portions of long-term debt) amounted to U.S.$2,399 million; soma com LTD 16,031 + project financings 5,015 + capital leases 344 + parcelas circulantes = U.S.$27,351 million",https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/y76586e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/0000950123-09-009383-index.htm,0000950123-09-009383
2009,20-F,2010-05-20,56702,29351.0,1.0731,92–93,Item 5 — Short-Term Debt / Long-Term Debt,Total short-term debt + total long-term debt,US GAAP,"Including the current portion of long-term debt, total short-term debt was U.S.$8,553 million as of December 31, 2009. Our total long-term debt amounted to U.S.$48,149 million",https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/pbraform20f2009.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/0001292814-10-001665-index.htm,0001292814-10-001665
2010,20-F,2011-05-26,69431,12729.0,0.2245,Selected Data / Item 5,Item 5 — Short-Term Debt / Long-Term Debt,Total short-term debt + total long-term debt,US GAAP / IFRS comparatives,"On December 31, 2010, our total short-term debt amounted to U.S.$8,960 million. Our total long-term debt amounted to U.S.$60,471 million",https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/pbraform20f2010.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/0001292814-11-001552-index.htm,0001292814-11-001552
2011,20-F,2012-04-02,82927,13496.0,0.1944,105,Item 5 — Contractual Obligations,Current and non-current debt + finance lease obligations,IFRS,"Current and non-current debt obligations 82,785 + Capital (finance) lease obligations 142 = Total balance sheet items 82,927. Confere com ST U.S.$10,111 million + LT U.S.$72,816 million",https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/pbraform20f_2011.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/0001292814-12-000786-index.htm,0001292814-12-000786
