ano,periodo,tipo,data_protocolo,juros_pagos_usd_milhoes,variacao_usd_milhoes,variacao_pct,pagina,secao,metrica,trecho,url_documento,url_indice,accession
2002,ano,20-F,2003-06-19,200,,,F-8,Consolidated Statements of Cash Flows — supplemental,Cash paid during the period for Interest,Cash paid during the period for Interest 200  [2002]  393 [2001]  622 [2000],https://www.sec.gov/Archives/edgar/data/1119639/000095012303007204/y87469e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012303007204/0000950123-03-007204-index.htm,0000950123-03-007204
2003,ano,20-F,2004-06-30,622,422.0,2.11,F-6,Consolidated Statements of Cash Flows — supplemental,Cash paid during the year for Interest,Supplemental cash flow information: Cash paid during the year for Interest 622  [2003]  200 [2002],https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/0001193125-04-112315-index.htm,0001193125-04-112315
2004,ano,20-F,2005-06-30,995,373.0,0.5997,F-9,Consolidated Statements of Cash Flows — supplemental,"Cash paid for Interest, net of amount capitalized","Cash paid during the year for Interest, net of amount capitalized 995  [2004]  622 [2003]",https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/0001193125-05-135283-index.htm,0001193125-05-135283
2005,ano,20-F,2006-06-28,1083,88.0,0.0884,F-7,Consolidated Statements of Cash Flows — supplemental,"Cash paid for Interest, net of amount capitalized","Cash paid during the year for Interest, net of amount capitalized 1,083  [2005]  995 [2004]",https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/y22597e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/0000950123-06-008263-index.htm,0000950123-06-008263
2006,ano,20-F,2007-06-26,877,-206.0,-0.1902,F-7,Consolidated Statements of Cash Flows — supplemental,"Cash paid for Interest, net of amount capitalized","Interest, net of amount capitalized 877  [2006]  1,083 [2005]",https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/y36368e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/0000950123-07-009192-index.htm,0000950123-07-009192
2007,ano,20-F,2008-05-19,1684,807.0,0.9202,F-12,Consolidated Statements of Cash Flows — supplemental,"Cash paid for Interest, net of amount capitalized","Interest, net of amount capitalized 1,684  [2007]  877 [2006]",https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/c73239e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/0001362310-08-002879-index.htm,0001362310-08-002879
2008,ano,20-F,2009-05-22,1515,-169.0,-0.1004,F-8,Consolidated Statements of Cash Flows — supplemental,"Cash paid for Interest, net of amount capitalized","Interest, net of amount capitalized 1,515  [2008]  1,684 [2007]. O 20-F de 2009 reapresenta 2008 como 2,304",https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/y76586e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/0000950123-09-009383-index.htm,0000950123-09-009383
2009,ano,20-F,2010-05-20,3059,1544.0,1.0191,F-9,Consolidated Statements of Cash Flows — supplemental,"Cash paid for Interest, net of amount capitalized","Interest, net of amount capitalized 3,059  [2009]  2,304 [2008 restated]",https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/pbraform20f2009.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/0001292814-10-001665-index.htm,0001292814-10-001665
2010,ano,20-F,2011-05-26,3700,641.0,0.2095,F-9,Consolidated Statements of Cash Flows — supplemental,"Cash paid for Interest, net of amount capitalized","Interest, net of amount capitalized 3,700  [2010]  3,059 [2009]",https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/pbraform20f2010.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/0001292814-11-001552-index.htm,0001292814-11-001552
2011,ano,20-F,2012-04-02,4574,874.0,0.2362,F-10,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (4,574)  [2011]  (3,659) [2010]  (1,693) [2009]",https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/pbraform20f_2011.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/0001292814-12-000786-index.htm,0001292814-12-000786
2012,ano,20-F,2013-04-29,4772,198.0,0.0433,F-10,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (4,772)  [2012]  (4,574) [2011]",https://www.sec.gov/Archives/edgar/data/1119639/000129281413000928/pbraform20f_2012.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281413000928/0001292814-13-000928-index.htm,0001292814-13-000928
2013,ano,20-F,2014-04-30,5066,294.0,0.0616,F-9,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (5,066)  [2013]  (4,772) [2012]",https://www.sec.gov/Archives/edgar/data/1119639/000129281414001060/pbraform20f_2013.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281414001060/0001292814-14-001060-index.htm,0001292814-14-001060
2014,ano,20-F,2015-05-15,5995,929.0,0.1834,F-7,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (5,995)  [2014]  (5,066) [2013]",https://www.sec.gov/Archives/edgar/data/1119639/000129281415001242/pbraform20f_2014.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281415001242/0001292814-15-001242-index.htm,0001292814-15-001242
2015,ano,20-F,2016-04-28,6305,310.0,0.0517,F-7,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (6,305)  [2015]  (5,995) [2014]",https://www.sec.gov/Archives/edgar/data/1119639/000129281416004364/pbraform20f_2015.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281416004364/0001292814-16-004364-index.htm,0001292814-16-004364
2016,ano,20-F,2017-04-27,7308,1003.0,0.1591,F-8,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (7,308)  [2016]  (6,305) [2015]",https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/d375139d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/0001193125-17-140235-index.htm,0001193125-17-140235
2017,ano,20-F,2018-04-18,6981,-327.0,-0.0447,F-11,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (6,981)  [2017]  (7,308) [2016]",https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/d521855d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/0001193125-18-120259-index.htm,0001193125-18-120259
2018,ano,20-F,2019-04-01,5791,-1190.0,-0.1705,F-11,Consolidated Statement of Cash Flows — financing,Repayment of interest,"Repayment of interest (5,791)  [2018]  (6,981) [2017]",https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/d692671d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/0001193125-19-093231-index.htm,0001193125-19-093231
2019,ano,20-F,2020-03-23,4501,-1290.0,-0.2228,F-13,Consolidated Statement of Cash Flows — financing,Repayment of finance debt - interest,"Repayment of finance debt - interest (4,501)  [2019]  (5,703) [2018]  (6,500) [2017]",https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/d883642d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/0001193125-20-080953-index.htm,0001193125-20-080953
2020,ano,20-F,2021-03-25,3157,-1344.0,-0.2986,F-12,Consolidated Statements of Cash Flows — financing,Repayment of interest - finance debt,"Repayment of interest - finance debt (3,157)  [2020]  (4,501) [2019]",https://www.sec.gov/Archives/edgar/data/1119639/000129281421001152/pbraform20f_2020.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281421001152/0001292814-21-001152-index.htm,0001292814-21-001152
2021,ano,20-F,2022-03-30,2229,-928.0,-0.2939,F-12,Consolidated Statements of Cash Flows — financing (nota 32.2),Repayment of interest - finance debt,"Repayment of interest - finance debt 32.2 (2,229)  [2021]  (3,157) [2020]",https://www.sec.gov/Archives/edgar/data/1119639/000129281422001285/pbraform20f_2021.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281422001285/0001292814-22-001285-index.htm,0001292814-22-001285
2022,ano,20-F,2023-03-29,1850,-379.0,-0.17,F-6,Consolidated Statements of Cash Flows — financing (nota 31.3),Repayment of interest - finance debt,"Repayment of interest - finance debt 31.3 (1,850)  [2022]  (2,229) [2021]",https://www.sec.gov/Archives/edgar/data/1119639/000129281423001253/pbrform20f_2022.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281423001253/0001292814-23-001253-index.htm,0001292814-23-001253
2023,ano,20-F,2024-04-12,1978,128.0,0.0692,F-6,Consolidated Statements of Cash Flows — financing (nota 32),Repayment of interest - finance debt,"Repayment of interest - finance debt 32 (1,978)  [2023]  (1,850) [2022]",https://www.sec.gov/Archives/edgar/data/1119639/000129281424001340/pbrform20f_2023.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281424001340/0001292814-24-001340-index.htm,0001292814-24-001340
2024,ano,20-F,2025-04-03,1918,-60.0,-0.0303,F-6,Consolidated Statements of Cash Flows — financing (nota 30),Repayment of interest - finance debt,"Repayment of interest - finance debt 30 (1,918)  [2024]  (1,978) [2023]",https://www.sec.gov/Archives/edgar/data/1119639/000129281425001352/pbrform20f_2024.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281425001352/0001292814-25-001352-index.htm,0001292814-25-001352
2025,ano,20-F,2026-04-09,1836,-82.0,-0.0428,F-6,Consolidated Statements of Cash Flows — financing (nota 30),Repayment of interest - finance debt,"Repayment of interest - finance debt 30 (1,836)  [2025]  (1,918) [2024]",https://www.sec.gov/Archives/edgar/data/1119639/000129281426002168/pbrform20f_2025.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281426002168/0001292814-26-002168-index.htm,0001292814-26-002168
2026,1S (jan–jun),6-K,2026-08-07,1070,,,6,Unaudited Condensed Consolidated Statements of Cash Flows (p. 6); nota 24,Repayment of interest - finance debt (1S2026),"Repayment of interest - finance debt 24  (1,070)  [Jan-Jun/2026]  (856) [Jan-Jun/2025]. Ano de 2026 incompleto — não há 20-F.",https://www.sec.gov/Archives/edgar/data/1119639/000129281426004133/pbrfs2q26usd_6k.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281426004133/0001292814-26-004133-index.htm,0001292814-26-004133
