ano,periodo,tipo,data_protocolo,lucro_liquido_usd_milhoes,variacao_usd_milhoes,variacao_pct,pagina,norma,secao,metrica,trecho,url_documento,url_indice,accession
2002,ano,20-F,2003-06-19,2311,,,F-5,US GAAP,Consolidated Statements of Income,Net income for the year,"Net income for the year 2,311  [2002]  3,491 [2001]  5,342 [2000]",https://www.sec.gov/Archives/edgar/data/1119639/000095012303007204/y87469e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012303007204/0000950123-03-007204-index.htm,0000950123-03-007204
2003,ano,20-F,2004-06-30,6559,4248.0,1.8382,F-4,US GAAP,Consolidated Statements of Income,Net income for the year,"Net income for the year 6,559  [2003]  2,311 [2002]  3,491 [2001]",https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/0001193125-04-112315-index.htm,0001193125-04-112315
2004,ano,20-F,2005-06-30,6190,-369.0,-0.0563,F-7,US GAAP,Consolidated Statements of Income,Net income for the year,"Net income for the year 6,190  [2004]  6,559 [2003]  2,311 [2002]",https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/d20f.htm,https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/0001193125-05-135283-index.htm,0001193125-05-135283
2005,ano,20-F,2006-06-28,10344,4154.0,0.6711,F-5,US GAAP,Consolidated Statements of Income,Net income for the year,"Net income for the year 10,344  [2005]  6,190 [2004]  6,559 [2003]",https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/y22597e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/0000950123-06-008263-index.htm,0000950123-06-008263
2006,ano,20-F,2007-06-26,12826,2482.0,0.2399,F-5,US GAAP,Consolidated Statements of Income,Net income for the year,"Net income for the year 12,826  [2006]  10,344 [2005]  6,190 [2004]",https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/y36368e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/0000950123-07-009192-index.htm,0000950123-07-009192
2007,ano,20-F,2008-05-19,13138,312.0,0.0243,F-10,US GAAP,Consolidated Statements of Income,Net income for the year,"Net income for the year 13,138  [2007]  12,826 [2006]  10,344 [2005]",https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/c73239e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/0001362310-08-002879-index.htm,0001362310-08-002879
2008,ano,20-F,2009-05-22,18879,5741.0,0.437,F-6,US GAAP,Consolidated Statements of Income,Net income for the year,"Net income for the year 18,879  [2008]  13,138 [2007]  12,826 [2006]",https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/y76586e20vf.htm,https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/0000950123-09-009383-index.htm,0000950123-09-009383
2009,ano,20-F,2010-05-20,15504,-3375.0,-0.1788,F-7,US GAAP,Consolidated Statements of Income,Net income for the year attributable to Petrobras,"Net income for the year 16,823; attributable to Petrobras 15,504  [2009]  18,879 [2008]  13,138 [2007]",https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/pbraform20f2009.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/0001292814-10-001665-index.htm,0001292814-10-001665
2010,ano,20-F,2011-05-26,19184,3680.0,0.2374,F-7,US GAAP,Consolidated Statements of Income,Net income for the year attributable to Petrobras,"Net income for the year attributable to Petrobras 19,184  [2010]  15,504 [2009]  18,879 [2008]. O 20-F de 2011 (1º IFRS) reapresenta 2010 como 20,055",https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/pbraform20f2010.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/0001292814-11-001552-index.htm,0001292814-11-001552
2011,ano,20-F,2012-04-02,20121,937.0,0.0488,F-7,IFRS,Consolidated Statement of Income,Net income attributable to the shareholders of Petrobras,"Net income attributable to the shareholders of Petrobras 20,121  [2011]  20,055 [2010 IFRS]  15,308 [2009 IFRS]",https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/pbraform20f_2011.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/0001292814-12-000786-index.htm,0001292814-12-000786
2012,ano,20-F,2013-04-29,11034,-9087.0,-0.4516,F-7,IFRS,Consolidated Statement of Income,Net income attributable to the shareholders of Petrobras,"Net income attributable to the shareholders of Petrobras 11,034  [2012]  20,121 [2011]  20,055 [2010]",https://www.sec.gov/Archives/edgar/data/1119639/000129281413000928/pbraform20f_2012.htm,https://www.sec.gov/Archives/edgar/data/1119639/000129281413000928/0001292814-13-000928-index.htm,0001292814-13-000928
