titulo,numero,tipo,libera_captacao,libera_captacao_inicial,data_portaria,data_publicacao,edicao,secao,pagina,orgao,url,url_title,qtd_projetos,valor_total_anexo,lei_8313,texto_art1
"PORTARIA SEFIC/MINC Nº 1, DE 5 DE JANEIRO DE 2026",1,prorrogacao_prazo,True,False,2026-01-05,2026-01-06,3,,11,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-1-de-5-de-janeiro-de-2026-679335450,portaria-sefic/minc-n-1-de-5-de-janeiro-de-2026-679335450,5164,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 2, DE 6 DE JANEIRO DE 2026",2,prorrogacao_prazo,True,False,2026-01-06,2026-01-07,4,,82,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-2-de-6-de-janeiro-de-2026-679851527,portaria-sefic/minc-n-2-de-6-de-janeiro-de-2026-679851527,9962,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 3, DE 7 DE JANEIRO DE 2026",3,prorrogacao_prazo,True,False,2026-01-07,2026-01-08,5,,26,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-3-de-7-de-janeiro-de-2026-679873548,portaria-sefic/minc-n-3-de-7-de-janeiro-de-2026-679873548,4202,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 4, DE 8 DE JANEIRO DE 2026",4,homologacao_captacao,True,True,2026-01-08,2026-01-09,6,,19,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,16,28985982.32,True,Homologar os projetos culturais relacionados nos
"PORTARIA SEFIC/MINC Nº 5, DE 8 DE JANEIRO DE 2026",5,complementacao_valor,True,False,2026-01-08,2026-01-09,6,,20,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-5-de-8-de-janeiro-de-2026-680123957,portaria-sefic/minc-n-5-de-8-de-janeiro-de-2026-680123957,18,3607586.7399999998,True,Homologar a complementação de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 6, DE 8 DE JANEIRO DE 2026",6,prorrogacao_prazo,True,False,2026-01-08,2026-01-09,6,,20,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-6-de-8-de-janeiro-de-2026-680128333,portaria-sefic/minc-n-6-de-8-de-janeiro-de-2026-680128333,74,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
"PORTARIA SEFIC/MINC Nº 7, DE 8 DE JANEIRO DE 2026",7,reducao_valor,False,False,2026-01-08,2026-01-09,6,,23,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-7-de-8-de-janeiro-de-2026-680129152,portaria-sefic/minc-n-7-de-8-de-janeiro-de-2026-680129152,37,53832036.68,True,Homologar a redução de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 8, DE 8 DE JANEIRO DE 2026",8,alteracao_projeto,False,False,2026-01-08,2026-01-09,6,,24,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-8-de-8-de-janeiro-de-2026-680120488,portaria-sefic/minc-n-8-de-8-de-janeiro-de-2026-680120488,0,,False,"Homologar a(s) alteração(ões) do(s) resumo(s) do(s) projeto(s) abaixo relacionado(s): PRONAC: 221582 - Aquisição e Digitalização de Acervo Biográfico de Bibi Ferreira para o Museu da Imagem e do Som do Rio de Janeiro - RJ, publicado na portaria nº 0633/22 de 17/11/2022, no D.O.U. de 18/11/2022. Onde se lê: Aquisição e digitalização de significativo acervo biográfico sobre a grande artista Bibi Ferreira, oriundo de seu espólio, para integrar o acervo permanente do Museu da Imagem e do Som do Rio de Janeiro (MIS-RJ). Leia-se: Aquisição e digitalização de significativo acervo biográfico sobre a grande artista Bibi Ferreira, oriundo de seu espólio, para integrar o acervo permanente do Instituto Bibi Ferreira na Fundação Memorial da América Latina. PRONAC: 233264 - Programa Negocio Cultural - 2ª Edição, publicado na portaria nº 0518/23 de 05/09/2023, no D.O.U. de 06/09/2023. Onde se lê: O projeto realizará ações capacitação e orientações para o conhecimento e fomento em artes visuais através de plataforma virtual específica, onde os participantes terão acesso a mentorias e atividades que estimulam o desenvolvimento de habilidades criativas e técnicas. Leia-se: O projeto promoverá oficinas presenciais de artes visuais para alunos de escolas públicas em situação de vulnerabilidade, incentivando a formação artística e a inclusão cultural. As atividades serão complementadas por uma exposição virtual inspiradora, uma palestra virtual para alunos e professores e uma plataforma digital de apoio com conteúdos extras e trilhas de diferentes níveis de conhecimento, aumentando o alcance e o impacto educativo do projeto. PRONAC: 247514 - Plano Anual Museu A CASA do Objeto Brasileiro 2025 , publicado na portaria nº 0641/24 de 05/09/2024, no D.O.U. de 06/09/2024. Onde se lê: O Plano Anual de Atividades do Museu A CASA do Objeto Brasileiro tem como objetivo o exercício e fortalecimento do seu papel na sociedade e no campo cultural por meio da promoção de uma programação pública e gratuita, com múltiplas frentes, para o fomento do artesanato feito no país. O projeto compreende ações voltadas à programação de exposições, mostras e eventos públicos, manutenção do equipamento cultural e de sua equipe técnica, ações educativas e a preservação, manutenção e extroversão do acervo. Leia-se: O Plano Bianual de Atividades do Museu A CASA do Objeto Brasileiro tem como objetivo o exercício e fortalecimento do seu papel na sociedade e no campo cultural por meio da promoção de uma programação pública e gratuita, com múltiplas frentes, para o fomento do artesanato feito no país. O projeto compreende ações voltadas à programação de exposições, mostras e eventos públicos, manutenção do equipamento cultural e de sua equipe técnica, ações educativas e a preservação, manutenção e extroversão do acervo. PRONAC: 2412334 - ISABELL FILLARDIS CANTA: PRETAS BRASIL , publicado na portaria nº 0864/24 de 06/12/2024, no D.O.U. de 09/12/2024. Onde se lê: A turnê ""Isabel Fillardis Canta: Pretas Brasil"" celebra o legado de grandes cantoras negras na música brasileira. Com a presença marcante de Isabel Fillardis, o espetáculo reúne um repertório que destaca a importância cultural e artística dessas mulheres, reconhecendo suas contribuições ao cenário musical do país. A produção vai além da música, proporcionando ao público uma experiência imersiva, com projeções visuais e iluminação envolvente. O show conta também com participações especiais de vozes femininas icônicas, enriquecendo ainda mais a apresentação. Com 60 minutos de duração e classificação livre, o espetáculo é acessível a todos, incluindo intérprete de Libras para garantir a inclusão. A turnê passará por quatro cidades: São Paulo, Rio de Janeiro, Brasília e Salvador, levando a potência da música feminina negra para diferentes regiões do Brasil, em um show vibrante e memorável.. Leia-se: A turnêturnê ""Isabel Fillardis - Pretas do Brasil""celebra o legado de grandes cantoras negras na música brasileira. Com a presença marcante deIsabel Fillardis, o espetáculo reúne um repertório que destaca a importância cultural e artística dessas mulheres, reconhecendo suascontribuições ao cenário musical do país. A produção vai além da música, proporcionando ao público uma experiência imersiva, comprojeções visuais e iluminação envolvente. O show conta também com participações especiais de vozes femininas icônicas, enriquecendoainda mais a apresentação. Com 60 minutos de duração e classificação livre, o espetáculo é acessível a todos, incluindo intérprete de Libraspara garantir a inclusão. A turnê passará por quatro cidades: São Paulo, Rio de Janeiro, Brasília e Salvador, levando a potência da músicafeminina negra para diferentes regiões do Brasil, em um show vibrante e memorável. PRONAC: 2413129 - ATELIE DE ARTES - 2ª EDIÇÃO, publicado na portaria nº 0878/24 de 11/12/2024, no D.O.U. de 12/12/2024. Onde se lê: O projeto propõe uma experiência educativa e imersiva voltada para crianças e educadores, explorando as linguagens artísticas do desenho, da argila e do movimento, com o tema central 'Cidade Natureza'. A iniciativa abrangeráworkshopsformativos para educadores, a dinamização de um Ateliê centralde artes ea criação deMini-ateliêsem salas de aula, além da realização de uma Mostra Públicae de um Fórum Cultural. Também está prevista a produção de um Catálogo-guiaque apresenta diretrizes e políticas públicas voltadas para a primeira infância. Leia-se: O projeto propõe uma experiência educativa e imersiva voltada para crianças e educadores, explorando as linguagens artísticas do desenho, da argila e do movimento, com o tema central 'Cidade Natureza'. A iniciativa abrangerá workshops formativos para educadores, a dinamização de um Ateliê central de artes e a criação de Mini-ateliês em salas de aula, além da realização de uma Mostra Pública e Fórum Cultural e a exibição de uma Mostra-Ateliê. Também está prevista a produção de um Catálogo-guia que apresentará diretrizes e políticas públicas voltadas para a primeira infância. PRONAC: 254500 - Vital - O Musical dos Paralamas - Turnê Nacional, publicado na portaria nº 0535/25 de 31/07/2025, no D.O.U. de 01/08/2025. Onde se lê: A proposta consiste na turnê nacional do espetáculo musical ""Vital, o Musical dos Paralamas"", com texto de Patricia Andrade, direção de Pedro Brício e idealização de Gustavo Nunes e Marcelo Pires, nas cidades de Natal (RN), Fortaleza (CE), Teresina (PI), Vitória (ES), Belo Horizonte (MG), Goiânia (GO), São Luís do Maranhão (MA) e Aracaju (SE). Natal (RN) - 4 apresentações Fortaleza (CE) - 4 apresentações Teresina (PI) - 4 apresentações Vitória (ES) - 4 apresentações Belo Horizonte (MG) - 4 apresentações Goiânia (GO) - 3 apresentações São Luís (MA) - 4 apresentações Aracaju (SE) - 4 apresentações Leia-se: A proposta consiste na turne nacional do espetaculo musical ""Vital, o Musical dos Paralamas"" com texto de Patricia Andrade, direcao de Pedro Bricio e idealizaçao de Gustavo Nunes e Marcelo Pires nas cidades de Natal (RN), Fortaleza (CE), Teresina (PI), Vitoria (ES), Belo Horizonte (MG), Goiania (GO), Sao Luis do Maranhao (MA), Aracaju (SE) e Rio de Janeiro (RJ).Natal (RN) - 04 apresentacoes.Fortaleza (CE) - 04 apresentacoes.Teresina (PI) - 04 apresentacoes.Vitoria (ES) - 04 apresentacoes.Belo Horizonte (MG) - 04 apresentacoes.Goiania (GO) - 03 apresentacoes.Sao Luis (MA) - 04 apresentacoes.Aracaju (SE) - 04 apresentacoes.Rio de Janeiro (RJ) - 09 apresentações."
"PORTARIA SEFIC/MINC Nº 9, DE 9 DE JANEIRO DE 2026",9,complementacao_valor,True,False,2026-01-09,2026-01-12,7,,10,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-9-de-9-de-janeiro-de-2026-680397697,portaria-sefic/minc-n-9-de-9-de-janeiro-de-2026-680397697,3,330659.82,True,Homologar a complementação de valor em favor do(s) projeto(s) cultural(is) relacionado(s) no(s)
"PORTARIA SEFIC/MINC Nº 10, DE 9 DE JANEIRO DE 2026",10,prorrogacao_prazo,True,False,2026-01-09,2026-01-12,7,,10,Ministério da Cultura/Secretaria de Fomento e Incentivo à Cultura,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-10-de-9-de-janeiro-de-2026-680386459,portaria-sefic/minc-n-10-de-9-de-janeiro-de-2026-680386459,112,0.0,True,"Homologar a prorrogação do prazo de captação de recursos do(s) projeto(s) cultural(is), relacionado(s) no(s)"
