pronac,nome_projeto,proponente,uf,cidade,area,artigo,numero_portaria,data_portaria,data_publicacao,prazo_inicio,prazo_fim,url_dou,teto_dou,valor_aprovado_salic,valor_captado_salic,taxa_captacao,situacao_salic,enquadramento_salic,encontrado_salic,aliquota_renuncia,renuncia_estimada,renuncia_art26_doacao_pj,mes
236494,7ª edição do Festival de Fotografia de Paranapiacaba,ALFABETIZACAO VISUAL LTDA.,SP,São Paulo,4 Artes Visuais,artigo_18,394,2026-06-26,2026-06-29,25/06/2026,30/06/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-394-de-26-de-junho-de-2026-716767398,731600.1016,731600.1016,430000.0,0.5877527887975897,Expirado o prazo de captação parcial,Artigo 18,True,1.0,430000.0,,2026-06
2416479,Livro de História em Quadrinhos - Volume II,CASA DO BOM MENINO DE ARAPONGAS,PR,Arapongas,6 Humanidades,artigo_18,394,2026-06-26,2026-06-29,25/06/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-394-de-26-de-junho-de-2026-716767398,109081.66,109081.66,49877.4,0.45724826703223986,Autorizada a captação residual dos recursos,Artigo 18,True,1.0,49877.4,,2026-06
242813,"MAMA GUGA, AMANACY E SUCURIS",CENTRAL DE PRODUCAO COLABORATIVA - CPC,AP,Macapá,1 Artes Cênicas,artigo_18,570,2026-08-31,2026-09-01,01/09/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-570-de-31-de-agosto-de-2026-729321641,75000.0,75000.0,0.0,0.0,Projeto liberado para adequação à realidade de execução.,Artigo 18,True,1.0,0.0,,2026-09
2511041,A GRANDE FAMÍLIA - CARNAVAL 2026,GREMIO REC E CULTURAL ESCOLA DE SAMBA A GRANDE FAMILIA,AM,Manaus,1 Artes Cênicas,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,1937520.0,1937520.0,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
2516116,Biblioteca do Centro Cultural Unimed-BH Minas | Programa de Formação de Leitores e Incentivo à Leitura,MINAS TENIS CLUBE,MG,Belo Horizonte,6 Humanidades,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,1352805.87,1352805.873,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
2516117,VERÃO COM POSITIVIDADE,WM ENTRETENIMENTO LTDA,RJ,Rio de Janeiro,6 Humanidades,artigo_26,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,504490.14,504490.1367,0.0,0.0,Autorizada a captação total dos recursos,Artigo 26,True,0.3,0.0,0.0,2026-01
2516118,ELA Conecta - Empreendedorismo Criativo e Inteligência Artificial,ENTERTAINMENT LAW ACADEMY LTDA,SP,São Paulo,6 Humanidades,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,3451290.01,3451290.01,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
2516119,Festival de Empreendedorismo Cultural de Mato Grosso do Sul,INSTITUTO HARMONYA DO BRASIL,RJ,Rio de Janeiro,3 Música,artigo_26,4,2026-01-08,2026-01-09,09/01/2026,30/06/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,1645550.64,1645550.6406,0.0,0.0,Projeto encerrado por excesso de prazo sem captação ,Artigo 26,True,0.3,0.0,0.0,2026-01
2516120,31° Festival de Inverno de Congonhas/MG - Edição 2026,"FUNDACAO MUNICIPAL DE CULTURA, LAZER E TURISMO - FUMCULT",MG,Congonhas,3 Música,artigo_26,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,1018750.0,1018750.0,0.0,0.0,Arquivado,Artigo 26,True,0.3,0.0,0.0,2026-01
2516121,"QUATRO ESTAÇÕES - UM ANO DE ARTE, TRADIÇÃO E EMOÇÃO",ALTERNATIVO ASSESSORIA E PRODUCAO LTDA,RJ,RIO DE JANEIRO,3 Música,artigo_26,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,1371585.6,1371585.6016,0.0,0.0,Autorizada a captação total dos recursos,Artigo 26,True,0.3,0.0,0.0,2026-01
2516122,Feira das Moças: Cultura e saberes da ancestralidade é tnico - racial,ASSOCIACAO OBINRIN BADU ASOB/DF,DF,Brasília,6 Humanidades,artigo_26,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,504588.15,504588.1484,0.0,0.0,Autorizada a captação total dos recursos,Artigo 26,True,0.3,0.0,0.0,2026-01
2516123,Cidade em Cena: Cultura Inclusiva em São Paulo,INSTITUTO OLGA KOS DE INCLUSAO CULTURAL,SP,São Paulo,6 Humanidades,artigo_26,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,502458.0,502458.0,0.0,0.0,Arquivado - solicitação de desistência do proponente,Artigo 26,True,0.3,0.0,0.0,2026-01
2516124,"Revista ICONIC - Cultura, Sociedade e Diversidade",LOURDES REGINA PAPINI DE SOUZA MOREIRA,SP,Pedra Bela,6 Humanidades,artigo_26,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,256533.75,256533.75,0.0,0.0,Autorizada a captação total dos recursos,Artigo 26,True,0.3,0.0,0.0,2026-01
2516125,Conexões Sustentáveis: Arte e Meio Ambiente - Segunda Edição,ROSANIA NASCIMENTO LIMA,BA,Salvador,4 Artes Visuais,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,30/04/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,132705.0,132705.0,0.0,0.0,Projeto encerrado por excesso de prazo sem captação ,Artigo 18,True,1.0,0.0,,2026-01
2516126,Turnê Show Musical - Pega Mata e Come - Circulação Seu João do Maranhão,CULTURA E ARTES PRODUTORES ASSOCIADOS - CAPA,MA,São Luís,3 Música,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,411721.05,411721.0469,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
2516128,ARTE CORE,BLACK JACK PRODUCOES ARTISTICAS LTDA,RJ,Rio de Janeiro,4 Artes Visuais,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,30/11/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,1777600.0,1777600.0,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
2516129,EMPOWERARTi - TecnologIA é A.R.T.E.,INTERAGE CULTURAL LTDA,SP,Mairiporã,4 Artes Visuais,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,3599978.11,3599978.113,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
257678,I Encontro de Arte e Cultura de Desterro de Entre Rios,LILIAN DAS GRACAS DE MORAIS ANDRADE,MG,Contagem,5 Patrimônio Cultural,artigo_18,394,2026-06-26,2026-06-29,25/06/2026,04/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-394-de-26-de-junho-de-2026-716767398,295440.75,295440.75,221749.0,0.7505701227741941,Encaminhado para análise técnica,Artigo 18,True,1.0,221749.0,,2026-06
259638,Festival de Teatro,SINAPSE PRODUCOES CULTURAIS E TEATRAIS LTDA,SP,São José dos Campos,1 Artes Cênicas,artigo_18,394,2026-06-26,2026-06-29,25/06/2026,30/09/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-394-de-26-de-junho-de-2026-716767398,5741146.5,5741146.5,4538243.51,0.7904768690365243,Autorizada a captação residual dos recursos,Artigo 18,True,1.0,4538243.51,,2026-06
260006,Veadeiros Criativa - Territórios em desenvolvimento,REDE DE ECONOMIA CRIATIVA BRASIL,SP,São Paulo,6 Humanidades,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,10322925.0,10322925.0,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
260013,FESTIVAL DA MÚSICA CARNAUBENSE TONHECA DANTAS,JOAO BATISTA DA SILVA PRODUCOES CULTURAIS,RN,Natal,3 Música,artigo_18,4,2026-01-08,2026-01-09,09/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-4-de-8-de-janeiro-de-2026-680120625,195481.0,195481.0,0.0,0.0,Encaminhado para análise técnica,Artigo 18,True,1.0,0.0,,2026-01
260018,TXAI Amazônia 2026 - Mostra Cultural da Bioeconomia da Amazônia Legal,"SAPIEN - INSTITUTO DE GESTAO , AVALIACAO E PESQUISA APLICADA EM CIENCIA, TECNOLOGIA E INOVACAO",DF,Brasília,6 Humanidades,artigo_26,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,3074221.5,3074221.5,0.0,0.0,Arquivado,Artigo 26,True,0.3,0.0,0.0,2026-01
260019,FESTIVAL MÚSICA ALIMENTO DA ALMA - MADA 2026,PE DE MUSICA PRODUCOES LTDA,RN,Natal,3 Música,artigo_26,18,2026-01-14,2026-01-15,15/01/2026,17/10/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,2823000.0,2823000.0,0.0,0.0,Autorizada a captação total dos recursos,Artigo 26,True,0.3,0.0,0.0,2026-01
260020,Centro de Apoio ao Artista de Sete Lagoas,GEORGE MACHADO PRODUCOES LTDA,MG,Sete Lagoas,1 Artes Cênicas,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,827727.12,827727.1172,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
260021,Páscoa em Canela 2026,AM PRODUCOES LTDA,RS,Porto Alegre,1 Artes Cênicas,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/07/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,66710.82,66710.8203,0.0,0.0,Arquivado,Artigo 18,True,1.0,0.0,,2026-01
260022,PROJETO TRES4 / Circuito Nordeste 2,18.015.317 KEMESSON LEMOS CARDOSO,AL,Maceió,3 Música,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,1228999.37,1228999.3672,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
260023,Festival TransPerformático,CAMARA DE COMERCIO E TURISMO LGBT DO BRASIL,SP,São Paulo,1 Artes Cênicas,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,1288712.7,1288712.7031,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
260024,Festival Trilhas das Artes,ANDREA ALVES DINIZ,MG,Sabará,3 Música,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,23/08/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,293712.23,293712.2268,0.0,0.0,Arquivado a pedido proponente,Artigo 18,True,1.0,0.0,,2026-01
260025,Super Quadra Gastronomica,CREIS EVENTOS LTDA,DF,Brasília,3 Música,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,3154759.13,3154759.125,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
260026,Festival RPB,FESTIVAL ROCK POPULAR BRASILEIRO SPE LTDA,DF,Brasília,3 Música,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,1467919.56,1467919.5627,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
260027,FUNN FESTIVAL,CAPTA CONSULTORIA LTDA,DF,Brasília,3 Música,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,14999770.5,14999770.498,0.0,0.0,Autorizada a captação total dos recursos,Artigo 18,True,1.0,0.0,,2026-01
260028,Acordes para o Futuro: Música na Formação Cidadã dos alunos do CNP-CHAPECÓ,ALBERTI PROJETOS E ASSESSORIA LTDA,SC,Mondaí,3 Música,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,31/12/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,562993.2,562993.1992,55000.0,0.09769212132579932,Autorizada a captação residual dos recursos,Artigo 18,True,1.0,55000.0,,2026-01
260029,CURITIBA MAIS CRIATIVA,"COLLAB.HUB: MARKETING, COMUNICACAO E CRIATIVIDADE LTDA",PR,Curitiba,4 Artes Visuais,artigo_18,18,2026-01-14,2026-01-15,15/01/2026,01/09/2026,https://www.in.gov.br/web/dou/-/portaria-sefic/minc-n-18-de-14-de-janeiro-de-2026-681159732,431970.0,431970.0,0.0,0.0,Expirado o prazo de captação total,Artigo 18,True,1.0,0.0,,2026-01
