rank,codigo,pais,juro_real_acumulado_%,taxa_basica_acumulada_%,inflacao_acumulada_%,taxa_ini,taxa_fim
1,CN,China,7.786090728570194,16.666317208291815,8.238749934890999,4.35,3.65
2,ID,Indonésia,5.60016231947571,18.546003977637817,12.259300908076852,6.0,5.5
3,MX,México,4.334186677748519,28.09143163329846,22.77033608258019,8.25,10.5
4,MY,Malásia,2.53262472116067,9.390710909247414,6.688686851367964,3.25,2.75
5,BR,Brasil,1.275415902455923,28.54611629889201,26.927265766750395,6.5,13.75
6,RU,Rússia,0.8344577920789797,32.25967596809704,31.16515808595608,7.75,7.5
7,HK,Hong Kong,-0.0929286893896819,6.33622879784026,6.435137576239969,2.75,4.75
8,ZA,África do Sul,-0.39836000187644105,21.12292576866355,21.60736085364201,6.75,7.0
9,SA,Arábia Saudita,-1.8742453011428961,7.755729916615328,9.813912002320002,3.0,5.0
10,KW,Kuwait,-3.234222584526625,8.78690038086729,12.422907443589315,3.0,3.5
11,IN,Índia,-4.001135105189924,20.323780394278003,25.338753251011603,6.5,6.25
12,PH,Filipinas,-4.188125830312039,12.819899315875771,17.751479441959027,4.75,5.5
13,JP,Japão,-4.683297527579333,-0.39940039990015164,4.494382428849453,-0.1,-0.1
14,MA,Marrocos,-4.718648712007056,7.4029489379119795,12.721899391708735,2.25,2.5
15,KR,Coreia do Sul,-4.796346880192559,5.0829506643417455,10.377015188799387,1.75,3.25
16,TH,Tailândia,-4.889338708860613,3.520119276813549,8.84176166111632,1.75,1.25
17,IL,Israel,-5.766352377995498,1.8757219288323634,8.10970868652161,0.25,3.25
18,CH,Suíça,-5.90443339259068,-2.3979100988532287,3.726555267335341,-0.75,1.0
19,CO,Colômbia,-6.880030360738432,17.359106761373777,26.03000969181204,4.25,12.0
20,PE,Peru,-8.430845803460507,9.835276811255046,19.94789924073128,2.75,7.5
21,IS,Islândia,-8.706683774368562,11.110597846462777,21.70726449661762,4.5,6.0
22,CA,Canadá,-8.862950354113242,4.595819408248736,14.767616259968985,1.75,4.25
23,NO,Noruega,-10.146962640044633,3.0435084601180717,14.68005032186177,0.75,2.75
24,AU,Austrália,-10.248227667853415,2.9018722298481014,14.651632559451432,1.5,3.1
25,NZ,Nova Zelândia,-10.916133556334984,4.554039715082703,17.365852975410245,1.75,4.25
26,CL,Chile,-11.220769524654939,13.810220183534238,28.19464594834549,2.75,11.25
27,US,Estados Unidos,-11.484274428129682,4.569072805585739,18.136152790930815,2.375,4.375
28,XM,Área do euro,-13.097232231278689,0.6631505276604388,15.834228428213383,0.0,2.5
29,DK,Dinamarca,-13.464793372121541,-1.7522579180689113,13.534994495846364,-0.65,1.75
30,GB,Reino Unido,-13.590303951287929,2.626641336840363,18.76750646013874,0.75,3.5
31,RS,Sérvia,-15.566490274617461,8.066584959602263,27.990160910147633,3.0,5.0
32,SE,Suécia,-15.669005054802888,0.6184271573985489,19.31369625460473,-0.5,2.5
33,MK,Macedônia do Norte,-15.671133092942412,7.878151339903261,27.92553166734748,2.5,4.75
34,CZ,Chéquia,-15.686822933907706,9.866368898761312,30.30747117101058,1.75,7.0
35,HR,Croácia,-16.736709905355106,0.004057273613389256,20.1058199356996,,
36,AR,Argentina,-17.26879043445251,401.29311497301467,505.92987532213317,59.252,75.0
37,RO,Romênia,-17.37474291095058,10.450428009279378,33.67635018701529,2.5,6.75
38,PL,Polônia,-19.573886557830832,7.784740453103667,34.0170944983023,1.5,6.75
39,HU,Hungria,-21.814784374480823,11.693422881369964,42.85747246172959,0.9,13.0
40,TR,Turquia,-38.7850962468574,75.37818157512672,186.4958871492521,24.0,9.0
