ano,livres,direcionados,total,credito_pib,livres_pib,direcionados_pib,share_livres,share_dir,var_livres,var_dir,var_total
2002,,,384.396,25.820,,,,,,,
2003,,,418.258,24.350,,,,,,,8.809
2004,,,498.722,25.470,,,,,,,19.238
2005,,,607.023,27.970,,,,,,,21.716
2006,,,732.590,30.400,,,,,,,20.686
2007,627.514,316.407,943.922,34.700,23.070,11.630,66.479,33.520,,,28.847
2008,833.190,400.798,1233.987,39.680,26.790,12.890,67.520,32.480,32.776,26.672,30.730
2009,902.959,517.557,1420.515,42.620,27.090,15.530,63.566,36.434,8.374,29.132,15.116
2010,1055.664,657.044,1712.708,44.080,27.170,16.910,61.637,38.363,16.912,26.951,20.570
2011,1231.641,802.312,2033.954,46.480,28.140,18.330,60.554,39.446,16.670,22.109,18.757
2012,1396.419,971.919,2368.338,49.190,29.000,20.190,58.962,41.038,13.379,21.140,16.440
2013,1505.144,1205.628,2710.771,50.840,28.230,22.610,55.525,44.475,7.786,24.046,14.459
2014,1575.937,1441.677,3017.614,52.220,27.270,24.950,52.225,47.775,4.703,19.579,11.319
2015,1641.847,1586.683,3228.530,53.850,27.380,26.460,50.854,49.146,4.182,10.058,6.989
2016,1562.754,1554.026,3116.780,49.710,24.930,24.790,50.140,49.860,-4.817,-2.058,-3.461
2017,1591.373,1511.966,3103.339,47.120,24.160,22.960,51.279,48.721,1.831,-2.707,-0.431
2018,1764.564,1498.770,3263.335,46.590,25.190,21.400,54.072,45.928,10.883,-0.873,5.156
2019,2010.547,1465.269,3475.816,47.040,27.210,19.830,57.844,42.156,13.940,-2.235,6.511
2020,2317.387,1703.946,4021.333,52.850,30.450,22.390,57.627,42.373,15.262,16.289,15.695
2021,2793.494,1889.358,4682.852,51.960,31.000,20.960,59.654,40.346,20.545,10.881,16.450
2022,3213.305,2152.764,5366.069,53.240,31.880,21.360,59.882,40.118,15.028,13.942,14.590
2023,3394.784,2410.374,5805.157,53.050,31.020,22.030,58.479,41.521,5.648,11.966,8.183
2024,3769.636,2694.966,6464.602,54.880,32.000,22.880,58.312,41.688,11.042,11.807,11.360
2025,4096.657,3039.779,7136.436,56.020,32.160,23.860,57.405,42.595,8.675,12.795,10.393
2026,4162.456,3193.345,7355.800,55.760,31.550,24.210,56.587,43.413,1.606,5.052,3.074
