uf,projetos,com_captacao,teto_dou,captado,renuncia_estimada,taxa_captacao
SP,1687,83,3210289736.4516,31767338.07,31767338.07,0.009895473828824278
RJ,860,40,1714207596.55,39170685.73,37190246.661,0.02285060794785567
MG,836,45,1163796296.39,7751192.61,7685392.61,0.006660265747574175
RS,588,83,503670977.51,5290041.3100000005,5290041.3100000005,0.010502970284594114
BA,275,8,363317087.53000003,2625294.95,2625294.95,0.007225905524697412
DF,136,7,316054037.32,8341624.970000001,8341624.970000001,0.02639303405434505
PR,325,34,263004825.22,2407229.89,2407228.4899999998,0.009152797436269029
SC,455,51,261343924.56,5890238.66,5890238.66,0.022538265122928863
ES,123,1,227432780.44,2800000.0,2800000.0,0.012311329943656385
CE,142,11,227092406.81,11991787.56,11991787.56,0.052805761885438535
PA,93,2,164551470.02,3024021.24,3024021.24,0.018377357793476125
PE,119,8,155586500.17,6940183.44,6740683.44,0.04460659139717701
MA,117,0,148618868.56,0.0,0.0,0.0
GO,117,8,135742382.31,3656854.41,3656854.41,0.026939665768121734
PB,51,3,79938156.47,285000.0,285000.0,0.003565256100282444
AM,55,2,68601759.51,1650000.0,1650000.0,0.024051861231919006
RN,62,7,58896498.86,3229988.0,2074988.0,0.05484176585229365
MS,36,2,49486098.29,40001.0,40001.0,0.0008083280230658897
MT,44,2,43789073.62,42010.0,42010.0,0.0009593717456679095
AL,37,2,28360595.830000002,121004.71,121004.71,0.00426664907625109
PI,33,1,24571880.09,35000.0,35000.0,0.0014243924303636792
SE,13,0,19153069.01,0.0,0.0,0.0
TO,18,1,16733128.55,200000.0,200000.0,0.011952337508337614
RR,6,1,9719889.54,240000.0,240000.0,0.02469163862535006
AP,9,0,7512545.98,0.0,0.0,0.0
RO,9,2,6926424.13,40050.0,40050.0,0.0057822043883414345
AC,4,0,6750379.53,0.0,0.0,0.0
