contrato,Total Subsídio (R$),Impacto Fiscal 2026 (R$),Saldo Final (R$),Quantidade de Parcelas
0,19764.2,168643.63,2083.33,54
1,57585.85,472294.53,4166.67,63
2,5266.47,46349.49,1388.89,36
3,26124.17,192310.94,2500.0,84
4,16705.84,134727.8,1875.0,54
5,30520.17,233871.69,5333.33,66
6,4606.44,40438.8,3125.0,24
7,20898.22,171832.25,4166.67,39
8,44040.26,339497.29,4375.0,54
9,2651.35,22500.62,1666.67,24
10,91927.34,602385.2,5952.38,96
11,28382.71,203255.37,2000.0,66
12,17963.34,133965.82,1979.17,51
13,85009.0,572399.39,3819.44,78
14,6319.76,48575.92,1666.67,36
15,43241.14,285550.1,5666.67,72
16,11514.54,84574.33,2444.44,39
17,32505.92,223843.35,3229.17,54
18,58406.19,382158.28,3666.67,66
19,17463.78,120328.56,2291.67,48
