contrato,Instituição Financeira Credenciada,subsidio_total,impacto_2026,saldo_final,spread_final,parcelas
0,BANCO DO BRASIL SA,19764.2,108268.39,2083.33,1.6222694014803272,54
1,BANCO DO BRASIL SA,57585.85,305519.2,4166.67,1.7585044551140865,63
2,CAIXA ECONOMICA FEDERAL,5266.47,29593.04,1388.89,1.3806448731088128,36
3,BANCO BRADESCO SA,24333.81,118298.38,2500.0,2.122550168003448,84
4,BANCO BRADESCO SA,16705.84,87505.35,1875.0,1.6222694014803272,54
5,ITAU UNIBANCO SA,27869.86,140069.36,5333.33,1.8064126739345068,66
6,BANCO COOPERATIVO SICREDI SA,4606.44,25842.84,3125.0,1.2399037962221036,24
7,BANCO COOPERATIVO SICREDI SA,20898.22,111244.45,4166.67,1.4182587878770283,39
8,BANCO DO BRASIL SA,44040.26,222562.3,4375.0,1.6222694014803272,54
9,CAIXA ECONOMICA FEDERAL,2651.35,14480.0,1666.67,1.2399037962221036,24
10,BANCO SANTANDER BRASIL SA,86938.3,384931.82,5952.38,2.3634801476527394,96
11,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,28382.71,135180.91,2000.0,1.8064126739345068,66
12,BANCO DO BRASIL SA,17963.34,88438.55,1979.17,1.579244881893387,51
13,ITAU UNIBANCO SA,85009.0,385204.73,3819.44,2.0114579893904176,78
14,BANCO COOPERATIVO DO BRASIL SA - BANCOOB,6319.76,31891.64,1666.67,1.3806448731088128,36
15,BANCO BRADESCO SA,40277.61,179800.45,5666.67,1.9061802656416498,72
16,CAIXA ECONOMICA FEDERAL,11514.54,56040.76,2444.44,1.4182587878770283,39
17,BANCO DO BRASIL SA,32505.92,150193.99,3229.17,1.6222694014803272,54
18,BANCO SANTANDER BRASIL SA,58406.19,258935.06,3666.67,1.8064126739345068,66
19,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,17463.78,80754.12,2291.67,1.5373614238859838,48
20,BNDES,39162.64,229155.65,20000.0,1.3083832845929366,30
21,BNDES,140363.06,710773.53,31944.44,1.5373614238859838,48
22,BNDES,71825.78,377795.57,43888.89,1.207020068576251,21
