contrato,ano,Total Subsídio (R$),Impacto Fiscal 2026 (R$),Quantidade de Parcelas
0,2009,6399.1,62939.43,10
0,2010,6237.1,54357.7,12
0,2011,4293.0,32728.38,12
0,2012,2349.0,15705.47,12
0,2013,486.0,2912.65,8
1,2009,15041.07,147138.8,9
1,2010,16674.1,145215.06,12
1,2011,12548.58,95532.64,12
1,2012,8422.98,56104.71,12
1,2013,4297.47,25130.84,12
1,2014,601.65,3172.48,6
2,2009,1826.66,17674.73,7
2,2010,2229.94,19477.73,12
2,2011,1091.25,8373.99,12
2,2012,118.62,823.04,5
3,2009,3231.84,31050.97,6
3,2010,6351.48,55207.86,12
3,2011,5431.33,41288.68,12
3,2012,4354.03,28923.45,12
3,2013,3276.76,19027.88,12
3,2014,2199.45,11174.74,12
3,2015,1122.18,5005.47,12
3,2016,157.1,631.89,6
4,2009,2738.65,26162.9,5
4,2010,5945.18,51787.23,12
4,2011,4313.4,32857.2,12
4,2012,2670.21,17810.82,12
4,2013,1026.99,6048.34,12
4,2014,11.41,61.31,1
5,2009,3344.68,31770.9,4
5,2010,9406.9,81872.12,12
5,2011,7441.9,56618.1,12
5,2012,5435.1,36153.94,12
5,2013,3428.29,19964.89,12
5,2014,1421.49,7296.3,12
5,2015,41.81,195.44,2
6,2009,1059.49,10010.35,3
6,2010,2856.0,25019.51,12
6,2011,690.95,5408.94,9
7,2009,1944.02,18257.81,2
7,2010,10179.12,88768.45,12
7,2011,6318.08,48253.56,12
7,2012,2430.0,16386.34,12
7,2013,27.0,166.09,1
8,2009,1443.94,13484.68,1
8,2010,16695.58,145235.82,12
8,2011,12815.0,97571.16,12
8,2012,8483.17,56518.57,12
8,2013,4151.34,24298.82,12
8,2014,451.23,2388.24,5
9,2010,1962.0,17163.69,12
9,2011,689.35,5336.93,12
10,2010,18554.14,160215.55,11
10,2011,19136.48,145388.15,12
10,2012,16265.03,107962.75,12
10,2013,13373.4,77561.15,12
10,2014,10481.88,53128.11,12
10,2015,7590.36,33639.51,12
10,2016,4698.77,18234.87,12
10,2017,1807.2,6192.35,12
10,2018,20.08,62.76,1
11,2010,7698.34,66122.48,10
11,2011,7853.88,59730.81,12
11,2012,5987.61,39803.5,12
11,2013,4121.28,23965.41,12
11,2014,2255.04,11500.38,12
11,2015,466.56,2132.79,8
12,2010,5674.78,48494.03,9
12,2011,5960.57,45378.0,12
12,2012,4000.92,26649.72,12
12,2013,2041.29,11937.14,12
12,2014,285.78,1506.93,6
13,2010,15973.9,135588.41,8
13,2011,21502.28,163436.9,12
13,2012,17501.86,116238.67,12
13,2013,13501.44,78373.51,12
13,2014,9501.0,48234.55,12
13,2015,5500.58,24472.15,12
13,2016,1527.94,6055.2,10
14,2010,2191.98,18523.74,7
14,2011,2675.93,20413.34,12
14,2012,1309.5,8776.24,12
14,2013,142.35,862.6,5
15,2010,5087.2,42444.29,5
15,2011,12039.7,91386.79,12
15,2012,10072.64,66907.85,12
15,2013,7630.78,44307.15,12
15,2014,5188.94,26357.65,12
15,2015,2747.08,12243.75,12
15,2016,474.8,1902.62,7
16,2010,2142.24,17772.15,4
16,2011,5266.34,40127.87,12
16,2012,3124.1,20854.78,12
16,2013,981.86,5819.53,11
17,2010,3197.31,26374.72,3
17,2011,11989.89,91160.33,12
17,2012,8925.81,59366.68,12
17,2013,5728.5,33350.2,12
17,2014,2531.19,12971.0,12
17,2015,133.22,620.42,3
18,2010,3200.34,26250.54,2
18,2011,18455.28,140207.67,12
18,2012,14881.59,98868.65,12
18,2013,11041.15,64128.99,12
18,2014,7200.78,36602.47,12
18,2015,3360.35,15019.28,12
18,2016,266.7,1080.68,4
19,2010,712.81,5813.76,1
19,2011,7395.42,56276.42,12
19,2012,5256.95,34983.62,12
19,2013,3118.5,18181.27,12
19,2014,980.1,5073.49,11
