ano,Instituição Financeira Credenciada,subsidio,impacto_acumulado_2026
2009,BANCO BRADESCO SA,17690.01,85081.89
2009,BANCO COOPERATIVO SICREDI SA,9010.53,42865.74
2009,BANCO DO BRASIL SA,68652.33,334351.71
2009,CAIXA ECONOMICA FEDERAL,5479.98,26518.59
2009,ITAU UNIBANCO SA,9743.6,46612.54
2010,BANCO BRADESCO SA,51367.67,230346.91
2010,BANCO COOPERATIVO DO BRASIL SA - BANCOOB,6575.94,29151.99
2010,BANCO COOPERATIVO SICREDI SA,39105.36,177245.28
2010,BANCO DO BRASIL SA,145436.61,655388.88
2010,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,25233.45,112791.12
2010,BANCO SANTANDER BRASIL SA,64256.5,287569.6
2010,CAIXA ECONOMICA FEDERAL,19002.54,85152.03
2010,ITAU UNIBANCO SA,75325.53,337074.52
2011,BANCO BRADESCO SA,64155.9,261596.65
2011,BANCO COOPERATIVO DO BRASIL SA - BANCOOB,8027.79,32839.26
2011,BANCO COOPERATIVO SICREDI SA,21027.09,86273.52
2011,BANCO DO BRASIL SA,142821.12,583174.77
2011,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,45747.9,186713.1
2011,BANCO SANTANDER BRASIL SA,111736.71,455536.86
2011,CAIXA ECONOMICA FEDERAL,21140.82,86588.52
2011,ITAU UNIBANCO SA,86186.3,351575.84
2012,BANCO BRADESCO SA,50301.92,185733.64
2012,BANCO COOPERATIVO DO BRASIL SA - BANCOOB,3928.5,14577.21
2012,BANCO COOPERATIVO SICREDI SA,7290.0,27150.45
2012,BANCO DO BRASIL SA,96545.64,356912.1
2012,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,33733.68,124601.7
2012,BANCO SANTANDER BRASIL SA,92557.09,341558.17
2012,CAIXA ECONOMICA FEDERAL,9728.16,36044.01
2012,ITAU UNIBANCO SA,68338.9,252262.49
2013,BANCO BRADESCO SA,35056.01,120287.29
2013,BANCO COOPERATIVO DO BRASIL SA - BANCOOB,427.05,1499.85
2013,BANCO COOPERATIVO SICREDI SA,81.0,286.62
2013,BANCO DO BRASIL SA,50113.8,172481.25
2013,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,21719.34,74582.49
2013,BANCO SANTANDER BRASIL SA,72517.89,248573.96
2013,CAIXA ECONOMICA FEDERAL,2945.58,10221.72
2013,ITAU UNIBANCO SA,50491.48,173159.41
2014,BANCO BRADESCO SA,21693.03,67951.63
2014,BANCO DO BRASIL SA,11609.55,36896.85
2014,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,9705.42,30597.15
2014,BANCO SANTANDER BRASIL SA,52479.12,164242.93
2014,ITAU UNIBANCO SA,32644.03,102309.39
2015,BANCO BRADESCO SA,11342.6,31913.88
2015,BANCO DO BRASIL SA,399.66,1169.16
2015,BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL,1399.68,4030.17
2015,BANCO SANTANDER BRASIL SA,32440.15,91000.48
2015,ITAU UNIBANCO SA,16623.54,46700.04
2016,BANCO BRADESCO SA,1852.42,4713.01
2016,BANCO SANTANDER BRASIL SA,14641.42,36154.28
2016,ITAU UNIBANCO SA,4583.82,11526.09
2017,BANCO SANTANDER BRASIL SA,5323.52,11711.94
2018,BANCO SANTANDER BRASIL SA,59.15,122.83
