linha,discriminacao,jan/97–dez/02,jan/03–mai/16,jun/16–dez/18,jan/19–dez/22,jan/23–mai/26,total_5_periodos
6,1. RECEITA TOTAL 1/,6433212.26,26103160.84,5685250.9,9781534.92,10011944.15,58015103.07
7,1.1 -  Receita Administrada pela RFB,4204612.16,16512331.78,3465680.67,5899653.73,6346662.02,36428940.36
8,1.1.01    Imposto sobre a Importação,212471.52,657482.61,141925.57,280079.71,284722.28,1576681.7
9,1.1.02    IPI,492987.5,1140013.26,200146.82,322835.2,290132.05,2446114.82
10,1.1.02.1    IPI - Fumo,65940.02,117125.92,20518.89,32037.8,30251.77,265874.39
11,1.1.02.2    IPI - Bebidas,25048.57,88133.0,11547.28,16132.35,12449.83,153311.03
12,1.1.02.3    IPI - Automóveis,33107.07,146474.32,18481.9,22542.08,27230.4,247835.78
13,1.1.02.4    IPI - Vinculado à importação,63000.69,331222.18,61904.79,130058.96,106578.87,692765.49
14,1.1.02.5    IPI - Outros,305891.15,457057.84,87693.96,122064.0,113621.18,1086328.14
15,1.1.03    Imposto sobre a Renda,1467340.72,6140684.12,1404836.16,2610837.45,2995460.58,14619159.03
16,1.1.03.1  I.R. - Pessoa Física,97040.73,531142.98,130589.58,260751.22,270622.12,1290146.64
17,1.1.03.2  I.R. - Pessoa Jurídica,483016.92,2558373.1,503564.4,1000049.71,1085481.96,5630486.09
18,1.1.03.3  I.R. - Retido na fonte,887283.07,3051168.04,770682.18,1350036.51,1639356.5,7698526.3
19,1.1.03.3.1    IRRF - Rendimentos do Trabalho,378523.34,1517283.99,362545.12,689672.96,717166.87,3665192.28
20,1.1.03.3.2    IRRF - Rendimentos do Capital,339306.18,935396.96,240289.39,340730.38,537395.89,2393118.81
21,1.1.03.3.3    IRRF - Rendimentos de Residentes no Exterior,92755.77,386822.07,120868.76,238108.32,299002.04,1137556.97
22,1.1.03.3.4    IRRF - Outros Rendimentos,76697.79,211665.01,46978.9,81524.85,85791.7,502658.24
23,1.1.04    IOF,109899.37,608825.24,142786.34,226407.08,277670.95,1365588.99
24,1.1.05    Cofins,957584.12,4336561.93,944509.61,1355755.3,1320052.45,8914463.4
25,1.1.06    PIS/Pasep,276890.57,1145467.95,248802.58,379284.43,367049.52,2417495.04
26,1.1.07    CSLL,256022.47,1416325.36,294006.95,574706.49,639708.71,3180769.98
27,1.1.08    CPMF,343951.04,459358.1,0.0,0.0,0.0,803309.14
28,1.1.09    CIDE - Combustíveis,29182.6,207624.58,20589.83,11444.05,9883.96,278725.02
29,1.1.10  Outras Receitas Administradas pela RFB,58282.25,399988.63,68076.8,138304.02,161981.53,826633.24
30,1.2 -  Incentivos Fiscais,-18512.33,-2188.51,-2409.01,-541.24,-90.57,-23741.65
31,1.3 -  Arrecadação Líquida para o RGPS,1543617.32,6420313.4,1531905.52,2423966.97,2431431.54,14351234.75
32,1.3.1    Arrecadação Líquida para o RGPS - Urbana,540183.78,6260925.42,1494542.96,2375088.79,2393043.89,13063784.83
33,1.3.2    Arrecadação Líquida para o RGPS - Rural,17329.53,159388.0,37362.56,48878.18,38387.65,301345.92
34,1.4 -  Receitas Não Administradas pela RFB,703495.1,3172704.17,690073.72,1458455.47,1233941.16,7258669.61
35,1.4.1  Concessões e Permissões,154471.04,150679.94,97091.67,214483.12,38350.07,655075.84
36,1.4.2  Dividendos e Participações,60089.14,451828.21,23721.14,199534.97,196425.33,931598.8
37,1.4.2.1  Banco do Brasil,2557.64,66682.93,6889.51,19817.81,20110.65,116058.54
38,1.4.2.2  BNB,34.76,4090.5,323.75,883.74,1430.47,6763.22
39,1.4.2.3  BNDES,5934.13,172656.56,8049.17,53666.15,67429.33,307735.35
40,1.4.2.4  Caixa Econômica Federal,502.5,82589.79,5504.83,16604.98,10135.12,115337.22
41,1.4.2.5  Empresa Brasileira de Correios e Telégrafos (Correios),832.61,11378.91,0.0,310.04,0.0,12521.57
42,1.4.2.6  Eletrobrás,6492.72,19337.41,0.0,4925.04,4370.93,35126.11
43,1.4.2.7  IRB,298.35,3700.55,280.47,125.37,0.0,4404.74
44,1.4.2.8  Petrobras,11677.19,74677.8,1129.69,98407.65,84842.21,270734.55
45,1.4.2.9  Demais Dividendos e Participações,5949.62,16713.76,1543.7,4794.19,8106.61,37107.89
46,1.4.3  Contr. Plano de Seguridade Social do Servidor,44583.93,230930.89,55077.42,89233.15,67868.1,487693.47
47,1.4.4  Receitas de Exploração de Recursos Naturais,48659.7,767566.96,170361.15,457612.92,473163.67,1917364.39
48,"1.4.5  Receitas Próprias (fontes 50, 81 e 82)",119006.38,341172.97,58063.38,89194.81,83705.62,691143.16
49,1.4.6  Contribuição do Salário Educação,80741.45,344857.49,82449.37,126615.12,124767.71,759431.14
50,1.4.7  Complemento para o FGTS (LC nº 110/01),0.0,32735.38,21291.72,7960.44,521.22,62508.75
51,1.4.8  Demais Receitas Não Administradas pela RFB,195943.47,852932.34,182017.88,273820.94,249139.44,1753854.06
52,1.4.8.1 d/q Receitas de Operações com Ativos,0.0,210912.38,10565.27,3649.39,0.0,225127.03
53,2. TRANSF. POR REPARTIÇÃO DE RECEITA 2/,995773.61,4212795.37,972637.65,1807652.96,1938697.69,9927557.28
54,2.1  FPM / FPE / IPI-EE,869577.89,3362719.84,775833.1,1373389.13,1536033.78,7917553.75
55,2.2  Fundos Constitucionais,22301.46,99713.33,32358.51,45985.59,56284.65,256643.54
56,2.2.1  Repasse Total,39396.52,217753.79,49076.14,87536.89,97880.99,491644.33
57,2.2.2  Superávit dos Fundos,-26621.79,-118040.46,-16717.63,-41551.3,-41596.34,-244527.51
58,2.3  Transferência de Contribuição do Salário Educação,47496.16,206537.16,48671.83,73807.04,75419.25,451931.43
59,2.4  Transferências de Exploração de Recursos Naturais,36204.27,482918.68,103841.98,274545.75,256638.52,1154149.2
60,2.5  Transferência da CIDE - Combustíveis,0.0,40592.33,5573.97,3609.02,2694.01,52469.33
61,2.6  Demais Transferências por Repartição de Receita,20193.83,20314.02,6358.26,36316.43,11627.49,94810.03
62,3. RECEITA LÍQUIDA  (1-2),5437438.65,21890365.47,4712613.24,7973881.96,8073246.46,48087545.79
63,4. DESPESA TOTAL 2/,4960516.15,20373479.58,5305825.76,9161633.29,8484394.12,48285848.91
