ano,receita_total_R$mi,receita_total_R$bi,despesa_total_R$mi,despesa_total_R$bi,resultado_primario_R$mi,resultado_primario_R$bi,juros_nominais_R$mi,juros_nominais_R$bi,resultado_nominal_R$mi,resultado_nominal_R$bi
2001,270441.18,270.44,205643.18,205.64,21737.1,21.74,-47253.04,-47.25,-25273.24,-25.27
2002,320056.45,320.06,236461.07,236.46,31577.2,31.58,-41948.25,-41.95,-10029.15,-10.03
2003,356131.53,356.13,260122.4,260.12,39080.05,39.08,-100896.43,-100.9,-62152.54,-62.15
2004,418993.29,418.99,305610.66,305.61,49341.43,49.34,-79418.52,-79.42,-27033.33,-27.03
2005,487822.08,487.82,354925.38,354.93,52673.17,52.67,-129025.37,-129.03,-73284.01,-73.28
2006,542810.01,542.81,403738.39,403.74,48748.23,48.75,-125826.62,-125.83,-74475.05,-74.48
2007,618352.11,618.35,458785.05,458.79,57650.39,57.65,-119045.7,-119.05,-59606.98,-59.61
2008,715615.9,715.62,516818.49,516.82,71438.39,71.44,-96198.68,-96.2,-24890.76,-24.89
2009,738124.95,738.12,579009.45,579.01,39436.42,39.44,-149806.4,-149.81,-107363.19,-107.36
2010,918531.37,918.53,707269.91,707.27,77891.17,77.89,-124508.74,-124.51,-45785.49,-45.79
2011,988270.08,988.27,733343.38,733.34,91891.03,91.89,-180553.07,-180.55,-87517.57,-87.52
2012,1072289.42,1072.29,815907.02,815.91,84987.97,84.99,-147267.63,-147.27,-61181.66,-61.18
2013,1178983.24,1178.98,924929.13,924.93,72159.14,72.16,-185845.65,-185.85,-110554.95,-110.55
2014,1221474.13,1221.47,1046495.04,1046.5,-23482.4,-23.48,-251070.22,-251.07,-271541.92,-271.54
2015,1249103.69,1249.1,1164921.66,1164.92,-120502.23,-120.5,-397240.42,-397.24,-513896.0,-513.9
2016,1315985.27,1315.99,1250425.58,1250.43,-161275.62,-161.28,-318362.14,-318.36,-477835.5,-477.84
2017,1383653.15,1383.65,1279579.29,1279.58,-124261.49,-124.26,-340907.29,-340.91,-459349.5,-459.35
2018,1488999.21,1489.0,1352496.82,1352.5,-120221.28,-120.22,-310307.13,-310.31,-426474.5,-426.47
2019,1635607.86,1635.61,1442341.84,1442.34,-95064.75,-95.06,-310115.06,-310.12,-399013.97,-399.01
2020,1468096.14,1468.1,1947552.91,1947.55,-743254.82,-743.25,-266657.22,-266.66,-1011923.09,-1011.92
2021,1932649.68,1932.65,1614170.78,1614.17,-35067.93,-35.07,-407282.24,-407.28,-443154.41,-443.15
2022,2313305.43,2313.31,1809693.09,1809.69,46408.46,46.41,-503234.4,-503.23,-448287.73,-448.29
2023,2353432.24,2353.43,2129922.54,2129.92,-228499.38,-228.5,-614548.09,-614.55,-879080.85,-879.08
2024,2679441.61,2679.44,2204711.29,2204.71,-42923.69,-42.92,-855206.35,-855.21,-900570.68,-900.57
2025,2902274.56,2902.27,2394249.61,2394.25,-61694.31,-61.69,-891879.89,-891.88,-950566.99,-950.57
