ano,receita_total_R$mi,receita_total_R$bi,despesa_total_R$mi,despesa_total_R$bi,resultado_primario_R$mi,resultado_primario_R$bi,juros_nominais_R$mi,juros_nominais_R$bi,resultado_nominal_R$mi,resultado_nominal_R$bi
2001,1181277.99,1181.28,896235.75,896.24,96767.17,96.77,-205596.6,-205.6,-107463.95,-107.46
2002,1288111.7,1288.11,948633.53,948.63,129742.38,129.74,-170339.85,-170.34,-38855.59,-38.86
2003,1251041.79,1251.04,911913.63,911.91,138916.88,138.92,-355233.32,-355.23,-217411.3,-217.41
2004,1379698.92,1379.7,1004370.09,1004.37,164250.63,164.25,-261613.22,-261.61,-87279.31,-87.28
2005,1503414.26,1503.41,1092474.16,1092.47,163652.12,163.65,-397870.24,-397.87,-224633.05,-224.63
2006,1606233.13,1606.23,1194015.29,1194.02,144853.34,144.85,-372890.32,-372.89,-220386.91,-220.39
2007,1764948.21,1764.95,1308110.01,1308.11,165891.77,165.89,-340442.34,-340.44,-169415.21,-169.42
2008,1933599.02,1933.6,1393308.08,1393.31,196184.57,196.18,-260354.27,-260.35,-64470.09,-64.47
2009,1900257.05,1900.26,1490482.62,1490.48,101531.17,101.53,-385999.82,-386.0,-276617.04,-276.62
2010,2250650.1,2250.65,1733272.04,1733.27,190580.05,190.58,-305454.7,-305.45,-112911.23,-112.91
2011,2272716.44,2272.72,1685489.98,1685.49,212234.32,212.23,-415318.08,-415.32,-200521.02,-200.52
2012,2338833.07,2338.83,1779362.61,1779.36,185414.51,185.41,-321951.16,-321.95,-134109.27,-134.11
2013,2420976.89,2420.98,1899473.1,1899.47,147707.38,147.71,-381790.65,-381.79,-227659.17,-227.66
2014,2360994.76,2360.99,2021208.42,2021.21,-43955.9,-43.96,-483075.6,-483.08,-521227.67,-521.23
2015,2215774.22,2215.77,2058922.97,2058.92,-206538.46,-206.54,-704678.17,-704.68,-904370.92,-904.37
2016,2145846.5,2145.85,2036756.2,2036.76,-260199.8,-260.2,-518112.71,-518.11,-775028.26,-775.03
2017,2179583.42,2179.58,2015319.36,2015.32,-195529.9,-195.53,-537296.14,-537.3,-723495.99,-723.5
2018,2263843.97,2263.84,2054826.79,2054.83,-181319.32,-181.32,-472174.67,-472.17,-647253.12,-647.25
2019,2394509.77,2394.51,2110636.67,2110.64,-138295.81,-138.3,-454445.17,-454.45,-583545.5,-583.55
2020,2080726.39,2080.73,2766884.27,2766.88,-1060258.55,-1060.26,-379093.34,-379.09,-1442132.41,-1442.13
2021,2530362.87,2530.36,2114816.75,2114.82,-47400.49,-47.4,-529981.86,-529.98,-578453.58,-578.45
2022,2775935.89,2775.94,2169295.6,2169.3,58203.53,58.2,-600984.96,-600.98,-532547.62,-532.55
2023,2699749.03,2699.75,2439374.93,2439.37,-258079.68,-258.08,-704761.48,-704.76,-1003761.71,-1003.76
2024,2944064.99,2944.06,2422558.95,2422.56,-47239.03,-47.24,-938767.43,-938.77,-988702.32,-988.7
2025,3037792.19,3037.79,2504168.22,2504.17,-62515.81,-62.52,-931329.78,-931.33,-990776.07,-990.78
