segmento,modalidade_ifdata,rank,instituicao,cod_inst,cnpj_lider,saldo,modalidade_olinda,if_olinda,taxa_aa
PF,Cartão de Crédito,1,ITAU - PRUDENCIAL,C0080099,60872504,151108461131.36,Cartão de crédito - rotativo total - Prefixado,BANCO INVESTCRED UNIBANCO S.A. / FIN. ITAU CBD CFI / ITAÚ UNIBANCO HOLDING S.A. / LUIZACRED S.A. SCFI,518.8199999999999
PF,Cartão de Crédito,1,ITAU - PRUDENCIAL,C0080099,60872504,151108461131.36,Cartão de crédito - parcelado - Prefixado,BANCO INVESTCRED UNIBANCO S.A. / FIN. ITAU CBD CFI / ITAÚ UNIBANCO HOLDING S.A. / LUIZACRED S.A. SCFI,256.205
PF,Cartão de Crédito,2,NU PAGAMENTOS - PRUDENCIAL,C0084693,18236120,115962031368.01,Cartão de crédito - rotativo total - Prefixado,NU FINANCEIRA S.A. CFI,303.57
PF,Cartão de Crédito,2,NU PAGAMENTOS - PRUDENCIAL,C0084693,18236120,115962031368.01,Cartão de crédito - parcelado - Prefixado,NU FINANCEIRA S.A. CFI,180.92
PF,Cartão de Crédito,3,BRADESCO - PRUDENCIAL,C0080075,60746948,78685325374.34,Cartão de crédito - rotativo total - Prefixado,BANCO BRADESCARD / BANCO DIGIO / BCO BRADESCO S.A.,640.06
PF,Cartão de Crédito,3,BRADESCO - PRUDENCIAL,C0080075,60746948,78685325374.34,Cartão de crédito - parcelado - Prefixado,BANCO BRADESCARD / BANCO DIGIO / BCO BRADESCO S.A.,155.68
PF,Cartão de Crédito,4,BB - PRUDENCIAL,C0080329,00000000,72999896820.66,Cartão de crédito - rotativo total - Prefixado,BCO DO BRASIL S.A.,343.32
PF,Cartão de Crédito,4,BB - PRUDENCIAL,C0080329,00000000,72999896820.66,Cartão de crédito - parcelado - Prefixado,BCO DO BRASIL S.A.,156.79
PF,Cartão de Crédito,5,SANTANDER - PRUDENCIAL,C0080185,90400888,63420553367.41,Cartão de crédito - rotativo total - Prefixado,BCO SANTANDER (BRASIL) S.A.,472.47
PF,Cartão de Crédito,5,SANTANDER - PRUDENCIAL,C0080185,90400888,63420553367.41,Cartão de crédito - parcelado - Prefixado,BCO SANTANDER (BRASIL) S.A.,205.92
PF,Empréstimo com Consignação em Folha,1,BB - PRUDENCIAL,C0080329,00000000,151959705593.45,Crédito pessoal consignado INSS - Prefixado,BCO DO BRASIL S.A.,24.18
PF,Empréstimo com Consignação em Folha,1,BB - PRUDENCIAL,C0080329,00000000,151959705593.45,Crédito pessoal consignado privado - Prefixado,BCO DO BRASIL S.A.,45.08
PF,Empréstimo com Consignação em Folha,1,BB - PRUDENCIAL,C0080329,00000000,151959705593.45,Crédito pessoal consignado público - Prefixado,BCO DO BRASIL S.A.,25.18
PF,Empréstimo com Consignação em Folha,2,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,C0080738,00360305,113284250675.33,Crédito pessoal consignado INSS - Prefixado,CAIXA ECONOMICA FEDERAL,24.46
PF,Empréstimo com Consignação em Folha,2,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,C0080738,00360305,113284250675.33,Crédito pessoal consignado privado - Prefixado,CAIXA ECONOMICA FEDERAL,43.23
PF,Empréstimo com Consignação em Folha,2,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,C0080738,00360305,113284250675.33,Crédito pessoal consignado público - Prefixado,CAIXA ECONOMICA FEDERAL,23.1
PF,Empréstimo com Consignação em Folha,3,BRADESCO - PRUDENCIAL,C0080075,60746948,107015998812.98,Crédito pessoal consignado INSS - Prefixado,BANCO DIGIO / BCO BRADESCO S.A.,24.805
PF,Empréstimo com Consignação em Folha,3,BRADESCO - PRUDENCIAL,C0080075,60746948,107015998812.98,Crédito pessoal consignado privado - Prefixado,BANCO DIGIO / BCO BRADESCO S.A.,39.42
PF,Empréstimo com Consignação em Folha,3,BRADESCO - PRUDENCIAL,C0080075,60746948,107015998812.98,Crédito pessoal consignado público - Prefixado,BANCO DIGIO / BCO BRADESCO S.A.,24.125
PF,Empréstimo com Consignação em Folha,4,ITAU - PRUDENCIAL,C0080099,60872504,78596500177.11,Crédito pessoal consignado INSS - Prefixado,ITAÚ UNIBANCO S.A.,24.11
PF,Empréstimo com Consignação em Folha,4,ITAU - PRUDENCIAL,C0080099,60872504,78596500177.11,Crédito pessoal consignado privado - Prefixado,ITAÚ UNIBANCO S.A.,49.61
PF,Empréstimo com Consignação em Folha,4,ITAU - PRUDENCIAL,C0080099,60872504,78596500177.11,Crédito pessoal consignado público - Prefixado,ITAÚ UNIBANCO S.A.,23.19
PF,Empréstimo com Consignação em Folha,5,SANTANDER - PRUDENCIAL,C0080185,90400888,57981039567.65,Crédito pessoal consignado INSS - Prefixado,BCO SANTANDER (BRASIL) S.A.,24.77
PF,Empréstimo com Consignação em Folha,5,SANTANDER - PRUDENCIAL,C0080185,90400888,57981039567.65,Crédito pessoal consignado privado - Prefixado,BCO SANTANDER (BRASIL) S.A.,38.41
PF,Empréstimo com Consignação em Folha,5,SANTANDER - PRUDENCIAL,C0080185,90400888,57981039567.65,Crédito pessoal consignado público - Prefixado,BCO SANTANDER (BRASIL) S.A.,24.33
PF,Empréstimo sem Consignação em Folha,1,NU PAGAMENTOS - PRUDENCIAL,C0084693,18236120,61784311784.06,Crédito pessoal não consignado - Prefixado,NU FINANCEIRA S.A. CFI,107.28
PF,Empréstimo sem Consignação em Folha,2,BB - PRUDENCIAL,C0080329,00000000,56793274118.56,Crédito pessoal não consignado - Prefixado,BCO DO BRASIL S.A.,60.64
PF,Empréstimo sem Consignação em Folha,2,BB - PRUDENCIAL,C0080329,00000000,56793274118.56,Cheque especial - Prefixado,BCO DO BRASIL S.A.,158.7
PF,Empréstimo sem Consignação em Folha,3,BRADESCO - PRUDENCIAL,C0080075,60746948,49244702798.04,Crédito pessoal não consignado - Prefixado,BANCO DIGIO / BCO BRADESCO FINANC. S.A. / BCO BRADESCO S.A.,38.25
PF,Empréstimo sem Consignação em Folha,3,BRADESCO - PRUDENCIAL,C0080075,60746948,49244702798.04,Cheque especial - Prefixado,BCO BRADESCO S.A.,151.51
PF,Empréstimo sem Consignação em Folha,4,ITAU - PRUDENCIAL,C0080099,60872504,31306779068.54,Crédito pessoal não consignado - Prefixado,ITAÚ UNIBANCO S.A.,61.29
PF,Empréstimo sem Consignação em Folha,4,ITAU - PRUDENCIAL,C0080099,60872504,31306779068.54,Cheque especial - Prefixado,ITAÚ UNIBANCO S.A.,157.45
PF,Empréstimo sem Consignação em Folha,5,SANTANDER - PRUDENCIAL,C0080185,90400888,14938291113.68,Crédito pessoal não consignado - Prefixado,BCO SANTANDER (BRASIL) S.A. / SANTANDER SCFI S.A.,41.95
PF,Empréstimo sem Consignação em Folha,5,SANTANDER - PRUDENCIAL,C0080185,90400888,14938291113.68,Cheque especial - Prefixado,BCO SANTANDER (BRASIL) S.A.,159.52
PF,Habitação,1,CAIXA ECONÔMICA FEDERAL - PRUDENCIAL,C0080738,00360305,942099973932.85,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,CAIXA ECONOMICA FEDERAL,12.12
PF,Habitação,2,ITAU - PRUDENCIAL,C0080099,60872504,146123302379.56,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,ITAÚ UNIBANCO S.A.,12.01
PF,Habitação,3,BRADESCO - PRUDENCIAL,C0080075,60746948,108284361121.78,Financiamento imobiliário com taxas de mercado - Pós-fixado referenciado em TR,BCO BRADESCO S.A.,12.29
