ano,anomes,cart_Banco do Brasil,cart_Itaú Unibanco,cart_Bradesco,cart_Caixa,cart_Santander,cart_top5,liv_Banco do Brasil,liv_Itaú Unibanco,liv_Bradesco,liv_Caixa,liv_Santander,liv_top5
2002,200212,63.051,62.773,50.715,23.536,32.189,232.263,,,,,,
2003,200312,77.653,64.517,54.202,26.146,43.304,265.822,,,,,,
2004,200412,88.554,79.263,62.696,30.163,50.885,311.561,,,,,,
2005,200512,101.781,100.647,80.916,38.553,68.339,390.237,,,,,,
2006,200612,133.141,128.362,95.959,47.264,87.158,491.884,,,,,,
2007,200712,160.700,175.926,131.263,57.391,109.873,635.152,,,,,,
2008,200812,224.518,242.117,173.268,81.837,138.920,860.661,,,,,,
2009,200912,279.960,246.753,190.971,126.576,141.460,985.720,,,,,,
2010,201012,329.985,298.424,230.430,178.515,165.275,1202.630,,,,,,
2011,201112,393.304,349.368,268.496,252.890,197.054,1461.113,,,,,,
2012,201212,497.242,369.526,290.657,361.239,211.952,1730.617,,,,,,
2013,201312,601.103,412.149,322.616,494.237,227.350,2057.456,,,,,,
2014,201412,667.973,451.704,346.303,605.023,245.373,2316.377,310.967,258.395,208.247,191.004,167.088,1135.702
2015,201512,717.879,477.943,367.016,679.487,260.652,2502.976,367.989,256.206,216.020,203.074,170.658,1213.948
2016,201612,654.008,498.307,392.373,709.289,256.680,2510.657,325.593,237.665,245.303,196.678,172.858,1178.097
2017,201712,632.446,506.019,370.305,706.276,272.267,2487.312,313.741,243.276,236.301,165.939,191.752,1151.009
2018,201812,640.225,532.474,407.285,694.519,304.756,2579.259,325.585,267.978,275.587,143.467,223.383,1236.000
2019,201912,621.378,583.012,453.399,693.724,351.626,2703.140,318.396,313.883,328.793,128.290,259.076,1348.438
2020,202012,681.744,710.541,509.309,787.422,411.674,3100.690,371.876,385.481,370.051,166.530,299.014,1592.950
2021,202112,784.951,819.065,608.765,867.646,462.172,3542.598,423.851,450.367,437.278,196.960,324.889,1833.345
2022,202212,891.402,906.186,656.430,1012.345,488.608,3954.970,476.965,497.530,479.164,235.804,336.409,2025.873
2023,202312,975.463,907.550,628.089,1119.740,511.874,4142.717,522.560,505.940,448.954,237.208,350.492,2065.153
2024,202412,1100.666,1023.068,718.319,1236.308,541.119,4619.480,647.164,896.784,573.341,242.524,456.368,2816.181
2025,202512,1116.280,1232.077,888.484,1315.148,553.946,5105.936,599.220,580.099,545.138,277.528,376.523,2378.509
2026,202603,1119.951,1221.120,896.216,1343.379,547.000,5127.667,609.239,577.279,558.189,282.189,372.843,2399.739
