SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_DILMA,QT_VOTOS_AECIO,QT_VOTOS_MARINA,QT_VOTOS_LUCIANA_GENRO,QT_VOTOS_EVERALDO,QT_VOTOS_EDUARDO_JORGE,QT_VOTOS_ZE_MARIA,QT_VOTOS_MAURO_IASI,QT_VOTOS_EYMAEL,QT_VOTOS_LEVY_FIDELIX,QT_VOTOS_RUI_COSTA_PIMENTA,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,1636,1637,111641,116109,167603,867,1203,597,112,68,282,639,14,4344,15539,399135
AL,6113,6113,703809,311830,356803,15236,8413,3552,1197,892,610,7069,125,71611,131942,1409536
AM,6530,6531,915299,326257,361632,15957,42697,4395,1353,545,621,10261,98,36069,77909,1679115
AP,1462,1462,199016,99125,77791,4008,5116,1254,1122,162,435,1549,21,5045,13473,389599
BA,31273,31273,4292850,1277512,1284711,55837,37194,15722,3508,2890,1828,15336,555,252761,580217,6987943
CE,19936,19936,3087658,677587,638614,52484,25749,14094,4661,1832,3193,15971,342,158513,328863,4522185
DF,6467,6467,363861,570494,565279,31435,10053,19478,1495,559,1295,15270,473,38453,61585,1579692
ES,7950,7950,653839,694085,567964,19016,16138,11875,1313,723,1133,9021,215,81555,95501,1975322
GO,13150,13150,1035911,1341320,771591,30411,19005,12259,1765,1256,1948,12393,301,116422,171478,3228160
MA,15465,15465,2187864,365655,535013,13100,22389,6965,4340,1151,2205,6707,158,76768,211993,3145547
MG,45777,45779,4830867,4417876,1555553,139889,67486,54483,8358,5469,5545,25939,1489,467167,612199,11112954
MS,5566,5566,507063,558826,257976,10708,6977,4093,977,390,478,4623,97,40125,52802,1352208
MT,6751,6751,616411,693755,220067,10093,9129,4128,474,529,470,4462,101,45585,82522,1559619
PA,16003,16004,2040981,1058334,627319,40353,43068,12260,3012,833,915,11501,207,84934,169255,3838783
PB,9526,9526,1166860,490962,393685,16847,12102,7791,1071,796,911,7539,247,95338,141385,2098811
PE,18797,18797,2127010,285315,2311491,40455,15691,13349,2760,1719,1266,11498,322,219853,275595,4810876
PI,7940,7940,1235337,242256,246271,10159,6284,4385,1456,487,752,2338,151,37307,114734,1749876
PR,25109,25109,1973421,3021988,861820,79267,40656,44755,4552,2409,4828,33612,560,221643,252367,6067868
RJ,32692,32692,2971736,2249662,2592292,227432,136163,68032,14430,8548,11754,65015,1450,466901,886966,8346514
RN,6962,6963,999625,330264,286301,20212,13316,5346,2830,641,929,5292,162,84980,186067,1664918
RO,3631,3631,345305,371937,86293,4664,12512,2368,429,208,634,3819,63,20625,37629,828232
RR,1060,1060,82942,109070,47087,2815,5194,780,209,71,515,1285,48,3750,8858,250016
RS,26447,26447,2752075,2639647,732828,143370,33053,43703,4083,2301,2255,17954,505,313664,295870,6371774
SC,14603,14604,1141102,1963772,476430,53532,23661,30239,3975,1413,2005,15774,390,150783,200263,3712293
SE,4760,4762,601740,248756,203390,12827,18776,3733,1703,764,431,3677,142,54110,90595,1095939
SP,88808,88808,5930661,10165921,5765598,554863,142842,236966,19129,10667,13510,136244,3971,1253070,1525503,22980372
ZZ,901,954,24353,65713,34527,3474,906,2067,648,261,281,436,73,4833,3929,132739
