SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_DILMA,QT_VOTOS_AECIO,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,1637,1637,138982,243677,3480,8234,382659
AL,6113,6113,941445,574322,25003,63302,1515767
AM,6530,6531,1033457,556545,27153,106262,1590002
AP,1462,1462,227509,142780,3183,15833,370289
BA,31272,31273,5059860,2153111,109113,333979,7212971
CE,19936,19936,3522884,1068169,69320,246882,4591053
DF,6467,6467,582354,946171,29171,103434,1528525
ES,7950,7950,912391,1065485,36418,63418,1977876
GO,13150,13150,1365964,1819139,56035,157761,3185103
MA,15464,15465,2475985,667823,34452,87584,3143808
MG,45779,45779,5981162,5432465,176052,427862,11413627
MS,5563,5566,590965,762797,15635,28486,1353762
MT,6751,6751,717412,865610,14726,34888,1583022
PA,15998,16004,2104151,1561066,42609,171106,3665217
PB,9526,9526,1381305,768475,43722,132060,2149780
PE,18797,18797,3438829,1460279,102054,225837,4899108
PI,7940,7940,1385265,384157,15919,61345,1769422
PR,25109,25109,2409677,3769054,81356,157545,6178731
RJ,32692,32692,4489860,3685122,261629,990434,8174982
RN,6963,6963,1201768,516487,34826,163332,1718255
RO,3631,3631,364213,442698,10005,35822,806911
RR,1060,1060,97425,139752,2270,11166,237177
RS,26447,26447,2998545,3455214,146601,263969,6453759
SC,14604,14604,1354775,2472142,50947,115084,3826917
SE,4759,4762,772482,380654,19090,50850,1153136
SP,88808,88808,8492620,15311664,501035,1137129,23804284
TO,3516,3517,428774,292176,6856,22649,720950
ZZ,909,954,31059,104121,3159,3534,135180
