SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_BOLSONARO,QT_VOTOS_HADDAD,QT_VOTOS_CIRO,QT_VOTOS_ALCKMIN,QT_VOTOS_MARINA,QT_VOTOS_BOULOS,QT_VOTOS_MEIRELLES,QT_VOTOS_DACIOLO,QT_VOTOS_ALVARO_DIAS,QT_VOTOS_AMOEDO,QT_VOTOS_VERA,QT_VOTOS_EYMAEL,QT_VOTOS_JOAO_GOULART,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,1924,1924,262508,78170,21809,33115,10557,1642,6458,3564,1531,1990,80,241,113,5499,16357,421778
AL,6387,6387,528355,687247,155457,58580,15843,8863,43895,19106,5128,11697,744,410,421,46692,111065,1535746
AM,7017,7017,805902,746998,138997,29190,29196,11090,23420,31107,8589,26888,835,1091,288,29010,76277,1853591
AP,1632,1632,166935,134287,50553,19241,9008,5432,5611,8882,1435,7490,560,247,76,4739,12124,409757
BA,31185,31192,1725140,4441955,693273,172900,61481,31499,33109,138234,20838,43800,2240,2087,1989,169806,697750,7369291
CE,21449,21449,1061075,1616492,1998597,53157,18071,15103,27902,54786,8142,23198,1563,1261,808,111881,252676,4880155
DF,6732,6732,936494,190508,266272,53640,32115,13177,26939,26925,11138,44879,908,822,700,31995,59212,1604517
ES,8725,8725,1122131,495868,195553,79049,26529,8358,22232,41734,11352,44306,711,792,533,61910,113201,2049148
GO,13995,13995,1868686,713535,280864,146440,28783,13806,90778,33349,15628,70023,1011,1291,595,81276,208869,3264789
MA,15826,15830,817511,2062592,282467,50653,23634,16016,52212,34204,6320,17232,2842,776,412,60408,177943,3366871
MG,48166,48166,5308047,3037957,1278819,506590,97410,50587,111999,110054,46716,426334,6160,3643,3398,381959,845008,10987714
RR,1172,1172,174306,49406,14838,19231,4098,2443,3426,2928,1472,4309,146,116,69,2833,7529,276788
