SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_BOLSONARO,QT_VOTOS_HADDAD,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,1924,1924,294899,86977,6594,10659,381876
AL,6387,6387,610093,912034,25919,96413,1522127
AM,7017,7017,885401,875845,29353,118680,1761246
AP,1632,1632,185096,183616,6589,19638,368712
BA,31190,31192,2060382,5484901,107203,547841,7545283
CE,21449,21449,1384591,3407526,78178,288048,4792117
DF,6732,6732,1080411,463340,44657,102988,1543751
ES,8724,8725,1276611,747768,51580,102536,2024379
GO,13995,13995,2124739,1118060,59568,189457,3242799
MA,15830,15830,886565,2428913,42274,119765,3315478
