SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_BOLSONARO,QT_VOTOS_HADDAD,QT_VOTOS_CIRO,QT_VOTOS_ALCKMIN,QT_VOTOS_MARINA,QT_VOTOS_BOULOS,QT_VOTOS_MEIRELLES,QT_VOTOS_DACIOLO,QT_VOTOS_ALVARO_DIAS,QT_VOTOS_AMOEDO,QT_VOTOS_VERA,QT_VOTOS_EYMAEL,QT_VOTOS_JOAO_GOULART,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,0,1924,262508,78170,21809,33115,10557,1642,6458,3564,1531,1990,80,241,113,5499,16357,421778
AL,0,6387,528355,687247,155457,58580,15843,8863,43895,19106,5128,11697,744,410,421,46692,111065,1535746
AM,0,7017,805902,746998,138997,29190,29196,11090,23420,31107,8589,26888,835,1091,288,29010,76277,1853591
AP,0,1632,166935,134287,50553,19241,9008,5432,5611,8882,1435,7490,560,247,76,4739,12124,409757
BA,0,31192,1725140,4441955,693273,172900,61481,31499,33109,138234,20838,43800,2240,2087,1989,169806,697750,7369291
CE,0,21449,1061075,1616492,1998597,53157,18071,15103,27902,54786,8142,23198,1563,1261,808,111881,252676,4880155
DF,0,6732,936494,190508,266272,53640,32115,13177,26939,26925,11138,44879,908,822,700,31995,59212,1604517
ES,0,8725,1122131,495868,195553,79049,26529,8358,22232,41734,11352,44306,711,792,533,61910,113201,2049148
GO,0,13995,1868686,713535,280864,146440,28783,13806,90778,33349,15628,70023,1011,1291,595,81276,208869,3264789
MA,0,15830,817531,2062638,282472,50654,23635,16016,52214,34204,6320,17233,2842,776,412,60409,177960,3366947
MG,0,48166,5308047,3037957,1278819,506590,97410,50587,111999,110054,46716,426334,6160,3643,3398,381959,845008,10987714
MS,0,6529,769116,333407,112296,90897,12279,6174,18154,14337,12527,26491,623,325,319,30951,51412,1396945
MT,0,7247,981119,404604,91344,67498,12487,6858,16735,12907,13086,25971,610,598,319,33540,90262,1634136
PA,0,17286,1499294,1714822,415593,229122,53682,32417,100724,51547,12407,28314,2391,1413,1009,70590,188473,4142735
PB,0,9955,677718,984398,362775,51334,12508,6901,21900,23280,6078,16859,819,526,448,67039,204291,2165544
PE,0,19797,1444685,2309104,640860,77987,46524,20688,32088,93330,9853,46153,2021,1046,877,153557,514413,4725216
PI,0,8930,346944,1172147,211240,47974,13313,6145,16761,12212,5218,15308,850,551,280,32809,116180,1848943
PR,0,26137,3496448,1210974,510541,220744,47335,27091,73795,39955,322416,190686,2246,1582,1876,165991,308785,6145689
RJ,0,33901,5107735,1255425,1300292,208325,130794,57846,77333,211444,41544,139208,6005,4636,2806,282605,653582,8543393
RN,0,7389,541448,738165,399766,40405,10690,6975,11480,20575,5148,15570,1034,486,511,44605,130877,1792253
RO,0,4181,538311,176107,52118,37048,7351,5368,12829,9816,8738,16329,464,272,150,15329,33110,864901
RR,0,1172,174306,49406,14838,19231,4098,2443,3426,2928,1472,4309,146,116,69,2833,7529,276788
RS,0,27274,3353623,1453291,724429,350800,50007,41736,124713,35458,44890,186087,3086,1525,2791,235396,230716,6372436
SC,0,15562,2603665,598578,264312,154068,25813,21484,51670,22392,51771,158562,1686,859,923,103220,187275,3955783
SE,0,5137,310310,571234,148526,45978,15829,7934,8784,14069,4483,9192,3093,231,717,32124,107796,1140380
SP,0,96328,12378012,3833982,2650440,2224049,262050,187451,267725,274672,177949,1062118,12434,14462,7435,837211,1740759,23352779
TO,0,3832,337782,311212,54262,21666,7229,2764,5324,6284,2471,7113,251,242,160,8915,65924,756760
ZZ,0,744,113690,19540,28073,6668,4961,1274,952,1172,2733,13637,349,179,153,5046,4339,193381
