SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_BOLSONARO,QT_VOTOS_HADDAD,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,0,1924,294899,86977,6594,10659,381876
AL,0,6387,610093,912034,25919,96413,1522127
AM,0,7017,885401,875845,29353,118680,1761246
AP,0,1632,185096,183616,6589,19638,368712
BA,0,31192,2060382,5484901,107203,547841,7545283
CE,0,21449,1384591,3407526,78178,288048,4792117
DF,0,6732,1080411,463340,44657,102988,1543751
ES,0,8724,1276611,747768,51580,102536,2024379
GO,0,13995,2124739,1118060,59568,189457,3242799
MA,0,15830,886565,2428913,42274,119765,3315478
MG,0,48166,6100107,4382952,309049,1275394,10483059
MS,0,6529,872049,465025,27014,85889,1337074
MT,0,7247,1085824,549001,23071,60981,1634825
PA,0,17286,1742188,2112769,60908,302178,3854957
PB,0,9955,782143,1451293,36933,136900,2233436
PE,0,19797,1661163,3297944,76515,341822,4959107
PI,0,8930,422095,1417113,20914,86849,1839208
PR,0,26136,4224416,1948790,132345,290303,6173206
RJ,0,33901,5669059,2673386,219829,859238,8342445
RN,0,7389,652562,1131027,29990,129752,1783589
RO,0,4181,594968,229343,13856,44054,824311
RR,0,1172,183268,72872,3700,10811,256140
RS,0,27274,3893737,2263171,208909,411601,6156908
SC,0,15562,2966242,940724,88680,221888,3906966
SE,0,5137,364860,759061,21087,119746,1123921
SP,0,96328,15306023,7212132,746949,2581039,22518155
TO,0,3832,356684,371593,7688,45111,728277
ZZ,0,744,131671,53730,7241,8524,185401
