SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,COMPARAVEL,QT_URNAS_PRE2020,QT_URNAS_UE2020,QT_VOTOS_LULA_PRE2020,QT_VOTOS_BOLSONARO_PRE2020,QT_VOTOS_VALIDOS_PRE2020,PCT_LULA_PRE2020,PCT_BOLSONARO_PRE2020,VENCEDOR_VOTOS_PRE2020,QT_VITORIAS_LULA_PRE2020,QT_VITORIAS_BOLSONARO_PRE2020,PCT_VITORIAS_LULA_PRE2020,PCT_VITORIAS_BOLSONARO_PRE2020,QT_VOTOS_LULA_UE2020,QT_VOTOS_BOLSONARO_UE2020,QT_VOTOS_VALIDOS_UE2020,PCT_LULA_UE2020,PCT_BOLSONARO_UE2020,VENCEDOR_VOTOS_UE2020,QT_VITORIAS_LULA_UE2020,QT_VITORIAS_BOLSONARO_UE2020,PCT_VITORIAS_LULA_UE2020,PCT_VITORIAS_BOLSONARO_UE2020,DIF_PCT_LULA,DIF_PCT_BOLSONARO,DIF_PCT_VITORIAS_LULA,DIF_PCT_VITORIAS_BOLSONARO,INVERTEU_VENCEDOR_VOTOS
AC,1120,ACRELÂNDIA,N,42,0,1460,5317,6777,21.54,78.46,Bolsonaro,0,42,0.0,100.0,0,0,0,,,,0,0,,,,,,,N
AC,1570,ASSIS BRASIL,N,23,0,1895,2717,4612,41.09,58.91,Bolsonaro,5,18,21.74,78.26,0,0,0,,,,0,0,,,,,,,N
AC,1058,BRASILÉIA,N,71,0,3958,9593,13551,29.21,70.79,Bolsonaro,2,69,2.82,97.18,0,0,0,,,,0,0,,,,,,,N
AC,1007,BUJARI,N,35,0,1958,4693,6651,29.44,70.56,Bolsonaro,0,35,0.0,100.0,0,0,0,,,,0,0,,,,,,,N
AC,1015,CAPIXABA,N,31,0,1497,3963,5460,27.42,72.58,Bolsonaro,0,31,0.0,100.0,0,0,0,,,,0,0,,,,,,,N
AC,1074,CRUZEIRO DO SUL,N,229,0,9733,31936,41669,23.36,76.64,Bolsonaro,2,227,0.87,99.13,0,0,0,,,,0,0,,,,,,,N
AC,1112,EPITACIOLÂNDIA,N,47,0,2464,6729,9193,26.8,73.2,Bolsonaro,1,46,2.13,97.87,0,0,0,,,,0,0,,,,,,,N
AC,1139,FEIJÓ,N,85,0,7113,6383,13496,52.7,47.3,Lula,42,40,49.41,47.06,0,0,0,,,,0,0,,,,,,,N
AC,1104,JORDÃO,N,21,0,1980,1433,3413,58.01,41.99,Lula,14,7,66.67,33.33,0,0,0,,,,0,0,,,,,,,N
AC,1554,MANOEL URBANO,N,27,0,2047,2889,4936,41.47,58.53,Bolsonaro,1,26,3.7,96.3,0,0,0,,,,0,0,,,,,,,N
AC,1040,MARECHAL THAUMATURGO,N,42,0,2742,3710,6452,42.5,57.5,Bolsonaro,9,33,21.43,78.57,0,0,0,,,,0,0,,,,,,,N
AC,1090,MÂNCIO LIMA,N,53,0,2708,6331,9039,29.96,70.04,Bolsonaro,4,49,7.55,92.45,0,0,0,,,,0,0,,,,,,,N
AC,1511,PLÁCIDO DE CASTRO,N,53,0,2306,6176,8482,27.19,72.81,Bolsonaro,0,53,0.0,100.0,0,0,0,,,,0,0,,,,,,,N
AC,1023,PORTO ACRE,N,53,0,2317,7384,9701,23.88,76.12,Bolsonaro,1,52,1.89,98.11,0,0,0,,,,0,0,,,,,,,N
