SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_LULA,QT_VOTOS_BOLSONARO,QT_VOTOS_TEBET,QT_VOTOS_CIRO,QT_VOTOS_SORAYA,QT_VOTOS_FELIPE_DAVILA,QT_VOTOS_PADRE_KELMON,QT_VOTOS_LEO_PERICLES,QT_VOTOS_SOFIA_MANZANO,QT_VOTOS_VERA,QT_VOTOS_EYMAEL,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,2124,2124,129022,275582,20122,12314,2444,825,279,64,144,77,44,4664,10322,440917
AL,6626,6626,974156,621515,67411,43542,10683,2450,3020,482,494,325,139,28792,52962,1724217
AM,7452,7453,1019684,880198,87060,44527,17002,5212,1373,484,476,393,267,19570,37525,2056676
AP,1740,1740,197382,187621,27497,14670,2955,1236,359,105,130,144,62,3289,7392,432161
BA,34424,34424,5873081,2047599,197305,217224,65046,11605,4898,1926,2423,1148,753,123450,328383,8423008
CE,22796,22796,3578355,1377827,66214,369222,24497,7030,2278,1129,1579,717,416,72246,127100,5429264
DF,6748,6748,649534,910397,105377,74308,7935,10342,1554,1262,894,454,518,25162,32163,1762575
ES,9239,9239,897348,1160030,85325,56221,9944,8341,1752,672,683,437,377,39541,55218,2221130
GO,14620,14620,1454723,1920203,170742,90695,28570,11145,2303,1120,1073,498,397,48539,82589,3681469
MA,16423,16423,2603454,983861,78254,96095,8709,4368,4357,630,727,799,391,35605,103185,3781645
MG,49979,49981,5802571,5239264,500658,310324,44109,98526,7309,5241,4431,2612,1588,229425,409170,12016633
MS,6912,6912,588323,794206,79719,29314,8082,5193,1057,350,371,222,152,17651,30509,1506989
MT,7651,7652,633748,1102866,55989,29437,12715,4371,2545,366,406,250,195,18680,30612,1842888
PA,18235,18235,2443730,1884673,204075,116057,19297,6130,2783,1004,920,918,349,40902,68473,4679936
PB,9602,9602,1554868,717416,57154,76225,8713,3996,1489,578,634,332,283,41922,93869,2421688
PE,20572,20572,3558322,1630938,96570,130015,20686,8633,2991,1214,1419,765,456,90092,196270,5452009
PI,8963,8963,1518008,406897,42179,59321,13053,2562,1122,350,427,317,150,19477,51782,2044386
PR,25721,25721,2363492,3628612,309685,180599,34125,37983,5161,2089,2744,1170,1104,108894,152885,6566764
RJ,34068,34068,3847143,4831246,365969,301489,44252,43091,7760,7080,4458,2643,1546,159773,293013,9456677
RN,7673,7674,1264179,622731,38633,71740,4326,2937,860,587,606,422,243,26151,57189,2007264
RO,4198,4198,261749,581306,31217,19353,5777,2398,749,204,232,139,111,9350,14242,903235
RR,1268,1268,68760,207587,12956,6709,1138,794,190,59,64,75,37,2255,4780,298369
RS,27200,27201,2806672,3245023,317957,190945,25207,40601,4394,2332,2399,1337,885,129345,122919,6637752
SC,16242,16242,1279216,2694406,191310,88672,20132,48980,3369,1682,1812,838,567,66871,89619,4330984
SE,5498,5498,828716,378610,42073,40247,4416,2194,631,396,364,589,196,20224,46068,1298432
SP,101072,101073,10490032,12239989,1625596,898540,153601,183719,15784,21665,14943,7450,5015,571257,962123,25656334
TO,3957,3957,434303,379194,25209,18141,2788,1266,418,129,149,90,105,6795,22862,861792
ZZ,924,1018,138933,122548,13167,13341,753,3780,344,319,618,464,258,4857,4650,294525
