SG_UF,QT_URNAS,QT_SECOES,QT_VOTOS_LULA,QT_VOTOS_BOLSONARO,QT_VOTOS_BRANCO,QT_VOTOS_NULO,QT_VOTOS_VALIDOS
AC,2124,2124,121566,287750,4722,6722,409316
AL,6626,6626,976831,687827,23376,96954,1664658
AM,7453,7453,1004991,961741,21594,79549,1966732
AP,1740,1740,189918,200547,4018,6200,390465
BA,34424,34424,6097815,2357028,121221,395664,8454843
CE,22796,22796,3807891,1634477,67045,139985,5442368
DF,6748,6748,729295,1041331,29663,38203,1770626
ES,9239,9239,926767,1282145,37214,76143,2208912
GO,14619,14620,1542115,2193041,43610,81585,3735156
MA,16423,16423,2668425,1082749,35807,67823,3751174
MG,49981,49981,6190960,6141310,183206,350808,12332270
MS,6912,6912,599547,880606,18062,51658,1480153
MT,7652,7652,652786,1216730,16317,27398,1869516
PA,18231,18235,2509084,2073895,43602,75159,4582979
PB,9602,9602,1601953,802502,35467,134293,2404455
PE,20572,20572,3640933,1798832,74435,286535,5439765
PI,8963,8963,1551383,467065,19027,51055,2018448
PR,25721,25721,2506605,4159343,95555,138917,6665948
RJ,34068,34068,4156217,5403894,126645,287066,9560111
RN,7674,7674,1326785,711381,20585,50048,2038166
RO,4198,4198,262904,633236,9428,20949,896140
RR,1268,1268,67128,213518,2173,3450,280646
RS,27201,27201,2891851,3733185,122456,183360,6625036
SC,16241,16242,1351918,3047630,56475,86794,4399548
SE,5498,5498,862951,421086,18240,53190,1284037
SP,101073,101073,11519882,14216587,526677,1117345,25736469
TO,3957,3957,434593,411654,7158,17833,846247
ZZ,988,1018,152905,145264,5900,6079,298169
