REGIAO,SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,CAND_PT_2014,CAND_OPP_2014,QT_SECOES_2014,QT_VOTOS_PT_2014,QT_VOTOS_OPP_2014,QT_VOTOS_VALIDOS_2014,PCT_PT_2014,PCT_OPP_2014,VENCEDOR_2014,LADO_2014,CAND_PT_2018,CAND_OPP_2018,QT_SECOES_2018,QT_VOTOS_PT_2018,QT_VOTOS_OPP_2018,QT_VOTOS_VALIDOS_2018,PCT_PT_2018,PCT_OPP_2018,VENCEDOR_2018,LADO_2018,CAND_PT_2022,CAND_OPP_2022,QT_SECOES_2022,QT_VOTOS_PT_2022,QT_VOTOS_OPP_2022,QT_VOTOS_VALIDOS_2022,PCT_PT_2022,PCT_OPP_2022,VENCEDOR_2022,LADO_2022,DIF_PCT_PT_2014_2018,DIF_PCT_PT_2018_2022,DIF_PCT_PT_2014_2022,INVERTEU_2014_2018,INVERTEU_2018_2022,INVERTEU_2014_2022,COMPARAVEL
Centro-Oeste,DF,97012,BRASÍLIA,Dilma,Aécio,6467,582354.0,946171.0,1528525.0,38.1,61.9,Aécio,OPP,Haddad,Bolsonaro,6732,463340.0,1080411.0,1543751.0,30.01,69.99,Bolsonaro,OPP,Lula,Bolsonaro,6748,729295.0,1041331.0,1770626.0,41.19,58.81,Bolsonaro,OPP,-8.09,11.18,3.09,N,N,N,S
Centro-Oeste,GO,92010,ABADIÂNIA,Dilma,Aécio,32,2060.0,5063.0,7123.0,28.92,71.08,Aécio,OPP,Haddad,Bolsonaro,33,1781.0,5204.0,6985.0,25.5,74.5,Bolsonaro,OPP,Lula,Bolsonaro,34,2774.0,5759.0,8533.0,32.51,67.49,Bolsonaro,OPP,-3.42,7.01,3.59,N,N,N,S
Centro-Oeste,GO,92029,BONFINÓPOLIS,Dilma,Aécio,19,1727.0,2710.0,4437.0,38.92,61.08,Aécio,OPP,Haddad,Bolsonaro,19,1677.0,2563.0,4240.0,39.55,60.45,Bolsonaro,OPP,Lula,Bolsonaro,20,2608.0,2720.0,5328.0,48.95,51.05,Bolsonaro,OPP,0.63,9.4,10.03,N,N,N,S
Centro-Oeste,GO,92037,ÁGUA LIMPA,Dilma,Aécio,10,840.0,749.0,1589.0,52.86,47.14,Dilma,PT,Haddad,Bolsonaro,10,580.0,859.0,1439.0,40.31,59.69,Bolsonaro,OPP,Lula,Bolsonaro,8,787.0,954.0,1741.0,45.2,54.8,Bolsonaro,OPP,-12.55,4.89,-7.66,S,N,S,S
Centro-Oeste,GO,92053,ALEXÂNIA,Dilma,Aécio,53,4516.0,8640.0,13156.0,34.33,65.67,Aécio,OPP,Haddad,Bolsonaro,69,3979.0,9723.0,13702.0,29.04,70.96,Bolsonaro,OPP,Lula,Bolsonaro,68,5201.0,10643.0,15844.0,32.83,67.17,Bolsonaro,OPP,-5.29,3.79,-1.5,N,N,N,S
Centro-Oeste,GO,92061,CAMPOS VERDES,Dilma,Aécio,13,2007.0,812.0,2819.0,71.2,28.8,Dilma,PT,Haddad,Bolsonaro,11,1865.0,704.0,2569.0,72.6,27.4,Haddad,PT,Lula,Bolsonaro,14,1927.0,961.0,2888.0,66.72,33.28,Lula,PT,1.4,-5.88,-4.48,N,N,N,S
Centro-Oeste,GO,92096,ALOÂNDIA,Dilma,Aécio,6,786.0,708.0,1494.0,52.61,47.39,Dilma,PT,Haddad,Bolsonaro,6,506.0,801.0,1307.0,38.71,61.29,Bolsonaro,OPP,Lula,Bolsonaro,11,748.0,864.0,1612.0,46.4,53.6,Bolsonaro,OPP,-13.9,7.69,-6.21,S,N,S,S
Centro-Oeste,GO,92100,CEZARINA,Dilma,Aécio,23,2769.0,2636.0,5405.0,51.23,48.77,Dilma,PT,Haddad,Bolsonaro,24,2025.0,2979.0,5004.0,40.47,59.53,Bolsonaro,OPP,Lula,Bolsonaro,25,2356.0,3120.0,5476.0,43.02,56.98,Bolsonaro,OPP,-10.76,2.55,-8.21,S,N,S,S
Centro-Oeste,GO,92118,ALTO PARAÍSO DE GOIÁS,Dilma,Aécio,16,1557.0,1573.0,3130.0,49.74,50.26,Aécio,OPP,Haddad,Bolsonaro,19,2379.0,1454.0,3833.0,62.07,37.93,Haddad,PT,Lula,Bolsonaro,21,3188.0,1955.0,5143.0,61.99,38.01,Lula,PT,12.33,-0.08,12.25,S,N,S,S
Centro-Oeste,GO,92126,COLINAS DO SUL,Dilma,Aécio,10,1483.0,535.0,2018.0,73.49,26.51,Dilma,PT,Haddad,Bolsonaro,10,1424.0,539.0,1963.0,72.54,27.46,Haddad,PT,Lula,Bolsonaro,11,1553.0,761.0,2314.0,67.11,32.89,Lula,PT,-0.95,-5.43,-6.38,N,N,N,S
