REGIAO,SG_UF,CAND_PT_2014,CAND_OPP_2014,QT_SECOES_2014,QT_VOTOS_PT_2014,QT_VOTOS_OPP_2014,QT_VOTOS_VALIDOS_2014,PCT_PT_2014,PCT_OPP_2014,VENCEDOR_2014,LADO_2014,CAND_PT_2018,CAND_OPP_2018,QT_SECOES_2018,QT_VOTOS_PT_2018,QT_VOTOS_OPP_2018,QT_VOTOS_VALIDOS_2018,PCT_PT_2018,PCT_OPP_2018,VENCEDOR_2018,LADO_2018,CAND_PT_2022,CAND_OPP_2022,QT_SECOES_2022,QT_VOTOS_PT_2022,QT_VOTOS_OPP_2022,QT_VOTOS_VALIDOS_2022,PCT_PT_2022,PCT_OPP_2022,VENCEDOR_2022,LADO_2022,DIF_PCT_PT_2014_2018,DIF_PCT_PT_2018_2022,DIF_PCT_PT_2014_2022,INVERTEU_2014_2018,INVERTEU_2018_2022,INVERTEU_2014_2022,COMPARAVEL
Centro-Oeste,DF,Dilma,Aécio,6467,582354,946171,1528525,38.1,61.9,Aécio,OPP,Haddad,Bolsonaro,6732,463340,1080411,1543751,30.01,69.99,Bolsonaro,OPP,Lula,Bolsonaro,6748,729295,1041331,1770626,41.19,58.81,Bolsonaro,OPP,-8.09,11.18,3.09,N,N,N,S
Centro-Oeste,GO,Dilma,Aécio,13150,1365964,1819139,3185103,42.89,57.11,Aécio,OPP,Haddad,Bolsonaro,13995,1118060,2124739,3242799,34.48,65.52,Bolsonaro,OPP,Lula,Bolsonaro,14620,1542115,2193041,3735156,41.29,58.71,Bolsonaro,OPP,-8.41,6.81,-1.6,N,N,N,S
Centro-Oeste,MS,Dilma,Aécio,5566,590965,762797,1353762,43.65,56.35,Aécio,OPP,Haddad,Bolsonaro,6529,465025,872049,1337074,34.78,65.22,Bolsonaro,OPP,Lula,Bolsonaro,6912,599547,880606,1480153,40.51,59.49,Bolsonaro,OPP,-8.87,5.73,-3.14,N,N,N,S
Centro-Oeste,MT,Dilma,Aécio,6751,717412,865610,1583022,45.32,54.68,Aécio,OPP,Haddad,Bolsonaro,7247,549001,1085824,1634825,33.58,66.42,Bolsonaro,OPP,Lula,Bolsonaro,7652,652786,1216730,1869516,34.92,65.08,Bolsonaro,OPP,-11.74,1.34,-10.4,N,N,N,S
Exterior,ZZ,Dilma,Aécio,954,31059,104121,135180,22.98,77.02,Aécio,OPP,Haddad,Bolsonaro,744,53730,131671,185401,28.98,71.02,Bolsonaro,OPP,Lula,Bolsonaro,1018,152905,145264,298169,51.28,48.72,Lula,PT,6.0,22.3,28.3,N,S,S,S
Nordeste,AL,Dilma,Aécio,6113,941445,574322,1515767,62.11,37.89,Dilma,PT,Haddad,Bolsonaro,6387,912034,610093,1522127,59.92,40.08,Haddad,PT,Lula,Bolsonaro,6626,976831,687827,1664658,58.68,41.32,Lula,PT,-2.19,-1.24,-3.43,N,N,N,S
Nordeste,BA,Dilma,Aécio,31273,5059860,2153111,7212971,70.15,29.85,Dilma,PT,Haddad,Bolsonaro,31192,5484901,2060382,7545283,72.69,27.31,Haddad,PT,Lula,Bolsonaro,34424,6097815,2357028,8454843,72.12,27.88,Lula,PT,2.54,-0.57,1.97,N,N,N,S
Nordeste,CE,Dilma,Aécio,19936,3522884,1068169,4591053,76.73,23.27,Dilma,PT,Haddad,Bolsonaro,21449,3407526,1384591,4792117,71.11,28.89,Haddad,PT,Lula,Bolsonaro,22796,3807891,1634477,5442368,69.97,30.03,Lula,PT,-5.62,-1.14,-6.76,N,N,N,S
Nordeste,MA,Dilma,Aécio,15465,2475985,667823,3143808,78.76,21.24,Dilma,PT,Haddad,Bolsonaro,15830,2428913,886565,3315478,73.26,26.74,Haddad,PT,Lula,Bolsonaro,16423,2668425,1082749,3751174,71.14,28.86,Lula,PT,-5.5,-2.12,-7.62,N,N,N,S
Nordeste,PB,Dilma,Aécio,9526,1381305,768475,2149780,64.25,35.75,Dilma,PT,Haddad,Bolsonaro,9955,1451293,782143,2233436,64.98,35.02,Haddad,PT,Lula,Bolsonaro,9602,1601953,802502,2404455,66.62,33.38,Lula,PT,0.73,1.64,2.37,N,N,N,S
Nordeste,PE,Dilma,Aécio,18797,3438829,1460279,4899108,70.19,29.81,Dilma,PT,Haddad,Bolsonaro,19797,3297944,1661163,4959107,66.5,33.5,Haddad,PT,Lula,Bolsonaro,20572,3640933,1798832,5439765,66.93,33.07,Lula,PT,-3.69,0.43,-3.26,N,N,N,S
Nordeste,PI,Dilma,Aécio,7940,1385265,384157,1769422,78.29,21.71,Dilma,PT,Haddad,Bolsonaro,8930,1417113,422095,1839208,77.05,22.95,Haddad,PT,Lula,Bolsonaro,8963,1551383,467065,2018448,76.86,23.14,Lula,PT,-1.24,-0.19,-1.43,N,N,N,S
Nordeste,RN,Dilma,Aécio,6963,1201768,516487,1718255,69.94,30.06,Dilma,PT,Haddad,Bolsonaro,7389,1131027,652562,1783589,63.41,36.59,Haddad,PT,Lula,Bolsonaro,7674,1326785,711381,2038166,65.1,34.9,Lula,PT,-6.53,1.69,-4.84,N,N,N,S
Nordeste,SE,Dilma,Aécio,4762,772482,380654,1153136,66.99,33.01,Dilma,PT,Haddad,Bolsonaro,5137,759061,364860,1123921,67.54,32.46,Haddad,PT,Lula,Bolsonaro,5498,862951,421086,1284037,67.21,32.79,Lula,PT,0.55,-0.33,0.22,N,N,N,S
