ano,data_referencia,divida_bruta_usd_milhoes,divida_bruta_usd_bi,fonte,url
2002,2002-12-31,8700.0,8.7,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000095012303007204/y87469e20vf.htm
2003,2003-12-31,14450.0,14.45,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000119312504112315/d20f.htm
2004,2004-12-31,19280.0,19.28,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000119312505135283/d20f.htm
2005,2005-12-31,18420.0,18.42,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000095012306008263/y22597e20vf.htm
2006,2006-12-31,20360.0,20.36,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000095012307009192/y36368e20vf.htm
2007,2007-12-31,21160.0,21.16,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000136231008002879/c73239e20vf.htm
2008,2008-12-31,26800.0,26.8,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000095012309009383/y76586e20vf.htm
2009,2009-12-31,57960.0,57.96,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281410001665/pbraform20f2009.htm
2010,2010-12-31,68980.0,68.98,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281411001552/pbraform20f2010.htm
2011,2011-12-31,82510.0,82.51,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281412000786/pbraform20f_2011.htm
2012,2012-12-31,94860.0,94.86,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281413000928/pbraform20f_2012.htm
2013,2013-12-31,112300.0,112.3,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281414001060/pbraform20f_2013.htm
2014,2014-12-31,130520.0,130.52,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281415001242/pbraform20f_2014.htm
2015,2015-12-31,122940.0,122.94,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281416004364/pbraform20f_2015.htm
2016,2016-12-31,116910.0,116.91,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000119312517140235/d375139d20f.htm
2017,2017-12-31,108980.0,108.98,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000119312518120259/d521855d20f.htm
2018,2018-12-31,84340.0,84.34,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000119312519093231/d692671d20f.htm
2019,2019-12-31,87121.0,87.12,Petrobras official / 20-F endividamento,https://www.sec.gov/Archives/edgar/data/1119639/000119312520080953/d883642d20f.htm
2020,2020-12-31,75570.0,75.57,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281421001152/pbraform20f_2020.htm
2021,2021-12-31,58850.0,58.85,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281422001285/pbraform20f_2021.htm
2022,2022-12-31,53170.0,53.17,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281423001253/pbrform20f_2022.htm
2023,2023-12-31,62390.0,62.39,Historical total debt series (Petrobras gross-debt concept),https://www.sec.gov/Archives/edgar/data/1119639/000129281424001340/pbrform20f_2023.htm
2024,2024-12-31,60311.0,60.31,Petrobras official / 20-F endividamento,https://www.sec.gov/Archives/edgar/data/1119639/000129281425001352/pbrform20f_2024.htm
2025,2025-12-31,69793.0,69.79,Petrobras official / 20-F endividamento,https://www.sec.gov/Archives/edgar/data/1119639/000129281426002168/pbrform20f_2025.htm
2026,2026-06-30,70806.0,70.81,Gross debt 06/30/2026,https://www.sec.gov/Archives/edgar/data/1119639/000129281426004133/pbrfs2q26usd_6k.htm
