Linha origem;Discriminação;Dez/1997;Dez/1998;Dez/1999;Dez/2000;Dez/2001;Dez/2002;Total
6;1. RECEITA TOTAL 1/;860913.6743932505;963564.2810452629;1047251.3719716346;1098433.1577981184;1183167.3745384663;1290171.9671346215;6443501.826881355
53;2. TRANSF. POR REPARTIÇÃO DE RECEITA 2/;131408.0224891306;142596.2201370742;153054.9033589609;171659.70112557075;188576.19340163755;210071.25647637228;997366.2969887462
62;3. RECEITA LÍQUIDA  (1-2);729505.6519041201;820968.0609081887;894196.4686126737;926773.4566725475;994591.1811368415;1080100.7106582492;5446135.529892621
63;4. DESPESA TOTAL 2/;719520.2246666925;781144.0783037213;792281.8790268473;827683.9952543745;897669.2335565442;950150.815079967;4968450.225888146
155;5. RESULTADO PRIMÁRIO GOVERNO CENTRAL - ACIMA DA LINHA (3 - 4);9985.427237427406;39823.982604467565;101914.58958582637;99089.46141817307;96921.94758029735;129949.89557828192;477685.3040044737
156;6. AJUSTES METODOLÓGICOS;0;0;0;0;0;0;0.0
161;7. DISCREPÂNCIA ESTATÍSTICA ;-22584.019160886895;-13301.702004609893;12602.553825458193;-2423.7648955213044;1367.6624000549646;1744.6709104614101;-22594.59892504353
162;8. RESULTADO PRIMÁRIO DO GOVERNO CENTRAL - ABAIXO DA LINHA (5 + 6 + 7);-12598.591923459488;26522.28059985767;114517.14341128456;96665.69652265178;98289.60998035231;131694.56648874332;455090.70507943013
163;9. JUROS NOMINAIS 13/;-102572.28398059336;-263271.0824592954;-246328.57317394097;-213085.414283022;-205925.43804970064;-170612.2996192163;-1201795.0915657685
164;10. RESULTADO NOMINAL DO GOVERNO CENTRAL (8 + 9) 14/;-115170.87590405284;-236748.80185943778;-131811.42976265642;-116419.71776037029;-107635.82806934835;-38917.73313047298;-746704.3864863387
179;Deflator - IPCA base Jun/2026;5.334669492352523;5.2478192291866685;4.817174044417586;4.545593328066434;4.221647863625079;3.7515663453901893;27.91847030303848
