Linha origem;Discriminação;Dez/2003;Dez/2004;Dez/2005;Dez/2006;Dez/2007;Dez/2008;Dez/2009;Dez/2010;Dez/2011;Dez/2012;Dez/2013;Dez/2014;Dez/2015;Dez/2016;Total
6;1. RECEITA TOTAL 1/;1253042.7648034256;1381905.6773209937;1505818.8864849783;1608802.214688742;1767771.1429299791;1936691.7007427672;1903296.406007214;2254249.8884882275;2276351.526703;2342573.901906977;2424849.112845208;2364771.0420298926;2219318.2248955155;2149278.66016284;27388721.15000976
53;2. TRANSF. POR REPARTIÇÃO DE RECEITA 2/;200531.507689667;211415.8139349795;247683.50946322008;267792.13396900974;291411.77386868175;344656.7441957575;308736.2727221354;327320.7050082771;375591.92115258594;374654.2317050195;374394.2827484589;384356.01279388124;363970.9203729646;369880.750869767;4442396.580494405
62;3. RECEITA LÍQUIDA  (1-2);1052511.2571137587;1170489.863386014;1258135.3770217584;1341010.0807197236;1476359.3690613;1592034.9565470093;1594560.1332850785;1926929.1834799468;1900759.6055504142;1967919.6702019675;2050454.8300967491;1980415.0292360112;1855347.3045225511;1779397.9092930735;22946324.569515355
63;4. DESPESA TOTAL 2/;913372.1849940824;1005976.5220881599;1094221.5074372739;1195925.0541603118;1310202.2613472154;1395536.5989664579;1492866.5686523304;1736044.3149443993;1688185.8309253752;1782208.5987073677;1902511.203089732;2024441.2323178728;2062216.107106433;2040013.879777722;21643721.864514735
155;5. RESULTADO PRIMÁRIO GOVERNO CENTRAL - ACIMA DA LINHA (3 - 4);139139.07211967622;164513.34129785438;163913.8695844847;145085.02655941175;166157.10771408488;196498.35758055167;101693.56463274836;190884.86853554746;212573.7746250389;185711.07149459972;147943.627007017;-44026.2030818611;-206868.8025838818;-260615.97048464871;1302602.7050006236
156;6. AJUSTES METODOLÓGICOS;0;8761.345703303534;7424.0443584003815;7691.981921950624;5138.955649737524;3352.270002745089;3562.387840925688;3326.9270743071047;2640.1295530125217;2892.8809252931514;1787.2718266171369;0;6863.211231524601;6728.336719053675;60169.74280687102
161;7. DISCREPÂNCIA ESTATÍSTICA ;-1096.6159544958246;1338.0540153942247;2176.3553672539306;-29.682929813481053;4.611990613896978;-3653.141217783824;4301.783839260309;-1360.3610890629784;-73.28763434731854;-461.6199942583024;4647.098806144381;5813.105310153091;-6.561218400689967;-3438.8383827291327;8160.900907928282
162;8. RESULTADO PRIMÁRIO DO GOVERNO CENTRAL - ABAIXO DA LINHA (5 + 6 + 7);138042.45616518037;174612.74101655214;173514.26931013897;152747.32555154886;171300.6753544362;196197.48636551294;109557.73631293439;192851.4345207916;215140.6165437041;188142.3324256346;154377.9976397785;-38213.097771708024;-200012.15257075787;-257326.4721483242;1370933.348715423
163;9. JUROS NOMINAIS 13/;-355801.4956442481;-262031.65238840439;-398506.6124000958;-373486.7354586842;-340986.85966304195;-260770.68797640144;-386617.2091633501;-305943.25502470945;-415982.3557335922;-322466.1054208796;-382401.3000029932;-483848.24906762724;-705805.259967061;-518941.39799484867;-5513589.175905937
164;10. RESULTADO NOMINAL DO GOVERNO CENTRAL (8 + 9) 14/;-217759.03947906772;-87418.91137185218;-224992.34308995685;-220739.40990713536;-169686.18430860576;-64573.20161088853;-277059.47285041574;-113091.82050391783;-200841.739189888;-134323.77299524506;-228023.30236321472;-522061.3468393353;-905817.4125378189;-776267.8701431728;-4142655.827190515
179;Deflator - IPCA base Jun/2026;3.432341028665749;3.1899229653344;3.01821014435592;2.926280568249173;2.8014035627210228;2.645261091100157;2.5359210495793;2.3944409851402897;2.2482306175871765;2.1242067920254493;2.0056586613688245;1.8848851930854758;1.7031116116238647;1.6023556756077644;34.51222994644456
