Linha origem;Discriminação;Dez/2017;Dez/2018;Total
6;1. RECEITA TOTAL 1/;2183069.54212773;2267464.863904574;4450534.406032303
53;2. TRANSF. POR REPARTIÇÃO DE RECEITA 2/;360369.438009496;390960.8182667289;751330.256276225
62;3. RECEITA LÍQUIDA  (1-2);1822700.1041182338;1876504.0456378448;3699204.1497560786
63;4. DESPESA TOTAL 2/;2018542.7476835488;2058113.3713438306;4076656.1190273794
155;5. RESULTADO PRIMÁRIO GOVERNO CENTRAL - ACIMA DA LINHA (3 - 4);-195842.64356531482;-181609.3257059854;-377451.96927130024
156;6. AJUSTES METODOLÓGICOS;12099.928046601059;10197.753006179148;22297.681052780208
161;7. DISCREPÂNCIA ESTATÍSTICA ;-2754.946916696734;-3946.901394479638;-6701.848311176373
162;8. RESULTADO PRIMÁRIO DO GOVERNO CENTRAL - ABAIXO DA LINHA (5 + 6 + 7);-186497.6624354105;-175358.47409428592;-361856.1365296964
163;9. JUROS NOMINAIS 13/;-538155.5169101693;-472929.88784998044;-1011085.4047601498
164;10. RESULTADO NOMINAL DO GOVERNO CENTRAL (8 + 9) 14/;-724653.1793455797;-648288.3619442662;-1372941.541289846
179;Deflator - IPCA base Jun/2026;1.5564796621959702;1.500285259998314;3.0567649221942843
