Linha origem;Discriminação;Dez/2019;Dez/2020;Dez/2021;Dez/2022;Total
6;1. RECEITA TOTAL 1/;2398339.656466798;2084054.3939990415;2534410.0511536608;2780375.8501996407;9797179.95181914
53;2. TRANSF. POR REPARTIÇÃO DE RECEITA 2/;422844.1480921406;374699.018456399;463687.0724061568;549313.9626114892;1810544.2015661856
62;3. RECEITA LÍQUIDA  (1-2);1975495.508374657;1709355.3755426425;2070722.978747504;2231061.887588151;7986635.750252955
63;4. DESPESA TOTAL 2/;2114012.5192422266;2771309.7495185873;2118199.28392831;2172765.268813486;9176286.821502611
155;5. RESULTADO PRIMÁRIO GOVERNO CENTRAL - ACIMA DA LINHA (3 - 4);-138517.0108675698;-1061954.3739759447;-47476.30518080617;58296.61877466459;-1189651.0712496561
156;6. AJUSTES METODOLÓGICOS;10012.435649433046;2788.4741700165114;-484.0437576549852;9886.661093942736;22203.527155737305
161;7. DISCREPÂNCIA ESTATÍSTICA ;-802.2432254163641;-5573.441645107518;-588.9072760294036;363.5299282832343;-6601.062218270052
162;8. RESULTADO PRIMÁRIO DO GOVERNO CENTRAL - ABAIXO DA LINHA (5 + 6 + 7);-129306.81844355311;-1064739.3414510358;-48549.25621449055;68546.80979689058;-1174048.606312189
163;9. JUROS NOMINAIS 13/;-455172.0343922817;-379699.6779623218;-530829.532192185;-601946.2058969816;-1967647.4504437703
164;10. RESULTADO NOMINAL DO GOVERNO CENTRAL (8 + 9) 14/;-584478.8528358348;-1444439.0194133576;-579378.7884066756;-533399.396100091;-3141696.056755959
179;Deflator - IPCA base Jun/2026;1.4383478220008459;1.3761795061315436;1.250379082489657;1.1819993234570418;5.246905734079089
