Linha origem;Discriminação;Dez/2023;Dez/2024;Dez/2025;Total
6;1. RECEITA TOTAL 1/;2704067.131466901;2948773.857861938;3042650.9730413863;8695491.962370224
53;2. TRANSF. POR REPARTIÇÃO DE RECEITA 2/;519283.0247743247;569654.7354968743;597093.2689689236;1686031.0292401225
62;3. RECEITA LÍQUIDA  (1-2);2184784.1066925763;2379119.1223650635;2445557.704072463;7009460.933130102
63;4. DESPESA TOTAL 2/;2443276.5724558164;2426433.704328065;2508173.502803322;7377883.779587204
155;5. RESULTADO PRIMÁRIO GOVERNO CENTRAL - ACIMA DA LINHA (3 - 4);-258492.46576324035;-47314.5819630014;-62615.79873085927;-368422.84645710106
156;6. AJUSTES METODOLÓGICOS;-37363.64677370559;-451.19369340469075;1104.0257016566436;-36710.81476545363
161;7. DISCREPÂNCIA ESTATÍSTICA ;-3622.3479351692886;-2248.975800638084;1970.4013146259724;-3900.9224211814008
162;8. RESULTADO PRIMÁRIO DO GOVERNO CENTRAL - ABAIXO DA LINHA (5 + 6 + 7);-299478.4604721152;-50014.75145704421;-59541.37171457667;-409034.5836437361
163;9. JUROS NOMINAIS 13/;-705888.7109689156;-940268.9404351059;-932819.3894305736;-2578977.040834595
164;10. RESULTADO NOMINAL DO GOVERNO CENTRAL (8 + 9) 14/;-1005367.1714410309;-990283.6918921501;-992360.7611451503;-2988011.6244783313
179;Deflator - IPCA base Jun/2026;1.1297895994106244;1.077722695584818;1.0336445012960453;3.241156796291488
