Discriminação;Dez/1997;Dez/1998;Dez/1999;Dez/2000;Dez/2001;Dez/2002;Dez/2003;Dez/2004;Dez/2005;Dez/2006;Dez/2007;Dez/2008;Dez/2009;Dez/2010;Dez/2011;Dez/2012;Dez/2013;Dez/2014;Dez/2015;Dez/2016;Dez/2017;Dez/2018;Dez/2019;Dez/2020;Dez/2021;Dez/2022;Dez/2023;Dez/2024;Dez/2025
1. RECEITA TOTAL 1/;860913.6743932505;963564.2810452629;1047251.3719716346;1098433.1577981184;1183167.3745384663;1290171.9671346215;1253042.7648034256;1381905.6773209937;1505818.8864849783;1608802.214688742;1767771.1429299791;1936691.7007427672;1903296.406007214;2254249.8884882275;2276351.526703;2342573.901906977;2424849.112845208;2364771.0420298926;2219318.2248955155;2149278.66016284;2183069.54212773;2267464.863904574;2398339.656466798;2084054.3939990415;2534410.0511536608;2780375.8501996407;2704067.131466901;2948773.857861938;3042650.9730413863
1.1 -  Receita Administrada pela RFB;550764.2949307016;586833.6347208386;671807.4230014333;730227.9433827689;784389.5762990802;887314.338666585;854919.6147882675;946416.5079119467;1028353.6929455561;1064692.7068875532;1193736.6598308682;1262717.6388861851;1176792.7693110711;1304429.9851704778;1449527.7006073564;1416260.9829494047;1482059.1712300442;1431944.6994883767;1361198.0699660035;1338907.4426946323;1318929.3539165198;1379079.1857506423;1389381.2965303035;1277432.1767372116;1570155.9708814474;1672120.453924655;1654610.848315586;1861075.7825424576;1950744.7580727541
1.1.01    Imposto sobre a Importação;27785.967591969522;34283.167622929745;39270.163389821035;39660.3761642236;39788.70761690616;32022.97825055041;28648.184905587572;30305.3954223994;27857.208114491368;29574.385685211673;34916.7015198143;46383.908053894105;41209.06531313813;51766.34747973748;61387.59560127482;67860.86195362078;76379.63046897572;70813.12018333933;69235.30948933301;51287.45543335235;51159.62052226789;61902.00282437052;63167.69751178668;64942.483736020724;81393.4471424647;71024.05542602605;62296.710082538106;85439.57509597535;94775.57857203815
1.1.02    IPI;89637.98974461302;83067.35088635398;80410.50305576905;82646.28142038615;82928.4049489169;75085.47418166463;62875.540151729074;70196.68047537371;75447.51989125798;81133.02002381638;91064.4055431005;101073.71285255016;72402.08017008401;92117.4590260118;95588.54931939853;97223.53710039871;90665.25828906333;97002.6344328736;86318.68990285302;69052.99086926466;75743.14832690668;84398.37124529628;77318.87292024527;80385.00160132085;93558.95380633773;72088.72399755346;68106.9714992913;92763.08094934991;92581.93054106708
1.1.02.1    IPI - Fumo;15386.710123005738;13314.094136389036;11444.360016122178;9348.033361191976;8790.230012891589;7762.058667819169;7011.357370936441;7605.662848674247;7114.09954188196;7105.058867538704;8006.833338901485;8691.85794656247;8547.679917430458;9107.433426988946;8635.158301638576;8916.737679947444;10505.101332633614;10969.893478505688;10142.561240168878;9351.309599584425;8220.176982193283;7934.038166054695;8168.073121935094;8496.500745499272;7332.273173459338;8092.192479777725;4394.600110278367;8982.467055104762;11780.572000129547
1.1.02.2    IPI - Bebidas;0;0;0;9071.088623134949;8778.743257266025;7238.804797404375;6687.2890876786805;6595.469219883534;7274.850184612633;7785.2834863574135;7401.245773914467;6744.772967581585;5948.104013747846;5970.40166884219;6886.455851118106;7039.653287985845;7092.037961086872;6556.79715565478;4625.001166064546;4375.195524021105;4644.42401906317;4212.729150357816;5350.263974031045;4237.451185391928;3543.4660369822936;3026.974496561475;3389.9268675584717;3678.0817284010313;4048.2224324263225
1.1.02.3    IPI - Automóveis;0;0;0;11071.141591011301;11363.857313252156;10725.026350766291;8139.2458406105125;9764.420519665897;11531.054877366576;12752.524591785615;14930.553478921516;16327.775805836522;5384.341366306351;14171.33265555051;16475.93048221211;9605.096213373736;7777.518494604523;9491.905060725876;7751.238718704872;5388.936898795718;7047.727861774619;8680.459138694012;8282.589313009214;4887.894117050073;4540.755713266097;4866.900331462655;7927.205343281872;9485.033539060896;6884.284975050381
1.1.02.4    IPI - Vinculado à importação;0;0;0;22589.007498362276;20823.973428389505;19688.472069832696;16072.872463226433;17053.493899662073;16292.479322235597;18222.97740805077;21981.383483506175;27952.15303053491;21638.879632761582;27621.84510999833;31550.26096187094;34831.47844924523;30058.84714445002;29193.001565209095;29859.116779266373;21970.93523816247;22078.484673624618;27377.551573737896;28045.288717781186;31136.997846472907;41570.189747527555;29514.504469829524;25970.737959987844;32553.02148857802;34096.616414837656
1.1.02.5    IPI - Outros;74251.27962160726;69753.25674996493;68966.14303964688;30567.010346685645;33171.600937117604;29671.112295842097;24964.775389277;29177.633987487967;33235.03596516121;35267.175670083874;38744.38946785686;41357.153102034674;30883.07523983777;35246.44616463181;32040.74372255881;36830.571469846465;35231.753356288296;40791.037172778175;33940.77199864836;27966.613608700944;33752.334790250985;36193.593216451874;27472.657793488725;31626.157706906688;36572.269135102426;26588.152219922078;26424.501218184756;38064.47713820522;35772.234718623164
1.1.03    Imposto sobre a Renda;184274.319339012;225410.27382363268;238120.66218336407;239809.62115841627;262791.1103787253;319281.66521036526;294663.72877940576;304197.53192883567;355845.67432604346;372996.17323696957;423246.4436343923;485739.3827049787;461719.03286769835;478162.7572799241;543846.9526327364;539789.9930178131;561375.4972363962;553859.100519724;535035.8620815784;557301.4735064812;536719.5681494626;553089.7511566891;585227.3968722303;545890.0590814359;681401.8604490986;802494.0212154844;800170.4025359803;865058.9775220109;910088.9634822654
