Linha origem;Discriminação;Dez/1997;Dez/1998;Dez/1999;Dez/2000;Dez/2001;Dez/2002;Dez/2003;Dez/2004;Dez/2005;Dez/2006;Dez/2007;Dez/2008;Dez/2009;Dez/2010;Dez/2011;Dez/2012;Dez/2013;Dez/2014;Dez/2015;Dez/2016;Dez/2017;Dez/2018;Dez/2019;Dez/2020;Dez/2021;Dez/2022;Dez/2023;Dez/2024;Dez/2025
6;1. RECEITA TOTAL 1/;860913.6743932505;963564.2810452629;1047251.3719716346;1098433.1577981184;1183167.3745384663;1290171.9671346215;1253042.7648034256;1381905.6773209937;1505818.8864849783;1608802.214688742;1767771.1429299791;1936691.7007427672;1903296.406007214;2254249.8884882275;2276351.526703;2342573.901906977;2424849.112845208;2364771.0420298926;2219318.2248955155;2149278.66016284;2183069.54212773;2267464.863904574;2398339.656466798;2084054.3939990415;2534410.0511536608;2780375.8501996407;2704067.131466901;2948773.857861938;3042650.9730413863
53;2. TRANSF. POR REPARTIÇÃO DE RECEITA 2/;131408.0224891306;142596.2201370742;153054.9033589609;171659.70112557075;188576.19340163755;210071.25647637228;200531.507689667;211415.8139349795;247683.50946322008;267792.13396900974;291411.77386868175;344656.7441957575;308736.2727221354;327320.7050082771;375591.92115258594;374654.2317050195;374394.2827484589;384356.01279388124;363970.9203729646;369880.750869767;360369.438009496;390960.8182667289;422844.1480921406;374699.018456399;463687.0724061568;549313.9626114892;519283.0247743247;569654.7354968743;597093.2689689236
62;3. RECEITA LÍQUIDA  (1-2);729505.6519041201;820968.0609081887;894196.4686126737;926773.4566725475;994591.1811368415;1080100.7106582492;1052511.2571137587;1170489.863386014;1258135.3770217584;1341010.0807197236;1476359.3690613;1592034.9565470093;1594560.1332850785;1926929.1834799468;1900759.6055504142;1967919.6702019675;2050454.8300967491;1980415.0292360112;1855347.3045225511;1779397.9092930735;1822700.1041182338;1876504.0456378448;1975495.508374657;1709355.3755426425;2070722.978747504;2231061.887588151;2184784.1066925763;2379119.1223650635;2445557.704072463
63;4. DESPESA TOTAL 2/;719520.2246666925;781144.0783037213;792281.8790268473;827683.9952543745;897669.2335565442;950150.815079967;913372.1849940824;1005976.5220881599;1094221.5074372739;1195925.0541603118;1310202.2613472154;1395536.5989664579;1492866.5686523304;1736044.3149443993;1688185.8309253752;1782208.5987073677;1902511.203089732;2024441.2323178728;2062216.107106433;2040013.879777722;2018542.7476835488;2058113.3713438306;2114012.5192422266;2771309.7495185873;2118199.28392831;2172765.268813486;2443276.5724558164;2426433.704328065;2508173.502803322
155;5. RESULTADO PRIMÁRIO GOVERNO CENTRAL - ACIMA DA LINHA (3 - 4);9985.427237427406;39823.982604467565;101914.58958582637;99089.46141817307;96921.94758029735;129949.89557828192;139139.07211967622;164513.34129785438;163913.8695844847;145085.02655941175;166157.10771408488;196498.35758055167;101693.56463274836;190884.86853554746;212573.7746250389;185711.07149459972;147943.627007017;-44026.2030818611;-206868.8025838818;-260615.97048464871;-195842.64356531482;-181609.3257059854;-138517.0108675698;-1061954.3739759447;-47476.30518080617;58296.61877466459;-258492.46576324035;-47314.5819630014;-62615.79873085927
156;6. AJUSTES METODOLÓGICOS;0;0;0;0;0;0;0;8761.345703303534;7424.0443584003815;7691.981921950624;5138.955649737524;3352.270002745089;3562.387840925688;3326.9270743071047;2640.1295530125217;2892.8809252931514;1787.2718266171369;0;6863.211231524601;6728.336719053675;12099.928046601059;10197.753006179148;10012.435649433046;2788.4741700165114;-484.0437576549852;9886.661093942736;-37363.64677370559;-451.19369340469075;1104.0257016566436
161;7. DISCREPÂNCIA ESTATÍSTICA ;-22584.019160886895;-13301.702004609893;12602.553825458193;-2423.7648955213044;1367.6624000549646;1744.6709104614101;-1096.6159544958246;1338.0540153942247;2176.3553672539306;-29.682929813481053;4.611990613896978;-3653.141217783824;4301.783839260309;-1360.3610890629784;-73.28763434731854;-461.6199942583024;4647.098806144381;5813.105310153091;-6.561218400689967;-3438.8383827291327;-2754.946916696734;-3946.901394479638;-802.2432254163641;-5573.441645107518;-588.9072760294036;363.5299282832343;-3622.3479351692886;-2248.975800638084;1970.4013146259724
162;8. RESULTADO PRIMÁRIO DO GOVERNO CENTRAL - ABAIXO DA LINHA (5 + 6 + 7);-12598.591923459488;26522.28059985767;114517.14341128456;96665.69652265178;98289.60998035231;131694.56648874332;138042.45616518037;174612.74101655214;173514.26931013897;152747.32555154886;171300.6753544362;196197.48636551294;109557.73631293439;192851.4345207916;215140.6165437041;188142.3324256346;154377.9976397785;-38213.097771708024;-200012.15257075787;-257326.4721483242;-186497.6624354105;-175358.47409428592;-129306.81844355311;-1064739.3414510358;-48549.25621449055;68546.80979689058;-299478.4604721152;-50014.75145704421;-59541.37171457667
163;9. JUROS NOMINAIS 13/;-102572.28398059336;-263271.0824592954;-246328.57317394097;-213085.414283022;-205925.43804970064;-170612.2996192163;-355801.4956442481;-262031.65238840439;-398506.6124000958;-373486.7354586842;-340986.85966304195;-260770.68797640144;-386617.2091633501;-305943.25502470945;-415982.3557335922;-322466.1054208796;-382401.3000029932;-483848.24906762724;-705805.259967061;-518941.39799484867;-538155.5169101693;-472929.88784998044;-455172.0343922817;-379699.6779623218;-530829.532192185;-601946.2058969816;-705888.7109689156;-940268.9404351059;-932819.3894305736
164;10. RESULTADO NOMINAL DO GOVERNO CENTRAL (8 + 9) 14/;-115170.87590405284;-236748.80185943778;-131811.42976265642;-116419.71776037029;-107635.82806934835;-38917.73313047298;-217759.03947906772;-87418.91137185218;-224992.34308995685;-220739.40990713536;-169686.18430860576;-64573.20161088853;-277059.47285041574;-113091.82050391783;-200841.739189888;-134323.77299524506;-228023.30236321472;-522061.3468393353;-905817.4125378189;-776267.8701431728;-724653.1793455797;-648288.3619442662;-584478.8528358348;-1444439.0194133576;-579378.7884066756;-533399.396100091;-1005367.1714410309;-990283.6918921501;-992360.7611451503
179;Deflator - IPCA base Jun/2026;5.334669492352523;5.2478192291866685;4.817174044417586;4.545593328066434;4.221647863625079;3.7515663453901893;3.432341028665749;3.1899229653344;3.01821014435592;2.926280568249173;2.8014035627210228;2.645261091100157;2.5359210495793;2.3944409851402897;2.2482306175871765;2.1242067920254493;2.0056586613688245;1.8848851930854758;1.7031116116238647;1.6023556756077644;1.5564796621959702;1.500285259998314;1.4383478220008459;1.3761795061315436;1.250379082489657;1.1819993234570418;1.1297895994106244;1.077722695584818;1.0336445012960453
